"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호4304","품목보고번호2022068312530","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명모히또 에이드","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","전라북도 익산시 왕궁면 푸드폴리스로 59(웰빙랜드)","1","2","3","4","5","6","7","8","9","10","11","12","레몬농축액","설탕","구연산","구연산삼나트륨","수크랄로스","메타인산나트륨","식용색소청색제1호","식용색소황색제4호","향료","향료","혼합제제","정제수","","","","","","","","","모히또향","라임향","시트러스향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4303","품목보고번호20140493171130","업소명(주)웰그린김제공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명모히또라임","분류식품","업체명","(주)웰그린김제공장","소재지","전라북도 김제시 봉두로 148-22","1","2","3","4","5","6","7","8","9","10","11","12","정제수","설탕","기타 농산가공품","과.채가공품","구연산","천연향료","합성향료","식품첨가물","비타민C","식품첨가물","수크랄로스","천연첨가물","","","애플민트추출물","라임주스농축액","","천연라임향","시트러스향","홍화황색소","","치자청색소","","나린진",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4302","품목보고번호1993062500643","업소명현대약품(주)","품목유형혼합음료","유통/소비기한제조일로부터15개월","제품명모히또레몬라임","분류식품","업체명","현대약품(주)","소재지","경상남도 합천군 율곡면 임북길 196","1","2","3","4","5","6","7","8","9","10","11","12","레몬농축액","라임농축액","백설탕","구연산","비타민C","말토덱스트린","화이트클라우디","수크랄로스","홍화황색소-200","라임향SF-17152","민트향","MF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","탄산수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4301","품목보고번호198506140552114","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명모히토레몬라임","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","라임농축액","액상과당","말토덱스트린","구연산","비타민C","화이트크라우디","수크랄로스","홍화황색소-200","정제수","식품첨가물혼합제제","레몬주스농축액","식품첨가물혼합제제","","","","","","","","","","라임향 엠에프-120024","","민트향 엠에프-111025",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4300","품목보고번호20140627715197","업소명(주)비케이바이오","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명목맑은날","분류식품","업체명","(주)비케이바이오","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-38","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,"배농축과즙","도라지농축액","정제수","프로폴리스추출액","정제수","천연향료",NA,NA,NA,NA,NA,NA,"배 33.3%,정제수","도라지 25%, 정제수","","","ED 미네랄수","천연레몬민트향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4299","품목보고번호19970464172262","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명목엔쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","인삼농축액","칡농축액","복령농축액","귤피농축액","도라지농축액","감초농축액","자소엽추출물","대추농축액","생강농축액","쌍화농축액","액상과당","구연산","고형분60%.인삼성분70mg/g","갈근농축액","","진피농축액","","","","","","","","","13","효소처리스테비아","","14","15","16","17","18","19","구연산삼나트륨","정제소금","잔탄검","카라멜색소","허브향","정제수","","","","","합성착향료",""
"7","번호4298","품목보고번호20020623009813","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명목이 상쾌한 넥시원","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","정제수","도라지농축액","모과농축액","배농축액","계피농축액","기타과당","구연산","정제소금","잔탄검","수크랄로스","보리추출물","합성향료","","","","","","","","","","합성감미료","","배향","13","합성향료","솔향","14","15","16",NA,NA,NA,"합성향료","덱스트린","천연향료",NA,NA,NA,"민트향","","생강엣센스",NA,NA,NA
"8","번호4297","품목보고번호2014054341515","업소명농업회사법인주식회사 금강바이오","품목유형혼합음료","유통/소비기한1년","제품명목코플러","분류식품","업체명","농업회사법인주식회사 금강바이오","소재지","경상북도 안동시 중들길 65(용상동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,"도라지","가는층층잔대순","더덕","수세미오이어린열매","느릅나무껍질","배","Alaska bellflower줄기","마가목","구절초",NA,NA,NA,"홍도라지","잔대","","수세미오이","유근","","줄풀","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4296","품목보고번호198804420041742","업소명풀무원건강생활(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명목편한진","분류식품","업체명","풀무원건강생활(주)","소재지","충청북도 증평군 도안면 원명로 35","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","과.채가공품","배농축액","액상차","프락토올리고당","더덕농축액","액상차","서양박하잎추출분말","잔탄검",NA,NA,NA,"","어린잎발효추출물","","맥문동등허브농축액","","","동충하초허브추출물","페퍼민트추출분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4295","품목보고번호20060392223319","업소명네오팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명목황상제","분류식품","업체명","네오팜","소재지","강원도 양양군 양양읍 포월새말길 41-61","1","2","3","4","5","6","7","8","9","10","11","12","정제수","배농축액","비파잎","볶은율무","복령균핵","맥문동뿌리","차즈기","감귤껍질","도라지","원지뿌리","감초","구연산","","69Brix","비파엽","의이인","백복령","맥문동","자소엽","진피","길경","원지","구감초","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
