"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고11","비고12","비고13","비고14"
"1","번호4264","품목보고번호20020623009219","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명무궁화알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","알로에베라겔즙액함유절편","액상과당","구연산","벌꿀","구연산삼나트륨","비타민C","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4263","품목보고번호2010014116425","업소명유한회사 소미노","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명무밈 미윤음","분류식품","업체명","유한회사 소미노","소재지","부산광역시 해운대구 좌동순환로 395(5층 501호 중동, 한라프라자)","1","2","3","4","5","6","7","8","9",NA,"정제수","당류가공품","매실발효액","한천분말","서양호박분말","당근분말","프락토올리고당","유자농축액","유산균음료",NA,"","원당","","","단호박분말","","","","자사윤산균콩발효추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4262","품목보고번호2012049904231","업소명(주)앤앤비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명무워터","분류식품","업체명","(주)앤앤비","소재지","전라북도 순창군 인계면 인덕로 427-122","1","2","3",NA,NA,NA,NA,NA,NA,NA,"지하수","산소","미네랄혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4261","품목보고번호20110527046139","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 실온10개월","제품명무화당 식혜(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,NA,"엿기름","멥쌀","기타가공품","정제수",NA,NA,NA,NA,NA,NA,"보리100%","무농약","나한과","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4260","품목보고번호20030211151156","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명문경오미자식물성콜라겐젤리","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","흰목이버섯추출액","사과농축액","프락토올리고당","정제수","레드비트농축액","오미자청","당근농축액","검 베이스 혼합제제","구연산삼나트륨","효소처리스테비아","","","","","","오미자52.2%,올리고당,설탕,한천","","로커스트콩검,잔탄검,한천,타마린드검,카라기난,염화칼륨","","","11","12","13","14","혼합제제비타민B","비타민C","구연산","오미자향","","","",""
"6","번호4259","품목보고번호201402165061","업소명(주)물마루","품목유형혼합음료","유통/소비기한2년(실온)","제품명물마루","분류식품","업체명","(주)물마루","소재지","광주광역시 서구 월드컵4강로112번길 7(1층 화정동)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,"지하수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4258","품목보고번호20090435035190","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명물맛난다","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,"황산칼슘","염화마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4257","품목보고번호2012027528683","업소명농업회사법인(주)건강한채소","품목유형혼합음료","유통/소비기한제조일로 부터 6개월까지","제품명물의정원 과일야채 이온미네랄","분류식품","업체명","농업회사법인(주)건강한채소","소재지","충청북도 괴산군 괴산읍 자연식품1길 25","1","2","3","4","5","6","7","8","9",NA,"식물혼합추출액","해양심층수미네랄농축수","설탕","알룰로오스","정제소금","구연산","구연산삼나트륨","합성향료","비타민C",NA,"혼합야채과일수(함량 이하 참조)","이온미네랄농축수(국산)","유기농설탕(수입산)","알룰로오스(수입산)","소금(국산)","구연산(수입산)","구연산나트륨(수입산)","합성향료(국산)","비타민C(수입산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4256","품목보고번호2012027528686","업소명농업회사법인(주)건강한채소","품목유형혼합음료","유통/소비기한제조일로 부터 6개월까지","제품명물의정원과일야채이온미네랄인요거트","분류식품","업체명","농업회사법인(주)건강한채소","소재지","충청북도 괴산군 괴산읍 자연식품1길 25","1","2","3","4","5","6","7","8","9","10","혼합음료","해양심층수미네랄농축수","설탕","알룰로오스","정제소금","구연산","구연산삼나트륨","합성향료","비타민C","요거트향","혼합과일야채수","이온미네랄농축수(국산)","유기농설탕(수입산)","알룰로오스","깊은바다소금","구연산","구연산삼나트륨","요거트향","비타민C","요거트베이스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4255","품목보고번호2015037512974","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명미(美)차오름진액","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7",NA,NA,NA,"정제수","석류농축액","생선콜라겐","히비스커스분말","잔탄검","비타민미네랄혼합분말","오렌지농축액",NA,NA,NA,"","","피쉬콜라겐","","","비타민미네랄믹스-FS1","블러드오렌지농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
