"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호4207","품목보고번호20110618121159","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명미세끝나리","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","정제수","설탕","미나리액즙","귤껍질추출물","감초추출물","구연산","비타민C","젖산칼슘","효소처리스테비아","혼합과일향","타우린","유산균","해조칼슘","안식향산나트륨","비타민E","비타민D3","비타민B6염산염","","","미나리100%","고형분 2%이상","고형분 2%이상","","","","","합성향료","","락토바실러스플란타럼","","","함량50%","",""
"2","번호4206","품목보고번호201805429994","업소명농업회사 법인 경주로칼푸드(주)","품목유형혼합음료","유통/소비기한12개월(0~10℃이하)","제품명미소 수정과","분류식품","업체명","농업회사 법인 경주로칼푸드(주)","소재지","경상북도 경주시 충효7길 10-5(충효동, 인영주택)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"갈색설탕","계피","곶감","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4205","품목보고번호201805429996","업소명농업회사 법인 경주로칼푸드(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월(0~10℃이하)","제품명미소 유산균 수정과","분류식품","업체명","농업회사 법인 경주로칼푸드(주)","소재지","경상북도 경주시 충효7길 10-5(충효동, 인영주택)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"설탕","곶감","계피","생강","프락토올리고당","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"황설탕","","","","","유신균사균체 : 유산균대산산물(유산균배양건조물), 무수결정포도당, 프락토올리고당, 복합소화효소","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4204","품목보고번호201805429995","업소명농업회사 법인 경주로칼푸드(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월(0~10℃이하)","제품명미소 유산균 식혜","분류식품","업체명","농업회사 법인 경주로칼푸드(주)","소재지","경상북도 경주시 충효7길 10-5(충효동, 인영주택)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"백설탕","엿기름","쌀","프락토올리고당","자몽","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","맥아","","","자몽추출물","유신균사균체 : 유산균대산산물(유산균배양건조물), 무수결정포도당, 프락토올리고당, 복합소화효소","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4203","품목보고번호2013061247324","업소명주식회사 엔알바이오텍","품목유형혼합음료","유통/소비기한제조일로부터 16개월","제품명미소 플러스(misso plus)","분류식품","업체명","주식회사 엔알바이오텍","소재지","경상남도 거제시 둔덕면 죽전길 310-1(1층)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"치자추출물","태움용융소금","천연첨가물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4202","품목보고번호201502941103","업소명나노텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명미소수제로","분류식품","업체명","나노텍","소재지","경기도 부천시 송내대로 388(약대동, 202동 906호일부)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4201","품목보고번호201805429991","업소명농업회사 법인 경주로칼푸드(주)","품목유형혼합음료","유통/소비기한12개월","제품명미소식혜","분류식품","업체명","농업회사 법인 경주로칼푸드(주)","소재지","경상북도 경주시 충효7길 10-5(충효동, 인영주택)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","엿기름","쌀","자몽추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","국내산 겉보리 100%","국내산 백미 100%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4200","품목보고번호2005007713125","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명미소원","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"대두추출물분말","자일리톨","L-아르기닌","아미노믹스","과라나추출물","올리고당","감초엑기스","피리톡신","시아민","산화아연","구연산","글리신","안식향산나트륨","상수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4199","품목보고번호19970464172102","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명미소화이바","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,"폴리덱스트로스","백설탕","프락토올리고당","DL-알라닌","비타민C","구연산","구연산삼나트륨","천연착색료","오렌지향1","오렌지향2","오렌지향3","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4198","품목보고번호19960375213182","업소명우수농산식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명미숫가루혼합음료","분류식품","업체명","우수농산식품","소재지","경기도 여주시 흥천면 신율로 319-15","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"곡류가공품","결정과당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"미숫가루","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
