"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","성분 및 원료14","성분 및 원료15","비고14","비고15"
"1","번호4127","품목보고번호20140395066273","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명바디메모 곤약젤리 (풋사과)","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","에리스리톨","혼합제제","곤약분말","구연산(무수)","사과향","구연산삼나트륨","사과농축액","젖산칼슘","아세설팜칼륨","수크랄로스","사과추출물분말","비타민C","","","","","","","","","","","","(풋사과추출분말)","",NA,NA,NA,NA,NA,NA
"2","번호4126","품목보고번호20140395066274","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명바디메모 이너뷰티 레몬밤 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","에리스리톨","레몬농축액","파인애플농축액","생선콜라겐분말","구연산(무수)","히알루론산","곤약분말","구연산삼나트륨","혼합제제","젖산칼슘","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","레몬밤분말","레몬향",NA,NA
"3","번호4125","품목보고번호20140395066275","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명바디메모 이너뷰티 핑거루트 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","에리스리톨","핑거루트뿌리","석류농축액","생선콜라겐분말","히알루론산","구연산(무수)","곤약분말","구연산삼나트륨","혼합제제","석류향","젖산칼슘","수크랄로스","","","(핑거루트추출분말)","","","","","","","","","","","14","15","아세설팜칼륨","비타민C","",""
"4","번호4124","품목보고번호20140395066276","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명바디메모 이너뷰티 히비스커스 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","에리스리톨","히비스커스농축액","사과농축액","생선콜라겐분말","히알루론산","구연산(무수)","곤약분말","구연산삼나트륨","혼합제제","히비스커스향","젖산칼슘","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","아세설팜칼륨","비타민C",NA,NA
"5","번호4123","품목보고번호200703582241139","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명바디밸런스 A","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","기타가공품","구연산","혼합제제","효소처리스테비아","구연산삼나트륨","수크랄로스","카라멜색소",NA,NA,NA,NA,NA,"","콜라겐가수분해물","무수구연산","포도향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4122","품목보고번호200703582241138","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명바디밸런스 B","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"정제수","구연산","혼합제제","잔탄검","효소처리스테비아","구연산삼나트륨","수크랄로스","카라멜색소",NA,NA,NA,NA,NA,"","무수구연산","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4121","품목보고번호20040275056891","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바디부스터온(Body booster On)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","레몬농축액","포도당","에리스리톨","구연산","블루베리농축액","타우린","L-아르지닌","혼합제제","글루콘산아연","비타민C","효소처리스테비아","기타가공품","","","함수포도당","","함수구연산","","","","레몬라임향","","","","마카엑스-피엔","14",NA,"기타가공품",NA,"과라나추출분말",NA
"8","번호4120","품목보고번호19990555093405","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명바디플레이(BODYPLAY) 프로틴워터 깔라만시맛","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,"유청단백분말","깔라몬딘오렌지열매","혼합제제","효소처리스테비아","혼합허브추출물","수크랄로스","규소수지혼합제제","정제수",NA,NA,NA,NA,NA,"분리유청단백, WPI","깔라만시엑기스","깔라만시향(천연향료, 합성향료, 발효주정, 정제수)","","복합허브추출물","감미료","소포제(규소수지, 글리세린지방산에스테르, 소르비탄지방산에스테르, 카복시메틸셀룰로오스나트륨)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4119","품목보고번호19990555093406","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바디플레이(BODYPLAY) 프로틴워터 복분자맛","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,"유청단백분말","복분자농축액","복분자향","효소처리스테비아","코치닐추출색소","혼합허브추출물","규소수지혼합제제","수크랄로스","정제수",NA,NA,NA,NA,"분리유청단백분말,WPI","","","","에이씨레드","복합허브추출물","소포제(규소수지, 글리세린지방산에스테르, 소르비탄지방산에스테르, 카복시메틸셀룰로오스나트륨)","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4118","품목보고번호20200401439122","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바디플레이(BODYPLAY) 프로틴워터 애플맛","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,"정제수","유청단백분말","자일리톨","과.채가공품","DL-사과산","구연산","효소처리스테비아","혼합제제","수크랄로스","혼합제제",NA,NA,NA,"","분리유청단백(미국산)","","사과농축액(국산)","","함수구연산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
