"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","성분 및 원료10","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","번호19","번호20","번호21","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고19","비고20","비고21"
"1","번호4107","품목보고번호20080614259627","업소명(주)희창유업 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바로푸드 복숭아 아이스티","분류식품","업체명","(주)희창유업 제2공장","소재지","경상남도 양산시 유산공단7길 45(1동일부, 2동, 9동 유산동)","1","2","3","4","5","6","7","8","9","정제수","설탕","복숭아농축액","구연산","복숭아향","복숭아홍차분말","카라멜색소","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4106","품목보고번호2015033292916","업소명농업회사법인(주)주원에프앤비","품목유형혼합음료","유통/소비기한냉장(6개월)","제품명바르미 옛날전통식혜","분류식품","업체명","농업회사법인(주)주원에프앤비","소재지","경기도 남양주시 화도읍 녹촌로 259-16","1","2","3","4","5","6","7","8",NA,"멥쌀","엿기름","설탕","비타민C","기타가공품","혼합제제","생강","정제수",NA,"유기농","국산","유기농","","황금복합추출물","가드엠-53(신)","생강출출액(고형분0.01%이상)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4105","품목보고번호202004888102","업소명멜로디","품목유형혼합음료","유통/소비기한제조일로부터3개월","제품명바른식탐 옛날식혜","분류식품","업체명","멜로디","소재지","전라북도 군산시 옥산면 우동1길 44","1","2","3","4","5",NA,NA,NA,NA,"정제수","엿기름","쌀","백설탕","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4104","품목보고번호19920624042814","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바른아연생활","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","정제수","설탕","이소말토올리고당","과.채가공품","벌꿀","구연산","비타민C","구연산삼나트륨","합성향료","","","","오렌지혼탁농축액(스페인산)","","결정","","","오렌지향","10","글루콘산아연","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4103","품목보고번호19920624042813","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바른칼슘생활","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","정제수","설탕","젖산칼슘","덱스트린","벌꿀","과.채가공품","구연산","비타민C","합성향료","","","","말토덱스트린","","사과농축액(칠레산)","결정","","사과향","10","수크랄로스","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4102","품목보고번호2008033218049","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉동 1년","제품명바밤 단호박식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3","4",NA,NA,NA,NA,NA,"엿기름","쌀","설탕","증숙서양호박",NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","","바밤단호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4101","품목보고번호200703582241173","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명바비 콜라겐","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","정제수","프락토올리고당","콜라겐가수분해물","레드자몽농축액","구연산","과.채가공품","히알루론산","난소화성말토덱스트린(고시형)","혼합제제","","","","","무수구연산","서양자두농축액(푸룬농축액)","","","자몽향","10","기타가공품","올리브오일혼합액","11","12","13","14","15","16","17","18","니코틴산아미드","기타가공품","효모식품","알로에베라(고시형)","수크랄로스","기타 농산가공품","혼합제제","비오틴","","엘라스틴가수분해물","건조효모","알로에베라겔동결건조분말(알로에겔동결건조파우더)","","로즈힙추출물분말","비타민D3혼합제제","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4100","품목보고번호2014054341516","업소명농업회사법인주식회사 금강바이오","품목유형혼합음료","유통/소비기한1","제품명바이오 생약방 알파","분류식품","업체명","농업회사법인주식회사 금강바이오","소재지","경상북도 안동시 중들길 65(용상동)","1","2","3","4","5","6","7","8","9","지황","진피","동출뿌리줄기","도라지","참당귀뿌리","천궁뿌리줄기","작약뿌리","복령균핵","계피","숙지황","","백출","","당귀","","작약","","","10","감초","","11","12","13","14","15","16","17","18","마가목","마뿌리","두충","약모밀지상부","줄잎","생강","대추","율무쌀","","산약","","어성초","줄풀","","","율무","19","20","21","구기자나무열매","헛개나무열매","정제수","구기자","지구자",""
"9","번호4099","품목보고번호200500771314","업소명케이에이취팜(주)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명바이오메가센탑액","분류식품","업체명","케이에이취팜(주)","소재지","서울특별시 강서구 공항대로41길 65(등촌동)","1","2","3","4","5","6","7","8",NA,"KHP태반추출농축액","올리고당","석류 추출물","구연산","과일향","자몽추출물","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4098","품목보고번호19970378043642","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명바이오뷰티 저분자콜라겐 앰플 프리미엄","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","5","6","7","8","9","액상차","석류농축액","레드비트농축액","사과농축액","엘라스틴","구아검","석류향","석류농축분말","구연산(무수)","콜라겐혼합농축액","","","","프로라스틴","","합성향료","석류농축분말S","무수구연산","10","사과향","혼합제제","11","12","13","14","15",NA,NA,NA,"기타가공품","기타가공품","혼합제제","수크랄로스","비타민B6염산염",NA,NA,NA,"복합황금추출분말","발효돈태반추출분말","히알루론산혼합제제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
