"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고17","비고18","비고19","비고20","번호21","번호22","번호23","번호24","번호25","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고21","비고22","비고23","비고24","비고25"
"1","번호4087","품목보고번호20040275056809","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명바이탈","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","기타발효음료","식품첨가물혼합제제","시클로덱스트린시럽","기타가공품","타우린","프락토올리고당","난소화성말토덱스트린(고시형)","키토올리고당(고시형)","비타민 C(고시형)","과.채가공품","DL-사과산","식품첨가물혼합제제","L-아르지닌","기타가공품","자몽종자추출물","","식물발효원액","말티톨혼합제제-마리톨50","","발효젖산칼슘","","","","","","매실농축액","","비타민복합분말-MB","","참깨미네랄","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4086","품목보고번호20110084489198","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바이탈 노니","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"노니추출액","백포도농축액","망고퓌레","구기자추출액","아로니아농축액","유자과즙","발효식초","혼합농축액","구연산","잔탄검","왕느릅나무껍질분말","기타가공품",NA,NA,NA,NA,"","","망고퓨레","","","","토마토발효식초","","함수구연산","","유백피농축분말","프로폴리스혼합액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4085","품목보고번호2014044903232","업소명(주)유담","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명바이탈 워터","분류식품","업체명","(주)유담","소재지","충청남도 천안시 서북구 남산2길 65","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"정제수","포도당","에리스리톨","수크랄로스","혼합제제비타민B","구연산","구연산삼나트륨","비타민C","자몽향","자몽향","기타가공품","정제소금","염화칼륨","DL-사과산","타우린",NA,"","함수결정포도당","","","비타민B복합물","","","","","","수용성커큐민-12","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4084","품목보고번호20110084489513","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바이탈업 아르기닌 6000","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","L-아르지닌","구연산","망고농축액","레몬농축액","효소처리스테비아","타우린","향료","오르니틴염산염","수박추출물","기타가공품","비타민B1염산염","비타민B2","비타민B6염산염","엽산","혼합제제","","","함수구연산","","","","","애플망고향/합성향료","","수박추출분말","복합황금추출물","","","","","아미노산혼합제제/아미노믹스","17","18","19","20","글루콘산아연","과라나추출물분말","녹용추출분말","흑마늘분말","","과라나추출분말","녹용엑기스분말","흑마늘농축분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4083","품목보고번호20040275056427","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명바이탈플랜트 에스아르긴(VitalPlant S argin)","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"정제수","올리고당","L-아르지닌","라즈베리농축액","구연산","블랙베리농축액","석류농축액","덩굴월귤농축액","아사이팜열매주스","효소처리스테비아","펙틴","아로니아농축액","생선콜라겐","황금혼합추출물",NA,NA,"","프락토올리고당","","","무수구연산","","","크랜베리농축액","아사이베리주스","","","","피쉬콜라겐","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4082","품목보고번호20110527046147","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월까지","제품명박기태명장 빵장수식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","백설탕","멥쌀","생강농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름분말(국산)","","유기농(국산)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4081","품목보고번호20090473152205","업소명(주)신성티엔에프","품목유형혼합음료","유통/소비기한제조일로 부터 24개월 까지","제품명박선영의 깔라만시 클렌즈 주스","분류식품","업체명","(주)신성티엔에프","소재지","충청남도 예산군 삽교읍 산단3길 93","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"칼라만시주스","프락토올리고당","타우린","비타민C혼합분말","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"칼라만시과즙100%(베트남산)","","","비타민C","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4080","품목보고번호1996061705337","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월","제품명박카스Sugar Free(캄보디아,베트남,몽골 수출용)","분류식품","업체명","동아오츠카(주)","소재지","경상남도 함안군 칠서면 공단서길 18","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","말티톨","타우린","생로얄젤리추출액","인삼농축액","L-라이신염산염","이노시톨","니코틴산아미드","비타민B1질산염","비타민B2인산에스테르나트륨","비타민B6염산염","카페인","정제소금","안식향산나트륨","구연산","오렌지에센스","오렌지향","","","","","","","","","","","","","","","","N-52255","17","18","19","20","파인애플엣센스","파인애플향","딸기에센스","딸기향","","","","","21","22","23","24","25","수크랄로스","아세설팜칼륨","효소처리스테비아","주정","정제수","","","","",""
"9","번호4079","품목보고번호20010515081465","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명박카스에이","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","타우린","과라나추출물분말","안식향산나트륨","백설탕","액상과당","인삼농축액","L-라이신염산염","이노시톨","니코틴산아미드","비타민 B1질산염(고시형)","비타민 B2 인산에스테르나트륨(고시형)","비타민B6염산염","정제소금","구연산(무수)","효소처리스테비아","농축사과과즙","","열매추출물","","","","","","","","","","","","","","","17","18","19","20","파인애플에센스","오렌지에센스","딸기에센스","파인애플향","","","","","21","22","23",NA,NA,"오렌지향","딸기향","정제수",NA,NA,"","","",NA,NA
"10","번호4078","품목보고번호1999061119338","업소명동아메딕스","품목유형혼합음료","유통/소비기한24개월","제품명박톤디","분류식품","업체명","동아메딕스","소재지","경상남도 밀양시 상남면 고노실길 16","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"농축사과과즙","백설탕","타우린","비타민C","구연산","DL-사과산","구연산삼나트륨","니코틴산아미드","STEVIOSIDE 스테비오사이드","비타민B2","허브향","안식향산나트륨","정제수",NA,NA,NA,"","","","","산도조절제","산도조절제","산도조절제","향미증진제","효소처리제","","착향료","합성보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
