"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16"
"1","번호4067","품목보고번호2008056020029","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명발효초 블루베리","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10","블루베리농축액","정제수","이소말토올리고당","액상과당","주정","사과농축액","벌꿀","구연산","비타민C","효소처리스테비아","6.5Brix 미국산","","","고과당","","72Brix 국산","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호4066","품목보고번호2008056020044","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명발효초 석류 헴프씨드","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10","석류농축액","올리고당","기타과당","삼씨앗추출액","사과농축액","벌꿀","구연산","비타민C","효소처리스테비아","정제수","6.5Brix","","고과당","수입산:캐나다","72Brix","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호4065","품목보고번호2008056020033","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명발효초 울금 블루베리","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10","블루베리농축액","정제수","이소말토올리고당","액상과당","울금농축액","주정","사과농축액","벌꿀","구연산","비타민C","6.5Brix 미국산","","","고과당","6.5Brix 국산","","72Brix 국산","","","","11","효소처리스테비아","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호4064","품목보고번호200805602004","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명발효초대추","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10","대추엑기스","주정","사과농축액","구연산","벌꿀","비타민C","정제수","효소처리스테비아","이소말토올리고당","액상과당","10Brix 국산","","72Brix 국산","","","","","","","고과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4063","품목보고번호200805602003","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명발효초복분자","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10","주정","사과농축액","구연산","벌꿀","비타민C","정제수","복분자농축액","올리고당","기타과당","효소처리스테비아","","72Brix","","","","","5Brix","","고과당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4062","품목보고번호200805602002","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명발효초석류","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10","주정","사과농축액","구연산","벌꿀","비타민C","정제수","석류농축액","올리고당","기타과당","효소처리스테비아","","72Brix","","","","","6.5Brix","","고과당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4061","품목보고번호200805602008","업소명발효촌","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명발효초포도","분류식품","업체명","발효촌","소재지","경상북도 경산시 진량읍 가야로 307(가,나동 1,2층)","1","2","3","4","5","6","7","8","9","10","주정","사과농축액","구연산","벌꿀","비타민C","정제수","포도농축액","올리고당","기타과당","효소처리스테비아","","72Brix","","","","","6.5Brix","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4060","품목보고번호2014060761429","업소명한보D&F","품목유형혼합음료","유통/소비기한18개월","제품명발효홍삼","분류식품","업체명","한보D&F","소재지","경상북도 경산시 압량읍 가일길28길 59-4(가동 한보D&F)","1","2","3","4","5","6","7","8","9","10","백설탕","벌꿀","덱스트린","사과농축액","홍삼향","구연산","카라기난","비타민 B1라우릴황산염(고시형)","발효홍삼농축액","홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","카라멜색소",NA,"12","13","구연산삼나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4059","품목보고번호19890445014888","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명발효홍삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","홍삼혼합추출액","정제수","기타과당","이소말토올리고당","카복시메틸셀룰로스나트륨","사양벌꿀","카라멜색소 Ⅳ","구연산","안식향산나트륨","효소처리스테비아","고형분 1.8% 이상","","","","","","","","","","11","발효홍삼농축액","","12","13","인삼향","인삼향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4058","품목보고번호1997046417270","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명발효홍삼파워","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","홍삼농축액","발효홍삼농축액","액상과당","대추농축액","카라멜색소","황정농축액","구연산","영지농축액","구기자농축액","감초농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","비타에프엠",NA,"12","13","구연산삼나트륨","잔탄검",NA,NA,"14","15","16","허브향","허브홍삼향","정제수",NA,NA,NA
