"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10"
"1","번호4027","품목보고번호20000614238311","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명배에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","과.채가공품","배농축액","설탕","수크랄로스","아세설팜칼륨","DL-사과산","비타민C","배향","식용색소황색제4호","정제수","배퓨레","","","","","","","","",""
"2","번호4026","품목보고번호19960458039516","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명배음료","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7",NA,NA,NA,"정제수","백설탕","배퓌레","혼합제제","DL-사과산","비타민C","효소처리스테비아",NA,NA,NA,"","","10Brix, 국산","배후레바 GF-130631","","","",NA,NA,NA
"3","번호4025","품목보고번호19960571018557","업소명우일음료","품목유형혼합음료","유통/소비기한1) 합성수지재(PET) 포장제품 : 제조일로부터 1년 2) 병 포장 제품 : 제조일로부터 1년","제품명배음료","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7",NA,NA,NA,"정제수","과.채가공품","설탕","합성향료","DL-사과산","비타민C","효소처리스테비아",NA,NA,NA,"","배퓨레","","배후레바","","","",NA,NA,NA
"4","번호4024","품목보고번호2009061600552","업소명연호전통식품","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명백년 수수식혜","분류식품","업체명","연호전통식품","소재지","경상남도 의령군 부림면 미타로1길 26-1","1","2","3","4","5",NA,NA,NA,NA,NA,"수수","청미래덩굴잎","쌀","엿기름","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호4023","품목보고번호2009037514923","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한상단 표시일까지","제품명백년 알카리수","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","3",NA,NA,NA,NA,NA,NA,NA,"정제수","수산화마그네슘","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호4022","품목보고번호200305411388","업소명늘푸른샘","품목유형혼합음료","유통/소비기한1년","제품명백년동안백년초","분류식품","업체명","늘푸른샘","소재지","경상북도 김천시 감문면 대양길 25","1","2","3","4",NA,NA,NA,NA,NA,NA,"백년초추출액","올리고당","비타민C","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호4021","품목보고번호202100845893","업소명(주)백담","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명백담 워터파파","분류식품","업체명","(주)백담","소재지","서울특별시 금천구 서부샛길 648(대륭테크노타운6차 5층 501호 가산동)","1","2","3","4",NA,NA,NA,NA,NA,NA,"정제수","산호분말","규소수지혼합제제","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호4020","품목보고번호202100845891","업소명(주)백담","품목유형혼합음료","유통/소비기한제조일로부터 3년","제품명백담수 플러스","분류식품","업체명","(주)백담","소재지","서울특별시 금천구 서부샛길 648(대륭테크노타운6차 5층 501호 가산동)","1","2","3","4","5","6","7",NA,NA,NA,"정제수","산호분말","공작야자수액","분말비타민D3혼합제제","스테비아추출물","황칠나무추출분말","필리핀레몬열매과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호4019","품목보고번호19890445014691","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월(실온)","제품명백두대간 토종 가시오가피","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,NA,"가시오갈피추출액","식물혼합추출물","황금혼합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호4018","품목보고번호2018018911054","업소명대광바이오","품목유형혼합음료","유통/소비기한12개월","제품명백산차 음료","분류식품","업체명","대광바이오","소재지","대구광역시 달성군 하빈면 하빈로140길 62-5(1층)","1","2","3","4","5","6","7",NA,NA,NA,"백산차잎","정제수","비타민C","비타민 A","자일리톨","탄산수","레몬과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
