"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","성분 및 원료17","비고17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고18","비고19","비고20","비고21","비고22","비고23","비고24"
"1","번호3857","품목보고번호19940474018477","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한24개월","제품명본칼슘","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","사과농축액","액상과당","구연산","구연산삼나트륨","글리신","젖산칼슘","비타민b1염산염","비타민B2","니코틴산아미드","비타민C","비타민D3","잔탄검","정제염","스테비올배당체","드링크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3856","품목보고번호2022062605450","업소명주식회사건영비앤에프","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명봄마중 황매실 콜라겐 젤리","분류식품","업체명","주식회사건영비앤에프","소재지","충청남도 천안시 서북구 직산읍 부송1길 62(1동, 2동, 3동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,"액상차","분말한천(고시형)","생선콜라겐","로커스트콩검","잔탄검","타마린드검","카라기난","염화칼륨",NA,NA,NA,NA,NA,NA,NA,NA,"봄마중 행복담은 매시리","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3855","품목보고번호20190473161249","업소명(주)휴온스푸디언스금산3공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명봉바이오틱스","분류식품","업체명","(주)휴온스푸디언스금산3공장","소재지","충청남도 금산군 금산읍 인삼광장로 19(금산인삼농협국제유통센타 2~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","비타민B6염산염","비타민B2","비타민B1염산염","DL-사과산","효소처리스테비아","기타가공품","기타가공품","잔탄검","구연산삼나트륨","맥아추출액","구연산(무수)","기타가공품","사과향","자일리톨혼합제제","사과농축액","프락토올리고당","","","","","스테비텐 후레쉬(STECITEN FRESH), 품목제조번호 : 19930556020123","복합황금추출물, 품목보고번호:20080360405-33","틴딜화 17종 파라바이오틱스(500B), 품목보고번호:2019049169246","","","","","베름 포스트바이오틱스 EF-2001(유산균사균체분말), 품목보고번호:201603838562","사과향 A070405","자일리톨","(풋/청)사과주스농축액","","17","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3854","품목보고번호19980449002690","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명봉봉 알로에큐브 복숭아","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,"당시럽","알로에베라(고시형)","복숭아농축액","정제소금","효소처리루틴","비타민C","젤란검","설탕","구연산삼나트륨","젖산칼슘","구연산","복숭아향","시트러스향","정제수",NA,NA,"","다이스","클리어","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3853","품목보고번호200903971783","업소명봉평메밀특산단지영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 18개월(냉장, 냉동)","제품명봉평메밀냉식혜","분류식품","업체명","봉평메밀특산단지영농조합법인","소재지","강원도 평창군 봉평면 이효석길 5-50","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"메밀추출액","백설탕","엿기름","메밀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3852","품목보고번호20120543109105","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명봉화산발효흑도라지스틱","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"도라지추출액","대추농축액","벌꿀","생강농축액","홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑도라지(국산)","(국산)","(국산)","(국산)","(국산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3851","품목보고번호2012054310920","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명봉화산속 발효흑도라지 스틱","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"도라지농축액","대추농축액","생강농축액","벌꿀","홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑도라지농축액","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3850","품목보고번호20120543109106","업소명(재)경북바이오산업연구원 바이오벤처프라자","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명봉화산흑도라지진액","분류식품","업체명","(재)경북바이오산업연구원 바이오벤처프라자","소재지","경상북도 안동시 풍산읍 산업단지길 88","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"도라지추출액","배농축액","생강착즙액","홍삼농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑도라지(국산)","(국산)","(국산)","(국산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3849","품목보고번호20190391582186","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명부스트 이뮤니티","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","오렌지농축액","레드자몽농축액","프락토올리고당","시클로덱스트린시럽","과.채가공품","아로니아농축액","레몬농축액","변성전분","구연산(무수)","과.채가공품","강황농축액","기타가공품","L-아르지닌","혼합제제","L-글루타민","","","","","","엘더베리 농축액","","","","","크랜베리 농축액","","복합황금추출물","","LJG 컴파운드 238","","17","타우린","","18","19","20","21","22","23","24","글루콘산아연","기타가공품","잔탄검","니코틴산아미드","비타민B6염산염","비타민B1염산염","비타민B2","","복합허브추출물C","","","","",""
"10","번호3848","품목보고번호2016044525298","업소명(주)엔에스티바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명부스트업 발효노니홍삼","분류식품","업체명","(주)엔에스티바이오","소재지","충청북도 음성군 음성읍 중앙로 296","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"노니농축액","홍삼농축액","프락토올리고당","석류농축액","백포도농축액","시클로덱스트린","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농 발효숙성노니농축액","홍삼농축액(고형분 60%이상)","","","백(청)포도농축액","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
