"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호3837","품목보고번호200904332324","업소명동화약품(주)","품목유형혼합음료","유통/소비기한24개월","제품명부채표원쌍화","분류식품","업체명","동화약품(주)","소재지","충청북도 충주시 충주산단1로 167(용탄동)","1","2","3","4","5","6","7","8","동화쌍화농축액","액상과당","구연산","L-주석산","정제수","과.채가공품","재제소금(재제조소금)","기타가공품","(고형분 59.98%)","","","","","농축사과과즙(50Brix)A","한주꽃소금","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3836","품목보고번호19970464172314","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명부처미네랄","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","백설탕","염화마그네슘","레몬농축액","구연산","구연산삼나트륨","비타민C","수크랄로스","비타민 B2(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,"9","10","11","12","레몬향","민트향","시트러스향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3835","품목보고번호19960308010564","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18월","제품명부탁해 B군","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","정제수","기타과당","비타민C","레몬농축액","구연산","합성향료","효소처리스테비아","천연향료","","","","당도 64Brix°이상","","레몬향","","천연오렌지향","9","10","11","12","구연산삼나트륨","펙틴","재제소금(재제조소금)","니코틴산아미드","","","","","13","14","15","16","17","18","19","20","21","타우린","혼합제제","비타민B6염산염","비타민B2","용성비타민P","비타민B1질산염","판토텐산칼슘","엽산","비오틴","","비타민B12혼합제제[말토덱스트린,구연산나트륨,구연산,비타민B12,합계100%]","","","","","","",""
"4","번호3834","품목보고번호2020028014762","업소명아밀키 성남공장","품목유형혼합음료","유통/소비기한제조일로부터 3개월","제품명부트온 클렌즈 48시간 옐로우","분류식품","업체명","아밀키 성남공장","소재지","경기도 성남시 중원구 사기막골로105번길 25(중앙인더스피아2아파트형공장 907호 상대원동)","1","2","3","4","5","6","7","8","정제수","난소화성말토덱스트린(고시형)","유산균","구연산","알룰로오스","효소처리스테비아","정제소금","필리핀레몬열매원액","","","","","","","","깔라만시원액","9","10",NA,NA,"칼라만시향","비타민믹스혼합제제",NA,NA,"","비타민믹스T(비타민C,비타민E혼합제제, 니코틴산아미드,비타민A혼합제제,판토텐산칼슘,비타민B1염산염,비타민B6염산염,비타민D3혼합제제,비타민B2,",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3833","품목보고번호20100528066133","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌복분자식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,"복분자발효액","엿기름당화액","정제수","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3832","품목보고번호20100528066205","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌수정과","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6",NA,NA,"계피","설탕","생강","곶감","건대추","정제수",NA,NA,"","흑설탕","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3831","품목보고번호20100528066140","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌유기농복분자식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,"복분자발효액","엿기름당화액","정제수","설탕","쌀",NA,NA,NA,"유기농","유기농","","유기농","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3830","품목보고번호20100528066134","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌유기농전통식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,"정제수","엿기름당화액","설탕","쌀","생강",NA,NA,NA,"","유기농","유기농","유기농","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3829","품목보고번호20100528066135","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌유기농호박식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,"엿기름당화액","서양호박","정제수","설탕","쌀",NA,NA,NA,"유기농","유기농자숙단호박","","유기농","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3828","품목보고번호20100528066136","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동 12개월","제품명북촌전통식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5",NA,NA,NA,"정제수","엿기름당화액","설탕","쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
