"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호3817","품목보고번호19860443015570","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명뷰셀리온 퍼펙트 콜라겐 6000 BEAUCELLION PERFECT COLLAGEN 6000","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","정제수","생선콜라겐","자일리톨","블루베리농축액","대추야자농축액","구연산","블루베리향","매실농축액","황금혼합추출물","효소처리스테비아","수크랄로스","녹차추출물분말가루","히알루론산혼합제제","비타민C","엘라스틴가수분해물","테아닌","비타민 A 혼합제제","비타민D3","비오틴 혼합분말","복합효모분말","우유단백질","토마토추출물분말","연어추출분말","","피쉬콜라겐","","","","","","","복합황금추출물","","","녹차추출분말","히알루론산","","","","","","","효모분말","우유농축분말","화이트토마토추출분말","연어코연골추출물, 프로테오글리칸"
"2","번호3816","품목보고번호20110084489390","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명뷰트리 리얼 콜라게니아","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,"정제수","프락토올리고당","생선콜라겐","파인애플농축액","비타민C","혼합제제","과.채가공품","타우린","효소처리스테비아","구연산","잔탄검","기타가공품","혼합제제","엘라스틴가수분해물","니코틴산아미드","기타가공품","기타가공품","건조효모",NA,NA,NA,NA,NA,"","","피쉬콜라겐","","","","청귤착즙농축액","","","함수구연산","","복합황금추출물","","","","밀크세라마이드","병풀추출분말","",NA,NA,NA,NA,NA
"3","번호3815","품목보고번호19860435013859","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명뷰트리 시크릿 콜라겐 앰플 Beautri secret collagen ampoule","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","콜라겐가수분해물","포도농축액","베리혼합농축액","믹스베리향","구연산","DL-사과산","황금농축액","히알루론산혼합제제","비타민C","유산균혼합분말","스테비올배당체","말태반추출물","엘라스틴","알로에베라겔농축분말",NA,NA,NA,NA,NA,NA,NA,NA,"","콜라겐펩타이드","적포도농축액(고형분 67%)","(고형분 48%)","(천연향료)","","","황금혼합농축액","","","","","발효말태반추출분말","엘라스틴추출물혼합분말","(100:1)",NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3814","품목보고번호20110149027165","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뷰티 루비 석류 콜라겐 스틱","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3813","품목보고번호2011035599977","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뷰티 아쿠아 젤리 망고","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","망고농축액","생선콜라겐분말","에리스리톨","아세설팜칼륨","수크랄로스","곤약분말","혼합제제","구연산(무수)","구연산삼나트륨","비타민C","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","60brix/이스라엘산","","","","","중국산","","","","","망고향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3812","품목보고번호2011035599976","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뷰티 아쿠아 젤리 복숭아","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","복숭아농축액","생선콜라겐분말","에리스리톨","아세설팜칼륨","수크랄로스","곤약분말","혼합제제","구연산(무수)","구연산삼나트륨","비타민C","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","68brix/이스라엘산","","","","","중국산","","","","","복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3811","품목보고번호2011035599975","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뷰티 아쿠아 젤리 사과","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","사과농축액","생선콜라겐분말","에리스리톨","아세설팜칼륨","수크랄로스","곤약분말","혼합제제","구연산(무수)","구연산삼나트륨","비타민C","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","72brix/국내산","","","","","중국산","","","","","사과향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3810","품목보고번호2011035599979","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뷰티 아쿠아 젤리 석류","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","석류농축액","생선콜라겐분말","에리스리톨","아세설팜칼륨","수크랄로스","곤약분말","혼합제제","구연산(무수)","구연산삼나트륨","비타민C","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","65brix/이스라엘산","","","","","중국산","","","","","석류향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3809","품목보고번호2011035599978","업소명주식회사 황금유자","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명뷰티 아쿠아 젤리 청포도","분류식품","업체명","주식회사 황금유자","소재지","경기도 파주시 조리읍 능안로265번길 7-58(1,2,3,4동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","청포도농축액","생선콜라겐분말","에리스리톨","아세설팜칼륨","수크랄로스","곤약분말","혼합제제","구연산(무수)","구연산삼나트륨","비타민C","합성향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","68brix/칠레산","","","","","중국산","","","","","청포도향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3808","품목보고번호20110149027262","업소명주식회사 케이엔에프코리아(KNF KOREA INC)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명뷰티 타트체리&석류콜라겐","분류식품","업체명","주식회사 케이엔에프코리아(KNF KOREA INC)","소재지","부산광역시 강서구 대저로3번길 106(대저1동)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","체리농축액","생선콜라겐","로커스트콩검","잔탄검","분말한천(고시형)","타마린드검","카라기난","염화칼륨","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"65 brix, 스페인산","타트체리농축액65 brix, 터키산","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
