"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","성분 및 원료1","성분 및 원료2","성분 및 원료3","비고1","비고2","비고3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26"
"1","번호3717","품목보고번호20180614164268","업소명하동농산물가공영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명블루베리쥬스","분류식품","업체명","하동농산물가공영농조합법인","소재지","경상남도 하동군 적량면 한옥정길 94","1","2","3","블루베리과즙","구연산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3716","품목보고번호19970617062124","업소명조아제약(주)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명블루베리큐","분류식품","업체명","조아제약(주)","소재지","경상남도 함안군 함안면 광정로 318","1","2","3","정제수","기타과당","블루베리농축액","","액상과당","65 Brix","4","5","6","7","8","9","비타민C","구연산(무수)","블루베리향","효소처리스테비아","타우린","감귤추출물","","","","","","감귤류추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3715","품목보고번호19970464172501","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명블루베리프리미엄","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","블루베리농축액","백설탕","기타과당",NA,NA,NA,"4","5","6","7","8","9","비타민C","구연산","구연산삼나트륨","효소처리스테비아","블루베리향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3714","품목보고번호20110612047124","업소명영농조합법인 푸른초장","품목유형혼합음료","유통/소비기한12개월","제품명블루베리플러스","분류식품","업체명","영농조합법인 푸른초장","소재지","경상남도 거제시 거제면 옥산금성길 23(나동 외 3필지)","1","2","3","정제수","블루베리농축액","프락토올리고당","","블루베리1`00%","","4","5",NA,NA,NA,NA,"라즈베리농축액","분말결정포도당",NA,NA,NA,NA,"라즈베리100%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3713","품목보고번호20190391582195","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명블루베리혼합농축액","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","정제수","구연산(무수)","결정과당",NA,NA,NA,"4","5","6","7","8",NA,"블루베리주스농축액","프락토올리고당","시클로덱스트린시럽","아로니아농축액","프로필렌글리콜",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3712","품목보고번호2017055519517","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명블루캔디 에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","정제수","기타과당","설탕","","액상과당","","4","5","6","7","8","9","탈지분유","소다향","구연산","두류가공품","인산","구연산삼나트륨","미국산","","함수구연산","대두다당류-유화제","","구연산나트륨","10","11","12","혼합제제","수크랄로스","식용색소청색제1호","CMC-Na, 규소수지, 유화제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3711","품목보고번호20050555180647","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명블루캔디 에이드","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","정제수","기타과당","설탕","","액상과당","","4","5","6","7","8","9","탈지분유","소다향","구연산","두류가공품","인산","구연산삼나트륨","미국산","","함수구연산","대두다당류-유화제","","","10","11","12","혼합제제","수크랄로스","식용색소청색제1호","CMC-Na, 규소수지, 유화제","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3710","품목보고번호2019008436422","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명블리스","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","정제수","산호분말","필리핀레몬열매농축액",NA,NA,NA,"4","5",NA,NA,NA,NA,"스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3709","품목보고번호20060445110712","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비거록스 아르기닌 6500","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","정제수","L-아르지닌","구연산","","","","4","5","6","7","8","9","시클로덱스트린","DL-사과산","사과포도혼합추출물","청포도농축액","청포도향","효소처리스테비아","","","사과포도추출물분말(비니트록스)","","","","10","11","12","맥아추출액","수크랄로스","아미노산혼합분말","맥아추출물","","아미노산혼합분말1","13","14","15","16","17","18","19","20","21","22","23","24","25","26","아미노산혼합분말","타우린","유산균발효마늘추출고형분","홍삼농축액","마카추출분말","산화아연","피로인산제이철","비타민B1염산염","비타민B2","비타민B6염산염","비타민E혼합제제","비타민D3혼합제제","산화마그네슘","수박추출물","아미노산혼합분말2(BCAA혼합분말)","","유산균발효마늘추출물분말","","","","","","","","","","","수박과피추출물분말"
"10","번호3708","품목보고번호20190391582203","업소명(주)네추럴웨이 포천제2공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비글로시 콜라겐 레시피 Be Glossy COLLAGEN Recipe","분류식품","업체명","(주)네추럴웨이 포천제2공장","소재지","경기도 포천시 군내면 용정경제로1길 48-60(1~3층)","1","2","3","정제수","자일리톨","기타가공품","","","저분자피쉬콜라겐펩타이드","4","5","6","7","8","9","석류과즙농축액","에리스리톨","포도농축액","기타가공품","인산","향료","","","","베리솔","","석류향","10","11","12","기타가공품","구연산(무수)","잔탄검","복합황금추출물","","","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,"스테비올배당체","기타가공품","알로에 겔(고시형)","기타가공품","L-시스틴","과.채가공품",NA,NA,NA,NA,NA,NA,NA,NA,"","복합허브추출물C","알로에베라겔동결건조분말 200:1","스네일익스트렉트파우더","","화이트토마토농축추출분말",NA,NA,NA,NA,NA,NA,NA,NA
