"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","성분 및 원료20","비고20"
"1","번호3660","품목보고번호19960308010509","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24월","제품명비타500Fresh프레쉬","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","액상과당","농축사과과즙","팔라티노스","비타민C","구연산","합성향료","재제소금(재제조소금)","효소처리스테비아","구연산삼나트륨","펙틴","글루콘산아연","스테비올배당체","DL-사과산","오렌지추출물","비타민B2","니코틴산아미드","용성비타민P","감초추출물","","","","","","","드링크향","","","","","","","","","","","","",NA,NA,NA
"2","번호3659","품목보고번호20020623009741","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타500Fresh프레쉬","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","액상과당","농축사과과즙","팔라티노스","비타민C","구연산","드링크향","재제소금(재제조소금)","효소처리스테비아","구연산삼나트륨","펙틴","스테비올배당체","DL-사과산","오렌지추출물","식품첨가물혼합제제","비타민B2","니코틴산아미드","용성비타민P","감초추출물","","","","","","","합성향료","","","","","","","","히알루론산-KD","","","","",NA,NA,NA
"3","번호3658","품목보고번호19960308010528","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 15월","제품명비타500S","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"정제수","기타과당","농축사과과즙","비타민C","구연산","합성향료","재제소금(재제조소금)","효소처리스테비아","구연산삼나트륨","펙틴","타우린","DL-사과산","오렌지추출물","기타가공품","비타민B2","니코틴산아미드","판토텐산칼슘","용성비타민P",NA,"","","당도 72Brix°이상","","","드링크향","","","","","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","히알루론산-KD(히알루론산, 덱스트린 합계 100%)","","","","",NA,NA,NA,NA
"4","번호3657","품목보고번호1996030801066","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일부터24월","제품명비타500골드","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17",NA,NA,"정제수","기타과당","농축사과과즙","비타민C","구연산","드링크향","구연산삼나트륨","펙틴","타우린","DL-사과산","오렌지추출물","비타민B2","재제소금(재제조소금)","효소처리스테비아","판토텐산칼슘","니코틴산아미드","용성비타민P",NA,NA,"","","당도 72 Brix 이상","","","","","","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","","","","","","",NA,NA,NA,NA,NA
"5","번호3656","품목보고번호19940474018692","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타500광도르방","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","감귤농축과즙액","오렌지추출물","비타민C","기타과당","구연산","효소처리스테비아","재제소금(재제조소금)","구연산삼나트륨","펙틴","글루콘산아연","타우린","DL-사과산","비타민B2","니코틴산아미드","판토텐산칼슘","용성비타민P","합성향료","천연향료","정제수","당도60Brix이상","오렌지농축과즙액,시트로후레쉬농축액 합계 100%","","","","","","","","","","","","","","","감귤향","천연오렌지향","",NA,NA,NA
"6","번호3655","품목보고번호19960308010566","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터24월","제품명비타500비건라이트","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","기타과당","비타민C","농축사과과즙","구연산","합성향료","재제소금(재제조소금)","기타가공품","구연산삼나트륨","펙틴","효소처리스테비아","DL-사과산","수크랄로스","오렌지추출물","감초추출물","비타민B2","용성비타민P","아세설팜칼륨","에리스리톨","","","","당도 72Brix°이상","","드링크향","","KD스위트블렌드","","","","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","","","","","","20","글루콘산아연",""
"7","번호3654","품목보고번호20060396013120","업소명주식회사 대웅생명과학","품목유형혼합음료","유통/소비기한15개월","제품명비타500아이스","분류식품","업체명","주식회사 대웅생명과학","소재지","강원도 영월군 북면 밤재로 425","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","기타과당","농축사과과즙","구연산","비타민C","드링크향","재제소금(재제조소금)","효소처리스테비아","비타민B2","니코틴산아미드","판토텐산칼슘","용성비타민P","구연산삼나트륨","타우린","DL-사과산","오렌지추출물","덱스트린","펙틴","잔탄검","","","당도 72 brix˚ 이상","","","","","","","","","","","","","","말토덱스트린","","",NA,NA,NA
"8","번호3653","품목보고번호19960308010517","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한15개월","제품명비타500아이스","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","기타과당","농축사과과즙","구연산","비타민C","드링크향","덱스트린","효소처리스테비아","재제소금(재제조소금)","구연산삼나트륨","펙틴","DL-사과산","타우린","오렌지추출물","잔탄검","비타민B2","니코틴산아미드","판토텐산칼슘","용성비타민P","","","","","","","말토덱스트린","","","","","","","오렌지농축과즙액, 시트로후레쉬농축액 합계 100%","","","","","",NA,NA,NA
"9","번호3652","품목보고번호20060396013121","업소명주식회사 대웅생명과학","품목유형혼합음료","유통/소비기한제조일로부터 18월","제품명비타500치어팩","분류식품","업체명","주식회사 대웅생명과학","소재지","강원도 영월군 북면 밤재로 425","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","기타과당","농축사과과즙","비타민C","구연산","드링크향","이소말토올리고당","구연산삼나트륨","펙틴","DL-사과산","타우린","오렌지추출물","비타민B2","히알루론산혼합제제","재제소금(재제조소금)","효소처리스테비아","니코틴산아미드","판토텐산칼슘","용성비타민P","","","당도 72brix 이상","","결정","","","결정","","","","오렌지농축과즙, 시트로후레쉬농축액  합계100%","","히알루론산-KD(히알루론산,덱스트린 합계 100%)","","","","","",NA,NA,NA
"10","번호3651","품목보고번호20020623009708","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타500칼슘","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,"액상과당","농축사과과즙","비타민C","구연산","드링크향","퓨라칼","구연산삼나트륨","펙틴","타우린","DL-사과산","오렌지추출물","정제수","기타가공품",NA,NA,NA,NA,NA,NA,"","72brix이상","","","","글루콘산칼슘50%, 젖산칼슘50%, 합계 100%","","","","","오렌지농축과즙액, 시트로후레쉬농축액 합계100%","","케이디비타2800",NA,NA,NA,NA,NA,NA,NA,NA,NA
