"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18","번호19","번호20","번호21","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고19","비고20","비고21"
"1","번호3650","품목보고번호19960308010560","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터18월","제품명비타500콜라겐","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","기타과당","비타민C","망고농축액","생선콜라겐펩타이드","구연산","합성향료","합성향료","효소처리스테비아","스테비올배당체","두류가공품","펙틴","구연산삼나트륨","재제소금(재제조소금)","DL-사과산","비타민B2","","","","","저분자콜라겐펩타이드","","열대과일향","오렌지향","","","대두다당류","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3649","품목보고번호19940474018708","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타500콜라겐","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","망고농축액","기타과당","생선콜라겐펩타이드","비타민C","비타민B2","수크랄로스","아세설팜칼륨","효소처리스테비아","재제소금(재제조소금)","DL-사과산","구연산","구연산삼나트륨","두류가공품","펙틴","향료","향료","","","저분자콜라겐펩타이드","","","","","","","","","","대두다당류","","슈가인핸서","열대과일향","17","18","향료","정제수","오렌지향","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3648","품목보고번호2008056307419","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명비타505","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"비타민C","사과농축액","젖산칼슘","액상과당","타우린0","자몽종자추출액","비타민B","파인애플향","구연산","구연산삼나트륨","니코틴산아미드","효소처리스테비아","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3647","품목보고번호19970464172363","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타C 1500","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","기타과당","백설탕","비타민C","비타민B2","비타민B6염산염","구연산삼나트륨","펙틴","정제소금","파인애플향","사과향","과라나추출물분말","타우린","니코틴산아미드","효소처리스테비아","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3646","품목보고번호20020623009932","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타C 프로폴리스","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","과.채가공품","기타과당","사양벌꿀","구연산","구연산삼나트륨","DL-사과산","로열젤리","프로폴리스추출농축액","펙틴","효소처리스테비아","타우린","비타민C","비타민B2","오렌지추출물","정제소금","드링크향","사과농축과즙(72Brix)","","","","","","로열젤리펩타이드","수용성프로폴리스추출물","","스테비안50","","","","","","합성향료","17","18","드링크향","드링크향","합성향료","합성향료","19","20","21","파인애플향","허니향","정제수","합성향료","합성향료",""
"6","번호3645","품목보고번호19940474018417","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터18개월","제품명비타C1000","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","비타민C1","농축사과과즙","파인애플향","구연산","타우린0","스테비올배당체","구연산삼나트륨","DL-사과산","니코틴산아미드","비타민B2","비타민B6염산염","판토텐산칼슘","마카추출분말","비타민B1염산염","액상과당","황금복합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"17",NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3644","품목보고번호19970464172194","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명비타C500 프라임","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"백설탕","농축사과과즙","효소처리스테비아","구연산","구연산삼나트륨","비타민C","니코틴산아미드","비타민B2","타우린","DL-사과산","사과향","파인애플향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3643","품목보고번호19990555093209","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한12월","제품명비타C골드","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,"액상과당","비타민C","사과농축액","구연산","드링크향","구연산삼나트륨","오렌지엑기스","효소처리스테비아","혼합허브추출물","타우린","니코틴산아미드","비타민B2","정제수",NA,NA,NA,"","","","","","","","","복합허브추출물C","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3642","품목보고번호19970464172162","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명비타C플러스","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"액상과당","사과즙","비타민C","니코틴산아미드","비타민B2","효소처리스테비아","DL-사과산","구연산","구연산삼나트륨","파인애플향","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3641","품목보고번호20020623009102","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명비타C허브","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,"비타민C","과.채가공품","구연산","구연산삼나트륨","스테비올배당체","덱스트린","니코틴산아미드","탄산칼슘","L-카르니틴","비타민-B2","파인애플향","페퍼민트향","정제수","레몬그라스추출물","액상과당",NA,"","사과농축과즙","","","","","","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
