"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","성분 및 원료16","비고16"
"1","번호3480","품목보고번호19890445014769","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명삼성프라센VIP","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","프락토올리고당","기타과당","석류농축액","돼지태반추출분말","기타가공품","구연산","타우린","젖산칼슘","비타민 B1염산염(고시형)","비타민 B2(고시형)","비타민B6염산염혼합제제","잔탄검","합성향료","안식향산나트륨","","","저감미당","","돈태반추출분말","실크펩타이드","","","","","","","","석류향","합성보존료",NA,NA,NA
"2","번호3479","품목보고번호19970464172138","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼성헛개모닝","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"헛개나무농축액","구기자농축액","사과농축액","액상과당","사양벌꿀","구연산","구연산삼나트륨","타우린","L-아스파라긴","니코틴산아미드","황금복합추출물","효소처리스테비아","허브향","정제수",NA,"","","","기타과당","","","","","","","","","","",NA,NA,NA,NA
"3","번호3478","품목보고번호20090242118122","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명삼시오끼 단호박 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","엿기름","쌀","과.채가공품","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","국산","국산","단호박분말(국산)","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3477","품목보고번호20090242118137","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명삼시오끼 배도라지 식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","올리고당","과.채가공품","쌀","엿기름","물엿","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,"","프락토올리고당","배퓨레(국산)","국산","국산","조청쌀엿","도라지 분말(국산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3476","품목보고번호20090242118136","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명삼시오끼 홍삼식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"정제수","올리고당","쌀","엿기름","물엿","인삼","고형차","건생강",NA,NA,NA,NA,NA,NA,NA,"","프락토올리고당","국산","국산","조청쌀엿","국산","홍삼 전분(홍삼100%,국산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3475","품목보고번호20140395066120","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한60일(냉장 0~10 ℃) / 1년(냉동 -18℃이하)","제품명삼양 모닝스쿨 우리쌀 옛날식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"멥쌀","백설탕","엿기름","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"(유기농, 국내산)","(정백당)","(국내산)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3474","품목보고번호19850449001115","업소명삼육식품","품목유형혼합음료","유통/소비기한6개월","제품명삼육그린플래닛 맛있는오트","분류식품","업체명","삼육식품","소재지","충청남도 천안시 서북구 직산읍 성진로 354-13","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"곡류가공품","곡류가공품","채종유(유채유 또는 카놀라유)","올리고당","탄산칼슘","제삼인산칼슘","구연산칼륨","정제소금","정제수",NA,NA,NA,NA,NA,NA,"오트추출분말","오트 페이스트","","바이올리고-아이엘950에스","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3473","품목보고번호19800415004324","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 can 2년","제품명삼정톤-에프","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","설탕","액상과당","타우린","구연산","홍삼농축액(고시형)","참당귀농축액","천궁농축액","구기자농축액","폴리소르베이트80","정제소금","곡류가공품","니코틴산아미드","비타민B2","비타민B6염산염","합성향료","","","","","","당귀농축액","","","","","보리발효추출물","","","","홍삼향","16","정제수",""
"9","번호3472","품목보고번호19970464172148","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명삼정톤에스","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"홍삼추출액","당귀추출액","구기자추출액","발효주정","백설탕","구연산","폴리소르베이트80","정제소금","구연산삼나트륨","니코틴산아미드","비타민B2","비타민B6염산염","천연홍삼향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3471","품목보고번호19970443044231","업소명(주)다정","품목유형혼합음료","유통/소비기한24개월  실온","제품명삼지왕골드","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"홍삼농축액","식물혼합추출액","액상과당","백설탕","당시럽","구연산","허브향","비타민C","정제염",NA,NA,NA,NA,NA,NA,"","","","","슈가시럽","","합성착향료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
