"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고9","비고10","비고11","번호12","성분 및 원료12","비고12","번호13","성분 및 원료13","비고13"
"1","번호5867","품목보고번호20010515081322","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Sunkist 우리배","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","배과즙","당류가공품","비타민 C(고시형)","DL-사과산","합성향료","합성향료","합성향료","정제수","","당시럽","","","배향","배향","배향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5866","품목보고번호20100543066643","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명Sunkist 우리배","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6",NA,NA,"정제수","당시럽","배과즙","합성향료","DL-사과산","비타민C",NA,NA,"","","국산","배향","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5865","품목보고번호19980449002495","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터  24개월까지 (실온)","제품명Sunkist 우리배","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6",NA,NA,"배과즙","당시럽","비타민C","DL-사과산","배향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5864","품목보고번호2015041501378","업소명(주)바른음료","품목유형혼합음료","유통/소비기한24개월","제품명Sunkist 우리배","분류식품","업체명","(주)바른음료","소재지","충청북도 청주시 서원구 현도면 선동2길 220","1","2","3","4","5","6","7","8","배과즙","당시럽","비타민C","DL-사과산","배향","배향","배향","정제수","9 brix","67 brix","","","W-7162","SW-5009(T)","TZ-4236","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5863","품목보고번호20010515081330","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 유자","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","유자청징농축액","당류가공품","구연산(결정)","비타민 C(고시형)","구연산삼나트륨","홍화황색소","효소처리스테비아","아세설팜칼륨","","당시럽","","","","","스테비텐루틴","Sunett","9","10","11","수크랄로스","합성향료","정제수","","유자향","",NA,NA,NA,NA,NA,NA
"6","번호5862","품목보고번호20100543066649","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 유자","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","정제수","당시럽","구연산","합성향료","구연산삼나트륨","유자농축액","비타민C","홍화황색소","","","","유자향","","국산,배합함량:100%,유자과즙으로 환원기준0.1%","","","9","10","11","수크랄로스","아세설팜칼륨","효소처리루틴","감미료","감미료","",NA,NA,NA,NA,NA,NA
"7","번호5861","품목보고번호20010515081320","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 제주감귤","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","감귤농축액","당류가공품","구연산(결정)","비타민 C(고시형)","아세설팜칼륨","수크랄로스","카로틴베이스 35468","합성향료","제주감귤농축액","당시럽","","","Sunett","","","오렌지향","9","10","11","합성향료","합성향료","정제수","오렌지향","오렌지향","",NA,NA,NA,NA,NA,NA
"8","번호5860","품목보고번호19980449002684","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명Sunkist 포도","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","포도과즙","구연산","난소화성말토덱스트린(고시형)","비타민B1염산염","구연산삼나트륨","수크랄로스","아세설팜칼륨","효소처리루틴","농축액","","","","","","","","9","10","11","에리스리톨","포도향","딸기향","","","","12","정제수","",NA,NA,NA
"9","번호5859","품목보고번호19980449002371","업소명해태에이치티비주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월(실온)","제품명Sunkist 허니유자","분류식품","업체명","해태에이치티비주식회사","소재지","충청남도 천안시 동남구 청당산업길 250(구룡동)","1","2","3","4","5","6","7","8","유자청징농축액","사양벌꿀","구연산","비타민C","구연산삼나트륨","홍화황색소","효소처리루틴","수크랄로스","","","","","","","","","9","10","11","유자향","카로틴","정제수","합성향료","카로틴-엘(에이치)","","12","아세설팜칼륨","","13","당시럽",""
"10","번호5858","품목보고번호20030473071356","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명Sunkist 허니유자","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","5","6","7","8","유자청징농축액","당시럽","사양벌꿀","구연산","비타민C","구연산삼나트륨","홍화황색소","효소처리루틴","51 Brix","67  Brix","","결정","","","","스테비텐 루틴","9","10","11","아세설팜칼륨","수크랄로스","합성향료","","","유자향","12","식품첨가물혼합제제","카로틴 베이스혼합제제","13","정제수",""
