"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16"
"1","번호3460","품목보고번호1999041506412","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명상수허브워터로즈마리","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","정제수","허브추출물","허브꽃추출물","순이추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3459","품목보고번호1999041506410","업소명(주)상수허브랜드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명상수허브워터민트","분류식품","업체명","(주)상수허브랜드","소재지","충청북도 청주시 서원구 남이면 부용외천길 18","1","2","3","4","정제수","허브추출물","허브꽃추출물","순이추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3458","품목보고번호2017037259080","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상아 크로스핏 L-아르기닌 젤리","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","정제수","프락토올리고당","L-아르지닌","구연산(무수)","","","","","5","6","7","8","9","10","11","12","포도농축액","혼합제제","블랙엘더베리농축액","혼합제제","포도당","수크랄로스","타우린","기타가공품","","포도향","엘더베리농축액","푸드겔","","","","복합황금추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3457","품목보고번호2017037259061","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상아공진보진액","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","홍삼추출액","식물혼합농축액","대추농축액","침향나무수지가침착된수간목","고형분1.5%이상","","","침향 추출액 고형분0.1%이상","5","6","7","8",NA,NA,NA,NA,"프락토올리고당","기타가공품","l-멘톨","정제수",NA,NA,NA,NA,"","식물혼합분말에이","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3456","품목보고번호2017037259075","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상아녹용정","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","정제수","녹용추출액","식물혼합농축액","대추농축액","","고형분 0.5%이상","","","5","6","7","8",NA,NA,NA,NA,"사양벌꿀","식물혼합추출액","영지농축액","생강농축액",NA,NA,NA,NA,"","고형분1.5%이상","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3455","품목보고번호2017037259029","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 실온에서 24개월","제품명상아데일리도라지배정","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","프락토올리고당","배농축액","도라지농축액","정제수",NA,NA,NA,NA,"5",NA,NA,NA,NA,NA,NA,NA,"생강농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3454","품목보고번호2017037259081","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명상아밸런스핏L-아르기닌","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","정제수","L-아르지닌","구연산","과당","","","","","5","6","7","8","9","10","11","12","과.채가공품","레드비트농축액","혼합제제","구연산삼나트륨","효소처리스테비아","식품첨가물혼합제제","식품첨가물혼합제제","기타가공품","포도과즙","","포도향","","","아미노믹스","비타민복합분말-MB","복합황금추출물","13","수크랄로스","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3453","품목보고번호19920624042426","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상아복분자","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","복분자농축액","농축사과과즙","액상과당","구연산",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","DL-사과산","에리스리톨","스테비안","글리신","레드색소(DB)","카라멜색소(BL)","복분자향(TF)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3452","품목보고번호2017037259082","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명상아비타민젤리","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","정제수","과당","딸기농축액","포도당","","","","","5","6","7","8","9","10","11","12","혼합제제","딸기향","구연산","과.채가공품","구연산삼나트륨","수크랄로스","글루콘산아연(고시형)","기타가공품","푸드겔","","","엘더베리농축액","","","","복합황금추출물","13","비타민D3","","14","판토텐산칼슘","",NA,NA,NA,NA,NA,NA
"10","번호3451","품목보고번호19920624042489","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명상아자연산수유","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","액상과당","백설탕","덱스트린","구연산",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","벌꿀","산수유향","레드칼라TMTSP","산수유향","산수유추출액","구연산삼나트륨","카라멜색소(BA)","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,NA,"13","황금복합추출물",NA,"14","아세로라농축분말",NA,"15","16","과라나추출물분말","정제수",NA,NA
