"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","번호26","번호27","성분 및 원료26","성분 및 원료27","비고26","비고27"
"1","번호3300","품목보고번호20050494114119","업소명(유)피엔비","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명센스큐","분류식품","업체명","(유)피엔비","소재지","전라북도 완주군 완주산단6로 170","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","혼합추출","참당귀","천궁","귤나무열매껍질","산사나무열매","작약","사철쑥","도라지뿌리","지황포제가공한뿌리","결명자","감초","수산화마그네슘","프락토올리고당","벌꿀","글루코만난","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3299","품목보고번호20110084489263","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명셀렉","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","자몽농축액","프락토올리고당","식물혼합추출물","구연산","보리순분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","홍자몽농축액","","새싹보리등추출복합물","함수구연산","새싹보리분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3298","품목보고번호19810227007581","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 밀크세라마이드 콜라겐 10000","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,"생선콜라겐펩타이드","레몬농축액","기타가공품","비타민C","비오틴","탄산수소나트륨","구연산","수크랄로스","아세설팜칼륨","합성향료","합성향료","정제수",NA,NA,NA,NA,"","","밀크세라마이드","","D-비오틴","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3297","품목보고번호20000441043240","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로틴 음료","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","카제인칼슘","채종유(유채유 또는 카놀라유)","소르비탄지방산에스테르","변성전분","구연산칼륨","분리대두단백","L-로이신","타우린","덱스트린","백설탕","프락토올리고당","호두페이스트","곡류가공품","식염","탄산칼슘","인산철","","","","","","","","","","","","","오곡추출농축액","","","","17","18","19","20","21","22","23","24","25","제삼인산칼슘","산화아연","원유","비타민혼합제제","합성향료","합성향료","합성향료","합성향료","정제수","","","","","밀크향","밀크향","땅콩향","땅콩향","",NA,NA,NA,NA,NA,NA
"5","번호3296","품목보고번호20000441043237","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로틴 음료 로우슈거","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","카제인칼슘","채종유(유채유 또는 카놀라유)","소르비탄지방산에스테르","변성전분","구연산칼륨","분리대두단백","L-로이신","타우린","덱스트린","프락토올리고당","땅콩페이스트","호두페이스트","곡류가공품","식염","탄산칼슘","인산철","","","","","","","","","","","","","오곡추출농축액","","","","17","18","19","20","21","22","23","24",NA,"산화아연","원유","비타민혼합제제","합성향료","합성향료","합성향료","합성향료","정제수",NA,"","","","밀크향","밀크향","땅콩향","땅콩향","",NA,NA,NA,NA,NA,NA,NA
"6","번호3295","품목보고번호19810227007471","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로틴 음료 로우슈거","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","원유","덱스트린","카제인칼슘","분리대두단백","채종유(유채유 또는 카놀라유)","변성전분","구연산칼륨","프락토올리고당","탄산칼슘","L-로이신","곡류가공품","식품첨가물혼합제제","타우린","소르비탄지방산에스테르","땅콩향","","","","","","","","","","","","오곡농축액(현미,보리,율무,조,수수)","비타민혼합제제","","유화제","합성향료","17","18","19","20","21","22","23","24","25","땅콩향","밀크크림향","정제소금","식품첨가물혼합제제","인산철","땅콩페이스트","바닐라향혼합제제","산화아연","호두페이스트","합성향료","합성향료","식염","밀크크림향","","","합성향료","","",NA,NA,NA,NA,NA,NA
"7","번호3294","품목보고번호19810227007470","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로틴 음료 오리지널","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","원유","설탕","덱스트린","카제인칼슘","분리대두단백","채종유(유채유 또는 카놀라유)","변성전분","구연산칼륨","프락토올리고당","탄산칼슘","L-로이신","곡류가공품","식품첨가물혼합제제","타우린","소르비탄지방산에스테르","","","","","","","","","","","","","오곡농축액(현미,보리,율무,조,수수)","비타민혼합제제","","유화제","17","18","19","20","21","22","23","24","25","제삼인산칼슘","땅콩향","땅콩향","밀크크림향","정제소금","식품첨가물혼합제제","인산철","땅콩페이스트","바닐라향혼합제제","","합성향료","합성향료","합성향료","식염","밀크크림향","","","합성향료","26","27","산화아연","호두페이스트","",""
"8","번호3293","품목보고번호20000441043181","업소명매일유업(주)영동공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로틴 음료 오리지널","분류식품","업체명","매일유업(주)영동공장","소재지","충청북도 영동군 매곡면 괘방령로 730-20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","카제인칼슘","채종유(유채유 또는 카놀라유)","소르비탄지방산에스테르","변성전분","구연산칼륨","분리대두단백","L-로이신","타우린","덱스트린","백설탕","프락토올리고당","땅콩페이스트","호두페이스트","곡류가공품","식염","탄산칼슘","","","","","","","","","","","","","","오곡추출농축액","","","17","18","19","20","21","22","23","24","25","인산철","제삼인산칼슘","산화아연","원유","비타민혼합제제","합성향료","합성향료","합성향료","합성향료","","","","","","밀크향","밀크향","땅콩향","땅콩향","26",NA,"정제수",NA,"",NA
"9","번호3292","품목보고번호19810227007492","업소명매일유업(주)광주공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로핏 웨이프로틴 복숭아","분류식품","업체명","매일유업(주)광주공장","소재지","광주광역시 광산구 어등대로 511(운수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","유청단백분말","복숭아농축과즙","L-로이신","L-발린","탄산수소나트륨","합성향료","홍차추출분말","구연산삼나트륨","구연산칼륨","합성향료","식품첨가물혼합제제","수크랄로스","합성향료","합성향료","차카테킨","","분리유청단백(덴마크산)","복숭아과즙농축액 0.5%(고형분68%)(이스라엘산)","","","산도조절제","복숭아향","","구연산나트륨, 산도조절제","산도조절제","밀크향 1","혼합제제 2(규소수지, 유화제, CMC, 정제수)","감미료","홍차향","밀크향2","","17",NA,NA,NA,NA,NA,NA,NA,NA,"L-이소로이신",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3291","품목보고번호2022068312916","업소명(주)함소아제약 익산공장","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명셀렉스 프로핏 웨이프로틴 복숭아 아이스티","분류식품","업체명","(주)함소아제약 익산공장","소재지","전라북도 익산시 삼기면 산단오룡길 88","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","정제수","분리유단백","복숭아농축과즙","L-로이신","L-발린","탄산수소나트륨","합성향료","홍차추출분말","구연산삼나트륨","구연산칼륨","향료","식품첨가물혼합제제","수크랄로스","향료","향료","차카테킨","","분리유청단백(덴마크산)","복숭아과즙농축액 0.5%(고형분 68%) (이스라엘산)","","","산도조절제","복숭아향","","구연산나트륨, 산도조절제","산도조절제","밀크향1","혼합제제 2 (규소수지, 유화제, CMC ,정제수)","감미료","홍차향","밀크향2","차카테킨","17",NA,NA,NA,NA,NA,NA,NA,NA,"L-이소로이신",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
