"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14"
"1","번호3210","품목보고번호2021055909219","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명수박액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7","수박분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수","수박추출분말","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3209","품목보고번호19960458039560","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명수박에이드","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","정제수","설탕","수박주스","수박농축액","덱스트린","혼합제제","혼합제제","","","HPP수박주스, 8.8Brix","68Brix","","수박향 K-182962","시트러스향 SKB-1309","8","9","10","11","12","구연산","수크랄로스","비타민C","식용색소적색제40호","식용색소황색제4호","","","","","",NA,NA,NA,NA,NA,NA
"3","번호3208","품목보고번호19890445014773","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명수박에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","수박농축액","정제수","기타과당","설탕","수크랄로스","구연산","구연산삼나트륨","(미국산,고형분65%)","","","","감미료","(결정)","","8","9","10","11","12","카르복시메틸셀룰로오스나트륨","식용색소적색제40호","식용색소녹색제3호","식용색소청색제1호","식용색소황색제4호","","착색료","착색료","착색료","착색료","13","합성향료","합성향료(수박향1, 수박향2)",NA,NA,NA
"4","번호3207","품목보고번호2011061812169","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명수박에이드","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","정제수","설탕","액상과당","수박농축액","수박향","구연산","효소처리스테비아","","","f-55","","합성향료","","","8","9",NA,NA,NA,"자색고구마색소","코치닐추출색소",NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3206","품목보고번호19730380010396","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명수박에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","5","6","7","정제수","설탕","과.채가공품","구연산","혼합제제","구연산삼나트륨","수크랄로스","","","수박농축액, 68 Brix","함수","화이트크라우디","","감미료","8","9","10","11","12","식용색소적색제40호","식용색소황색제4호","합성향료","합성향료","합성향료","착색료","착색료","수박향1","수박향2","레몬라임향",NA,NA,NA,NA,NA,NA
"6","번호3205","품목보고번호2019048889141","업소명농업회사법인(주)담음","품목유형혼합음료","유통/소비기한18개월","제품명수박에이드","분류식품","업체명","농업회사법인(주)담음","소재지","전라북도 군산시 임피면 수반들길 17","1","2","3","4","5","6","7","수박농축액","백설탕","구연산","수크랄로스","자색고구마색소","치자황색소","합성향료","수박과즙농축액(수박함유량97.5%,미국산,65brix","","산도조절제","감미료","착색료","착색료","시트러스향#1","8","9","10",NA,NA,"합성향료","합성향료","정제수",NA,NA,"수박향#7","수박향#8","",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3204","품목보고번호19890445014780","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명수박에이드Feat코코넛워터","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","수박농축액","정제수","기타과당","백설탕","코코넛주스","구연산(결정)","구연산삼나트륨","미국산, 수박과즙으로 6%","","고과당","","코코넛워터(태국산), 배합함량100%","","","8","9","10","11","12","카르복시메틸셀룰로오스","식용색소적색제40호","식용색소청색제1호","식용색소황색제4호","수박향","섬유소글리콜산Na","착색료","착색료","착색료","수박향 1, 합성향료","13","수박향","수박향 2, 합성향료","14","수크랄로스","감미료"
"8","번호3203","품목보고번호2012044303061","업소명(주)참선진녹즙","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명수분촉촉한 히알루론산&석류","분류식품","업체명","(주)참선진녹즙","소재지","충청북도 진천군 문백면 태락1길 27-82","1","2","3","4","5","6","7","정제수","프락토올리고당","과.채가공품","당류가공품","과.채가공품","구연산","펙틴","","","석류농축과즙","블루베리베이스","세븐베리농축액","","","8","9","10",NA,NA,"비타민C","히알루론산","기타가공품",NA,NA,"","","피쉬콜라겐",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3202","품목보고번호20110618121253","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년 까지","제품명수블수블0.5 오미자맛","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","정제수","쌀","에리스리톨","허브향","효소","누룩","비타민C","","","","합성향료","(액화효소,당화효소)","","","8","9","10","11",NA,"구연산","혼합허브추출물","건조오미자","건조히비스커스",NA,"","복합허브추출물","","",NA,NA,NA,NA,NA,NA,NA
"10","번호3201","품목보고번호20110618121252","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년 까지","제품명수블수블0.5 유자맛","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","정제수","쌀","에리스리톨","허브향","효소","누룩","비타민C","","","","합성향료","(액화효소,당화효소)","","","8","9","10","11",NA,"구연산","혼합허브추출물","유자착즙액","치자분말",NA,"","복합허브추출물","","",NA,NA,NA,NA,NA,NA,NA
