"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12"
"1","번호3200","품목보고번호20110618121158","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년 까지","제품명수블수블0.5 클래식","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","정제수","쌀","에리스리톨","허브향","효소","누룩","비타민C","구연산","혼합허브추출물","","","","합성향료","(액화효소,당화효소)","","","","복합허브추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3199","품목보고번호201502941106","업소명나노텍","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명수소콕(SOOSOKOK)","분류식품","업체명","나노텍","소재지","경기도 부천시 송내대로 388(약대동, 202동 906호일부)","1","2",NA,NA,NA,NA,NA,NA,NA,"정제수","수소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3198","품목보고번호2008033218031","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명수요미식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3197","품목보고번호2019026365027","업소명주식회사 메가바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명수용성발효칼슘","분류식품","업체명","주식회사 메가바이오","소재지","세종특별자치시 연동면 노송강당길 24-1","1","2","3","4","5","6","7","8","9","정제수","해조칼슘","아연(고시형)","비타민 A(고시형)","나이아신(고시형)","판토텐산(고시형)","셀레늄(고시형)","비타민 B1(고시형)","비타민 B6(고시형)","","","","","","","","","","10","11","12","생선콜라겐","퀼라야추출물","이산화규소","","","거품제거제"
"5","번호3196","품목보고번호2008054323215","업소명안동식혜 영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명수정과","분류식품","업체명","안동식혜 영농조합법인","소재지","경상북도 안동시 송천길 123(송천동)","1","2","3","4","5",NA,NA,NA,NA,"정제수","계피추출액","생강추출액","설탕","기타설탕",NA,NA,NA,NA,"","","","백설탕","흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3195","품목보고번호201002080062","업소명경복식품","품목유형혼합음료","유통/소비기한제조일로부터 15일(0~10℃ 냉장보관)","제품명수정과","분류식품","업체명","경복식품","소재지","인천광역시 서구 소담로 37(1층 금곡동)","1","2","3","4","5",NA,NA,NA,NA,"계피","생강","흑설탕","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3194","품목보고번호1992047403642","업소명삽다리전통한과","품목유형혼합음료","유통/소비기한제조 일로부터 1년","제품명수정과","분류식품","업체명","삽다리전통한과","소재지","충청남도 예산군 대치2길 60","1","2","3","4",NA,NA,NA,NA,NA,"정제수","설탕","생강","계피",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3193","품목보고번호19930445079178","업소명부연식품","품목유형혼합음료","유통/소비기한냉장5일","제품명수정과","분류식품","업체명","부연식품","소재지","충청북도 음성군 오태로116번길 175-42","1","2","3","4","5",NA,NA,NA,NA,"정제수","계피","흑설탕","백설탕","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3192","품목보고번호20100208006295","업소명경복식품","품목유형혼합음료","유통/소비기한6개월(냉동)","제품명수정과","분류식품","업체명","경복식품","소재지","인천광역시 서구 소담로 37(1층 금곡동)","1","2","3","4","5",NA,NA,NA,NA,"계피","생강","설탕","백설탕","정제수",NA,NA,NA,NA,"","","흑설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3191","품목보고번호20020512164260","업소명(주)예다손 나주공장","품목유형혼합음료","유통/소비기한제조일로부터1년까지","제품명수정과","분류식품","업체명","(주)예다손 나주공장","소재지","전라남도 나주시 세지면 동창로 37(113-1,3,4,5,  362-21,2층)","1","2","3","4","5",NA,NA,NA,NA,"정제수","계피","설탕","흑설탕","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
