"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","성분 및 원료16","성분 및 원료17","비고16","비고17","번호18","번호19","성분 및 원료18","성분 및 원료19","비고18","비고19"
"1","번호3130","품목보고번호20070443110610","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명슈퍼부스트 수분충전","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","수크랄로스","아세설팜칼륨","에리스리톨","구연산","정제소금","구연산삼나트륨","기타가공품","젖산칼슘","염화마그네슘","글루콘산아연","타우린","혼합제제","혼합제제","합성향료","정제수","","","","","","","과라나추출분말","","","","","시트러스향","백자몽향","자몽향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3129","품목보고번호20070443110609","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명슈퍼부스트 파워충전","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"수크랄로스","아세설팜칼륨","에리스리톨","구연산","구연산삼나트륨","기타가공품","비타민C","글루콘산아연","타우린","카라멜색소 I","합성향료","합성향료","합성향료","정제수",NA,"","","","","","과라나추출분말","","","","와이티25","드링크향 -68","드링크향 -69","사과향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3128","품목보고번호20040275056586","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명슈퍼아르기닌3000","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","프락토올리고당","L-아르지닌","구연산","Red grape농축액","타우린","세븐베리농축액","펙틴","마카추출분말","포도향","효소처리스테비아","서양호박농축분말","옥수수수염추출분말","흰강낭콩추출물","비타민믹스혼합제제","","","아르기닌","함수구연산","적포도농축액","","","펙틴JMJ","","혼합제제","","단호박농축분말","","흰강낭콩추출분말","비타민미네랄믹스","16","17","글루콘산아연","엽산","","",NA,NA,NA,NA,NA,NA
"4","번호3127","품목보고번호2004036419917","업소명에코바이오텍(주)","품목유형혼합음료","유통/소비기한제조일로부터3년","제품명슈퍼액티브골드미네랄","분류식품","업체명","에코바이오텍(주)","소재지","경기도 화성시 팔탄면 온천로 437-21(1층 일부)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산화칼슘","산화아연","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3126","품목보고번호1987036005441","업소명(주)아모레퍼시픽","품목유형혼합음료","유통/소비기한24개월","제품명슈퍼콜라겐","분류식품","업체명","(주)아모레퍼시픽","소재지","경기도 안성시 공단1로 36(신건지동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","기타가공품","기타가공품","기타가공품","자일리톨","기타가공품","프락토올리고당","구연산","레몬농축액","석류향","구연산삼나트륨","비타민C","글루콘산칼슘","스테비올배당체","젤란검","","저분자피쉬콜라겐 1000","저분자피쉬콜라겐 (CAN 2000)","저분자피쉬콜라겐 3000","","유산균녹차발효추출분말","","","","","","","","","","16","17","기타가공품","유함유가공품","호박씨추출물","밀크세라마이드",NA,NA,NA,NA,NA,NA
"6","번호3125","품목보고번호19870360054106","업소명(주)아모레퍼시픽","품목유형혼합음료","유통/소비기한24개월","제품명슈퍼콜라겐 앰플","분류식품","업체명","(주)아모레퍼시픽","소재지","경기도 안성시 공단1로 36(신건지동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","기타가공품","기타가공품","기타가공품","자일리톨","기타가공품","프락토올리고당","구연산","레몬농축액","석류향","구연산삼나트륨","비타민C","글루콘산칼슘","스테비올배당체","젤란검","","저분자피쉬콜라겐 1000","저분자피쉬콜라겐 2000","저분자피쉬콜라겐 3000","","유산균녹차발효추출분말","","","","","","","","","","16",NA,"유함유가공품",NA,"밀크세라마이드",NA,NA,NA,NA,NA,NA,NA
"7","번호3124","품목보고번호19970464172492","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명슈퍼히어로 드링크","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","비타민C","타우린","이노시톨","비타민B6염산염","비타민 B2 인산에스테르나트륨(고시형)","L-카르니틴","백설탕","분말결정포도당","구연산","구연산삼나트륨","DL-사과산","L-주석산","정제소금","효소처리스테비아","탄산수소나트륨","","","","","","","","","","","","","","","","16","17","합성향료","합성향료","애플후레바","파인애플향","18","19","합성향료","정제수","파인애플후레바",""
"8","번호3123","품목보고번호20130628019106","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명스누피워터","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3122","품목보고번호19920624042760","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명스마일 골드키위","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"백설탕","과.채가공품","골드키위향","구연산","비타민C","천연카로틴","펙틴","수크랄로스","정제수",NA,NA,NA,NA,NA,NA,"","골드키위퓨레","HF-AF17348","","","#2 YC-180001","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3121","품목보고번호20110445029135","업소명주식회사 와우에프앤비","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명스마일 블랙자두","분류식품","업체명","주식회사 와우에프앤비","소재지","충청북도 음성군 생극면 중원대로 124","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,"정제수","백설탕","구연산","자두농축액","구연산삼나트륨","녹차농축액","혼합제제","혼합제제","수크랄로스","메타인산나트륨","루틴","향료","향료",NA,NA,"","","함수구연산","미국산 70bx'","","국산 68bx'","퍼플칼라 AF6","블랙칼라 AF1","","","알파지 루틴 피에스","자두향 HF-BA60347","자두향 HF-BA67818",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
