"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17","번호18","성분 및 원료18","비고18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","번호35","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","성분 및 원료35","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34","비고35"
"1","번호3023","품목보고번호1994057201296","업소명삼육네이처세븐","품목유형혼합음료","유통/소비기한제조일로부터 12월","제품명식물성 바유","분류식품","업체명","삼육네이처세븐","소재지","경상북도 봉화군 봉화읍 1농공단지길 44","1","2","3","4","5","6","7","8","9","10","11","12","13","14","원액두유","백설탕","액상과당","아몬드페이스트","이소말토올리고당","바나나농축과즙","향료","정제소금","혼합제제","탄산수소나트륨","향료","젤란검","향료","정제수","","","","","","","바나나향","","Recodan CM VEG","","두유향","","바닐라향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호3022","품목보고번호20030211151155","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명식물성비건스콜라겐젤리","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","14","흰목이버섯추출액","프락토올리고당","오렌지농축액","망고농축액","레몬농축액","검 베이스 혼합제제","오렌지향","알로에베라겔동결건조분말","갈매보리수나무열매분말","구연산삼나트륨","효소처리스테비아","치자청색소","비타민C","히비스커스농축액","국산,콜라겐펩타이드2000mg","","","","","로커스트콩검,잔탄검,한천,타마린드검,카라기난,염화칼륨","","","","","","","","","15","16","17","비타민B2","비오틴","정제수","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호3021","품목보고번호20030211151160","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명식물성저분자콜라겐이로움","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","14","흰목이버섯추출액","프락토올리고당","청포도농축액","사과농축액","정제수","자일리톨","검 베이스 혼합제제","비타민C","천연청포도향","히알루론산","엘라스틴","알로에베라겔동결건조분말","구연산","구연산삼나트륨","국산,콜라겐펩타이드2000mg","","고형분60%이상","고형분60%이상","","","로커스트콩검,잔탄검,한천,타마린드검,카라기난,염화칼륨","","","","","","","","15","16","17","곤약감자추출물(고시형)","치자청색소","비오틴","","","","18","효소처리스테비아","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호3020","품목보고번호20030211151162","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한36개월","제품명식물성저분자콜라겐이로움","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","14","흰목이버섯추출액","프락토올리고당","청포도농축액","사과농축액","정제수","자일리톨","검 베이스 혼합제제","비타민C","천연청포도향","히알루론산","엘라스틴","알로에베라겔동결건조분말","구연산","구연산삼나트륨","국산,콜라겐펩타이드2000mg","","고형분60%이상","고형분60%이상","","","로커스트콩검,잔탄검,한천,타마린드검,카라기난,염화칼륨","","","","","","","","15","16","17","곤약감자추출물(고시형)","치자청색소","비오틴","","","","18","효소처리스테비아","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호3019","품목보고번호20030211151140","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명식물성저분자콜라겐젤리","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","14","흰목이버섯추출액","프락토올리고당","오렌지농축액","망고농축액","레몬농축액","검 베이스 혼합제제","천연오렌지향","알로에베라겔동결건조분말","갈매보리수나무열매분말","구연산삼나트륨","자일리톨","효소처리스테비아","치자청색소","비타민C","국산,콜라겐펩타이드2000mg","","고형분60%이상","고형분60%이상","고형분60%이상","로커스트콩검,잔탄검,한천,타마린드검,카라기난,염화칼륨","","","","","","","","","15","16","17","히비스커스농축액","비타민B2","비오틴","고형분20%이상","","","18","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호3018","품목보고번호19890445014327","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한3개월","제품명식물추출물(팔존추출액)","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","칡뿌리","참당귀","계피","향유","오가피","속단","구기자나무열매","두충","산약","복분자딸기","제비꽃","오미자","인산","엉겅퀴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","16","17","천마","꿀풀","민들레",NA,NA,NA,"18","감초",NA,"19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","용안","해송","배초향","하수오","황기","황금","도라지","더덕","쑥","건생강","모과","지황포제가공한뿌리","삼백초","쇠무릅","단삼","독활","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호3017","품목보고번호20130415052216","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 3일(72시간)","제품명식물혼합액SH","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","식물혼합농축액","말토오스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","맥아당, 엿당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호3016","품목보고번호19970378043625","업소명케이지랩(주)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명식이습관","분류식품","업체명","케이지랩(주)","소재지","경기도 양평군 용문면 경강로 3275","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"액상차","프락토올리고당","사과농축액","구연산(무수)","요구르트향","사과향","셀레늄(고시형)","비타민E혼합제제","산화아연","분말비타민A혼합제제","비타민D3혼합제제","비타민K1혼합제제","과.채가공품",NA,"밸런스화이버추출물","","사과농축과즙F","무수구연산","","","","","","비타민A혼합제제","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호3015","품목보고번호201002080061","업소명경복식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명식혜","분류식품","업체명","경복식품","소재지","인천광역시 서구 소담로 37(1층 금곡동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","멥쌀","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호3014","품목보고번호19930445079179","업소명부연식품","품목유형혼합음료","유통/소비기한냉장5일","제품명식혜","분류식품","업체명","부연식품","소재지","충청북도 음성군 오태로116번길 175-42","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","백설탕","밥",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
