"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고7","비고8","비고9","비고10","비고11","비고12"
"1","번호2993","품목보고번호19970368029380","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월(실온)","제품명식혜명인과 경기떡집이 만든 경기수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","정제수","백설탕","계피추출액","기타설탕","생강","곶감","정제수","백설탕","계피추출액","흑설탕","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2992","품목보고번호19970368029381","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월(실온)","제품명식혜명인과 경기떡집이 만든 경기식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,"기타 농산가공품","백설탕","쌀","정제수",NA,NA,"엿기름추출액","","국산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2991","품목보고번호2006046711437","업소명주식회사 현가","품목유형혼합음료","유통/소비기한15일","제품명식혜사랑","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5",NA,"엿기름","쌀","백설탕","생강","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2990","품목보고번호202204938431","업소명애자식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명식혜애 빠지다","분류식품","업체명","애자식품","소재지","경기도 파주시 하우고개길 470(1동 상지석동)","1","2","3","4",NA,NA,"정제수","곡류가공품","설탕","찹쌀",NA,NA,"","엿기름","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2989","품목보고번호200803321809","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명식후식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2988","품목보고번호20190516010221","업소명나주시로컬푸드가공협동조합","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 6개월","제품명신금희 단호박 식혜","분류식품","업체명","나주시로컬푸드가공협동조합","소재지","전라남도 나주시 동수농공단지길 62-8(동수동)","1","2","3","4","5",NA,"호박","정제수","찹쌀","엿기름","설탕",NA,"단호박","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2987","품목보고번호20190559114151","업소명농업회사법인 주식회사 내츄럴엔","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명신나게달리고 없었던일로","분류식품","업체명","농업회사법인 주식회사 내츄럴엔","소재지","경상북도 영천시 금호읍 금창로 208-60","1","2","3","4","5","6","정제수","레몬농축액","프락토올리고당","배농축액","사양벌꿀","레몬향분말","","열매","","열매","","","7","8","9","10","11","12","효소처리스테비아","헛개나무분말","비타민미네랄혼합분말","아미노산혼합분말","타우린","녹차추출물분말가루","","헛개나무추출분말","비타민미네랄믹스","","","녹차잎"
"8","번호2986","품목보고번호19890445014243","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월","제품명신넥타르","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,"넥타르농축액","벌꿀","대추추출액","목초액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2985","품목보고번호19890445014213","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명신비원","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,"노루궁뎅이저섯추출액","상황버섯추출액","산수유추출액","영지추출액","황기추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2984","품목보고번호20020623009276","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명신선미알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","알로에베라겔즙","함유절편","액상과당","구연산","벌꿀","구연산삼나트륨",NA,NA,NA,NA,NA,NA,"7","8","9","10","11",NA,"비타민C","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA
