"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고15","비고16","비고17","비고18"
"1","번호2913","품목보고번호20170333328567","업소명자연농장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쏙 빠진 딸기 스무디","분류식품","업체명","자연농장","소재지","경기도 남양주시 화도읍 비룡로464번길 12(주1동, 주2동 일부)","1","2","3","4","생크림","냉동딸기","혼합가공치즈","에리스리톨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2912","품목보고번호20170333328568","업소명자연농장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명쏙 빠진 초코 스무디","분류식품","업체명","자연농장","소재지","경기도 남양주시 화도읍 비룡로464번길 12(주1동, 주2동 일부)","1","2","3","4","생크림","에리스리톨","혼합가공치즈","코코아가공품류",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2911","품목보고번호20010445002676","업소명엠에스바이오텍(주)","품목유형혼합음료","유통/소비기한24개월","제품명쏙부차","분류식품","업체명","엠에스바이오텍(주)","소재지","충청북도 음성군 대소면 미산길 25","1","2","3","4","기타발효음료","옥수수수염추출액","D-소비톨액","프락토올리고당","콤부차발효액","","","","5","6","7","8","9","10","11","12","13","14","당류가공품","세븐베리농축액","필리핀레몬열매과즙","만니톨","믹스베리향","히비스커스추출분말","구연산","레몬향","효소처리스테비아","적양배추색소","락추로스리퀴드","","칼라만시과즙액","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2910","품목보고번호20120524080143","업소명농업회사법인유한회사 정 그린","품목유형혼합음료","유통/소비기한36개월","제품명쑥식혜","분류식품","업체명","농업회사법인유한회사 정 그린","소재지","전라남도 영암군 덕진면 예향로 1916-57","1","2","3","4","엿기름","쑥잎","쌀","백설탕","국산","국산","국산","","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2909","품목보고번호198506140553216","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명쑥쑥조아 밀키","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","정제수","난소화성말토덱스트린(고시형)","설탕","프락토올리고당","","화이바솔-2L","","","5","6","7","8","9","10","11","12","13","14","프락토올리고당(고시형)","혼합분유","구연산","기타가공품","구연산삼나트륨","두류가공품","천연향료","천연향료","효소처리스테비아","식품첨가물혼합제제","","혼합탈지분유-8515","","요거트혼합분말 100-엘","","수용성대두다당류","천연요구르트향 #1","천연레몬향 엠에프-130060","","비타민D3분말 혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2908","품목보고번호19920624042577","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명씨놀","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","액상과당","구연산","과일혼합향","해조추출분말",NA,NA,NA,NA,"5","6","7","8","9","10","11",NA,NA,NA,"비타민C","정제염","쿨링향","염화칼륨","수크랄로스","염화마그네슘","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2907","품목보고번호20030211151142","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명씨드네이처 식물성저분자콜라겐","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","흰목이버섯추출액","정제수","사과농축액","프락토올리고당",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","13","14","레드비트농축액","당근농축액","검 베이스 혼합제제","청포도향","구연산","구연산삼나트륨","효소처리스테비아","곤약감자추출물(고시형)","알로에베라겔동결건조분말","갈매보리수나무열매분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","16","17","18","비타민C","히비스커스농축액","비타민B2","비오틴",NA,NA,NA,NA
"8","번호2906","품목보고번호20110084489350","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명씨랩 렛츠버닝에너지붐 아르기닌 5500","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","정제수","레몬농축액","L-아르지닌","구연산","","","","함수구연산","5","6","7","8","9","10","11","12","13","14","분말결정포도당","과라나추출물분말","레몬향","드링크향","기타가공품","치자황색소","타우린","수크랄로스","비타민B2","비타민B1염산염","함수결정포도당","과라나추출분말","천연레몬향(천연향료)","합성향료","복합황금추출물","","","","","","15","16","17",NA,"혼합제제","혼합제제","기타가공품",NA,"아미노산혼합제제/아미노믹스","아미노산혼합제제/아미노산믹스BCAAG","a3io-U알파복합프리바이오",NA
"9","번호2905","품목보고번호19960443047100","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명씨스루 프로틴워터 애플","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4","유청단백분말","설탕","구연산","청사과향","","","무수구연산","","5","6","7","8","9",NA,NA,NA,NA,NA,"사과농축액","식품첨가물혼합제제","수크랄로스","비타민B6염산염","정제수",NA,NA,NA,NA,NA,"","아이비씨에이에이","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2904","품목보고번호19960443047101","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명씨스루 프로틴워터 자몽","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4","유청단백분말","설탕","구연산(무수)","자몽향","","","","","5","6","7","8","9",NA,NA,NA,NA,NA,"레드자몽농축액","식품첨가물혼합제제","수크랄로스","비타민B6염산염","정제수",NA,NA,NA,NA,NA,"클리어레드자몽농축액","아이비씨에이에이","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
