"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","번호33","번호34","번호35","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","성분 및 원료33","성분 및 원료34","성분 및 원료35","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32","비고33","비고34","비고35","번호36","성분 및 원료36","비고36"
"1","번호2763","품목보고번호19890449002149","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7개월","제품명아이꼬야 소프트 라이스","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","쌀페이스트","누룽지분말","기타가공품","치커리식이섬유","올리고당","프락토올리고당","덱스트린","현미시럽","정제소금","정제수","","","곡물페이스트","치커리화이바","말토올리고당","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2762","품목보고번호19890449002121","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7 개월","제품명아이꼬야 아기랑 쌀이랑 오곡","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","쌀단백분말","농축유단백","기타가공품","알파미분","곡류가공품","기타가공품","말토올리고당","프락토올리고당","덱스트린","현미추출물","","","곡물페이스트","","오곡분말","치커리화이바","","","","","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","포도당","액상과당","해바라기유","글리세린지방산에스테르","글리세린지방산에스테르","변성전분","혼합제제","카라기난","레시틴","칼슘혼합제제","칼슘혼합제제","탄산수소나트륨","염화콜린","염화칼륨","제일인산칼륨","제이인산칼륨","수산화마그네슘","정제소금","타우린","산화아연","인산철","요오드칼륨","비타민 C(고시형)","혼합제제","정제수","함수결정포도당","(55%)","","(Almax-1000)","(Almax-5100)","(에멀에이드)","비스카린","","해바라기레시틴","(나노칼슘-피24)","(포스칼슘-피24)","","","","","","","","","","","","","비타민프리믹스 ND M/03","",NA,NA,NA
"3","번호2761","품목보고번호19890449002122","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7 개월","제품명아이꼬야 아기랑 쌀이랑 퀴노아 오트","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","쌀단백분말","농축유단백","기타가공품","알파미분","귀리분말","볶음퀴노아분말","기타가공품","말토올리고당","프락토올리고당","덱스트린","","","곡물페이스트","","","볶은퀴노아분말","치커리화이바","","","","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","현미추출물","포도당","액상과당","해바라기유","글리세린지방산에스테르","글리세린지방산에스테르","변성전분","혼합제제","카라기난","레시틴","칼슘혼합제제","칼슘혼합제제","탄산수소나트륨","염화콜린","염화칼륨","제일인산칼륨","제이인산칼륨","수산화마그네슘","정제소금","타우린","산화아연","인산철","요오드칼륨","비타민 C(고시형)","혼합제제","","함수결정포도당","(55%)","","(Almax-1000)","(Almax-5100)","(에멀에이드)","비스카린","","해바라기레시틴","(나노칼슘-피24)","(포스칼슘-피24)","","","","","","","","","","","","","","36","정제수",""
"4","번호2760","품목보고번호19890449002120","업소명남양유업 주식회사 천안공장","품목유형혼합음료","유통/소비기한제조일부터 7 개월","제품명아이꼬야 아기랑 쌀이랑 흑미","분류식품","업체명","남양유업 주식회사 천안공장","소재지","충청남도 천안시 동남구 풍세로 978(청수동)","1","2","3","4","5","6","7","8","9","10","쌀단백분말","농축유단백","기타가공품","알파미분","곡류가공품","기타가공품","말토올리고당","프락토올리고당","덱스트린","현미추출물","","","곡물페이스트","","흑미분말","치커리화이바","","","","","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","포도당","액상과당","해바라기유","글리세린지방산에스테르","글리세린지방산에스테르","변성전분","혼합제제","카라기난","레시틴","칼슘혼합제제","칼슘혼합제제","탄산수소나트륨","염화콜린","염화칼륨","제일인산칼륨","제이인산칼륨","수산화마그네슘","정제소금","타우린","산화아연","인산철","요오드칼륨","비타민 C(고시형)","혼합제제","정제수","함수결정포도당","(55%)","","(Almax-1000)","(Almax-5100)","(에멀에이드)","비스카린","","해바라기레시틴","(나노칼슘-피24)","(포스칼슘-피24)","","","","","","","","","","","","","비타민프리믹스 ND M/03","",NA,NA,NA
"5","번호2759","품목보고번호20110493072305","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명아이돌 물","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","5",NA,NA,NA,NA,NA,"녹차추출액","레몬농축액","레몬향","사탕수수가루","정제수",NA,NA,NA,NA,NA,"차나무잎(녹차잎)15%,정제수85%","레몬100%","nk4300,합성향료","사탕수수 100%","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2758","품목보고번호19940474018675","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명아이러브 전복","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","기타가공품","사과농축액","기타과당","설탕","구연산","구연산삼나트륨","잔탄검","비타민C","효소처리스테비아","합성향료","전복결명자혼합농축액","사과청징농축액","","","","","","","","결명자향","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"드링크향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2757","품목보고번호20040275056669","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명아이맥큐","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","정제수","시클로덱스트린","자일리톨","용설란시럽","식물혼합발효농축액","벌꿀","프락토올리고당","두나리엘라추출물분말","비타민D3혼합제제","기타가공품","","","","유기농아가베시럽","식물혼합발효농축액(EF055)","","","두나리엘라추출분말","","나토 PGA","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","로얄젤리분말","테아닌","비타민미네랄혼합분말","황금혼합추출물","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"녹용추출물분말","","","비타민미네랄믹스","복합황금추출물","수용성발효칼슘(굴각)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2756","품목보고번호20070464094281","업소명(유)삼각에프엠씨 웰빙랜드","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명아이바스 알로에베라드링크 오리지날","분류식품","업체명","(유)삼각에프엠씨 웰빙랜드","소재지","충청남도 논산시 연무읍 행정2길 44","1","2","3","4","5","6","7","8","9","10","알로에베라겔크러쉬","액상과당","구연산","비타민C","젖산칼슘","구연산삼나트륨","설탕","젤란검","수크랄로스","알로에향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2755","품목보고번호20110618121139","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명아이베넷베베","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6",NA,NA,NA,NA,"쌀","엿기름","쌀발효추출물분말","효소","혼합허브추출물","정제수",NA,NA,NA,NA,"","","","액화효소,당화효소","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2754","품목보고번호19810606006549","업소명서강유업(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월까지","제품명아이비웰더블유","분류식품","업체명","서강유업(주)","소재지","경상남도 사천시 사남면 공단2로 20","1","2","3","4","5","6","7","8","9","10","정제수","유청단백분말","올리브유","가공유지","기타 식용유지가공품","EPA 및 DHA 함유 유지(고시형)","소르비탄지방산에스테르","글리세린지방산에스테르","향료","덱스트린","","농축유청단백분말","엑스트라버진올리브유","엠씨티오일","오메가강화오일","조류DHA추출유지","","","누룽지향","말토덱스트린","11","12","13","14","15","16","17","18","19","20","21",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"제이인산칼륨","정제소금","제이인산칼슘","제삼인산마그네슘","구연산삼나트륨","식품첨가물혼합제제","향료","효소처리스테비아","식품첨가물혼합제제","황산제일철","올레오레진 로즈메리",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","라르고BS-15","너트믹스향","","비타민믹스","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
