"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고12","비고13","비고14","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18"
"1","번호2633","품목보고번호20100543066324","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한CAN : 36개월, PET,BOTTLE : 24개월","제품명알로에 베라 알코스토","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔절편","알로에분말","벌꿀","백설탕","액상과당","구연산","구연산삼나트륨","젤란검","젖산칼슘","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2632","품목보고번호19920624042640","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명알로에 베리","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","액상과당","과.채가공품","이소말토올리고당","크랜베리농축액","블루베리농축액","백설탕","크랜베리향","젖산칼슘","비타민C","구연산","젤란검","","알로에 베라겔 (태국산)","","크랜베리청징농축액 (칠레산)","블루베리청징농축액(미국산)","","","","","","","12","13","14","15","16","천연자몽향","비타민E","Collactive 콜라겐펩타이드(기능성원료인정제2012-24호)","히알루론산","정제수","","분말비타민E","","히알론-에프에이","",NA,NA,NA,NA,NA,NA
"3","번호2631","품목보고번호19930571069443","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명알로에 샘 오리지널","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔주스","백설탕","사양벌꿀","구연산","구연산삼나트륨","비타민C","젖산칼슘","젤란검","오렌지추출물","알로에향","정제수","","","","함수","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2630","품목보고번호19930571069445","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명알로에 샘 파인애플","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔주스","설탕","사양벌꿀","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","오렌지추출물","시트러스향","혼합제제","","","","함수","","","","","","","베타카로틴","12","13","14",NA,NA,"식용색소황색제5호","파인애플향","정제수",NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2629","품목보고번호19930571069543","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명알로에 샘 홍삼","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라겔주스","설탕","사양벌꿀","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","오렌지추출물","당시럽","홍삼향","","","","함수","","","","","","","","12",NA,NA,NA,NA,"정제수",NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2628","품목보고번호19860443015148","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한25개월","제품명알로에 셀렉트 멕시코(Aloe Select Mexico)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8",NA,NA,NA,"정제수","프락토올리고당액상","알로에베라겔분말","잔탄검","소르빈산칼륨","안식향산니트륨","구연산","녹차추출물분말(고시형)",NA,NA,NA,"","","알로에베라겔 200:1 분말","","","안식향산나트륨","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2627","품목보고번호19930571069220","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한24개월","제품명알로에 슈가프리","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라잎(껍질제외)","액상과당","벌꿀","덱스트린","구연산삼나트륨","비타민C","젤란검","젖산칼슘","수크랄로스","아세설팜칼륨","아스파탐",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13",NA,NA,NA,"알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2626","품목보고번호19930571069285","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명알로에 슈가프리 사과","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라잎(껍질제외)","액상과당","벌꿀","말토덱스트린","맥아당","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","아세설팜칼륨","아스파탐","사과향","사과향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2625","품목보고번호19930571069284","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명알로에 슈가프리 석류","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라잎(껍질제외)","액상과당","벌꿀","말토덱스트린","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14","15","16","아스파탐","강력드라이이스트골드","식용색소황색4호","메타인산나트륨","석류향",NA,NA,NA,NA,NA,"17","18","석류향","정제수",NA,NA
"10","번호2624","품목보고번호19930571069286","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한12개월","제품명알로에 슈가프리 플레인","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","알로에베라잎(껍질제외)","액상과당","벌꿀","말토덱스트린","구연산","구연산삼나트륨","비타민C","젤란검","젖산칼슘","수크랄로스","아세설팜칼륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12","13","14",NA,NA,"아스파탐","알로에향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
