"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23"
"1","번호5777","품목보고번호20030211151144","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한2년","제품명3 in collagen","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","14","발효홍삼농축액","배농축액","레몬농축액","프락토올리고당","식물혼합농축액","사양벌꿀","검 베이스 혼합제제","구연산","구연산삼나트륨","혼합제제비타민B","나한과추출물분말","자몽종자추출물","생선콜라겐펩타이드","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5776","품목보고번호2009024023038","업소명(주)비티진","품목유형혼합음료","유통/소비기한24개월","제품명42.195km 스페셜","분류식품","업체명","(주)비티진","소재지","대전광역시 유성구 테크노2로 125-6(용산동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","정제수","프락토올리고당","액상과당","결정(분말)포도당","자일리톨","홍삼농축액분말","벌꿀","칼라만시농축액","유자농축액","구연산","밀전분식이섬유","시클로덱스트린","허브향","유자향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15","16","17","18","19","20","21","22","23","구연산삼나트륨","타우린","정제염","유자추출물","구연산칼륨","비타민C","스위트향","자몽종자추출물","니코틴산아미드",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5775","품목보고번호19990467050101","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명230ml 레몬","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","레몬농축액","액상과당","구연산","백설탕","DL-사과산","사과농축액","레몬향","치자황색소","구연산삼나트륨","카복시메틸셀룰로스나트륨","자일리톨","아세설팜칼륨","안식향산나트륨","정제수","(고형분 46%,이스라엘산)","","산도조절제","정백당","","(고형분 6%,칠레산)","합성향료","레몬색소(옐로우치자색소)","산도조절제","증점제","","감미료","보존료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5774","품목보고번호1999046705082","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한2년","제품명170ml 복숭아홍차","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","복숭아농축액","액상과당","백설탕","홍차농축물","구연산","복숭아향","사과농축액","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","안식향산나트륨","카라멜액","자일리톨","아세설팜칼륨","정제수","1.84 Brix(국산)","","정백당","3.25Brix(스리랑카산)","","합성착향료","","","C.M.C(증점제)","","액상카라멜","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5773","품목보고번호1999046705096","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명230ml 복숭아홍차","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","복숭아농축액","액상과당","백설탕","홍차농축물","구연산","복숭아향","사과농축액","구연산삼나트륨","카복시메틸셀룰로스나트륨","카라멜액","안식향산나트륨","자일리톨","아세설팜칼륨","정제수","고형분 60%이상,국산","","정백당","홍차농축액:고형분 2%이상,스리랑카산","산도조절제","합성향료","고형분 6%이상,국산","산도조절제","증점제","액상카라멜","보존료","","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5772","품목보고번호1999046705093","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명230ml 블루베리","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","블루베리농축액","액상과당","포도농축액","백설탕","구연산","구연산삼나트륨","카복시메틸셀룰로스나트륨","안식향산나트륨","블루베리향","카라멜액","그레이프색소","DL-사과산","아세설팜칼륨","정제수","고형분 60%,미국산","","고형분 6%,칠레산","정백당","산도조절제","산도조절제","증점제","보존료","합성향료","액상카라멜","그레이프칼라","","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5771","품목보고번호1999046705097","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명230ml 산수유","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","산수유농축액","사과농축액","대추농축액","복분자농축액","백설탕","포도당","구연산","산수유향","카복시메틸셀룰로스나트륨","구연산삼나트륨","안식향산나트륨","자일리톨","카라멜액","체리레드색소","(고형분 60%이상,국산)","(고형분6%,칠레산)","(고형분 35%이상,국산)","(고형분 30%이하,국산)","정백당","함수포도당","산도조절제","합성향료","증점제","산도조절제","보존료","","액상카라멜","체리칼라","15","16",NA,NA,NA,NA,NA,NA,NA,"아세설팜칼륨","정제수",NA,NA,NA,NA,NA,NA,NA,"감미료","",NA,NA,NA,NA,NA,NA,NA
"8","번호5770","품목보고번호1999046705095","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명230ml 헛개","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","액상과당","헛개나무열매농축액","칡농축액","백설탕","배농축액","헛개향","사과농축액","구연산","포도당","카복시메틸셀룰로스나트륨","구연산삼나트륨","안식향산나트륨","카라멜액","정제수","","(고형분 63% 이상,중국산)","(고형분 64%이상,국산)","정백당","(고형분 67%이상,국산)","합성향료","(고형분 6%,칠레산)","산도조절제","함수포도당","증점제","산도조절제","보존료","액상카라멜","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5769","품목보고번호1999046705094","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명230ml 흑석류","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"석류농축액","액상과당","백설탕","구연산","구연산삼나트륨","체리레드색소","카복시메틸셀룰로스나트륨","안식향산나트륨","자일리톨","석류향","카라멜액","아세설팜칼륨","정제수",NA,"고형분 64%이상,이란산","","정백당","산도조절제","산도조절제","체리칼라","증점제","보존료","","합성향료","액상카라멜","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5768","품목보고번호20050440004154","업소명(주)내츄럴팜","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명ok soon(오케이 순)","분류식품","업체명","(주)내츄럴팜","소재지","충청북도 옥천군 군북면 비야대정로 293-20","1","2","3","4","5","6","7","8","9","10","11","12","13","14","사철쑥지상부","칡뿌리","미나리","복령균핵","옥수수수염","엉겅퀴","큰노랑용담","황금뿌리","헛개나무열매","칡꽃봉오리","익모초지상부","갈대뿌리줄기","메밀씨앗","녹두씨앗","(인진)지상부","(갈근)뿌리","줄기/잎","균핵(제한적원료)","암술대(제한적원료)","순/잎","(겐티아나)뿌리및뿌리줄기","뿌리","(지구자)열매","(갈화)꽃봉오리(제한적원료)","지상부(제한적원료)","(노근)뿌리줄기","씨앗","씨앗","15","16","17","18","19",NA,NA,NA,NA,"기타설탕","올리고당","구연산","잔탄검","안식향산나트륨",NA,NA,NA,NA,"흑당","","","","합성보존료",NA,NA,NA,NA
