"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32"
"1","번호2554","품목보고번호1986044301537","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한실온보관 2년","제품명알코틴-엑스(수출용)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","알코틴-X","액상과당","프락토올리고당","매실엑기스","베타싸이클로덱스트린","잔탄검","구연산(무수)","안식향산나트륨","감초분말","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2553","품목보고번호1986044301534","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명알코틴_엑스","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","알코틴-X","잔탄검","올리고당","안식향산나트륨","매실향(B20578)","구연산(무수)","액상과당","베타싸이클로덱스트린","감초분말","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2552","품목보고번호19970464172548","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알톡스","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","헛개나무열매농축액","쌀배아대두발효혼합분말","베타인","타우린","엽산","비타민 C(고시형)","비타민 B12(고시형)","비타민 B1염산염(고시형)","니코틴산아미드","염화칼륨","황산마그네슘","","미배아대두발효추출액","","","","","","","","","","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","사양벌꿀","구연산","헛개나무열매추출분말","구기자농축액","비타민B6염산염","아사이베리혼합분말","수크랄로스","효모추출분말","젖산칼슘","칡꽃봉오리농축액","효소처리스테비아","밀크씨슬추출물","L-아스파트산","마카추출분말","보검선인장농축","과라나추출물분말","배농축액","L-아르지닌","기타과당","청포도향","정제수","","","","","","아사이베리추출분말","","","","갈화농축액","","수용성밀크씨슬","","마카분말","백년초농축액","","","","","",""
"4","번호2551","품목보고번호19970464172323","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명알톡스K","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","헛개나무열매농축액","쌀배아대두발효혼합분말","베타인","타우린","엽산","비타민 C(고시형)","비타민 B12(고시형)","비타민 B1염산염(고시형)","니코틴산아미드","염화칼륨","황산마그네슘","","미배아대두발효추출액","","","","","","","","","","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","사양벌꿀","구연산","헛개나무열매추출분말","구기자농축액","비타민B6염산염","아사이베리혼합분말","수크랄로스","효모추출분말","젖산칼슘","칡꽃봉오리농축액","효소처리스테비아","밀크씨슬추출물","L-아스파트산","마카추출분말","보검선인장농축","과라나추출물분말","배농축액","L-아르지닌","기타과당","청포도향","정제수","","","","","","아사이베리추출분말","","","","갈화농축액","","수용성밀크씨슬","","마카분말","백년초농축액","","","","","",""
"5","번호2550","품목보고번호1986044301566","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월","제품명알틴제로","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","설탕","액상과당","프락토올리고당","AN-1000","구연산","노디케이","드링크향","나한과추출물","파인애플향","감초분말","식물혼합추출분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2549","품목보고번호1986044301548","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명알틴제로","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","AN-1000","액상과당","프락토올리고당","매실농축액","베타싸이클로덱스트린","잔탄검","연잎혼합추출물","구연산(무수)","감초분말","식물혼합추출분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2548","품목보고번호2013037221922","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명알파복합미네랄","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6",NA,NA,NA,NA,NA,"탄산칼륨(무수)","염화칼륨(고시형)","탄산나트륨","규소수지","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2547","품목보고번호2013037221923","업소명(주)성승바이오","품목유형혼합음료","유통/소비기한24개월","제품명알파큐(Q)","분류식품","업체명","(주)성승바이오","소재지","경기도 포천시 가산면 정금로 230(주2 1층)","1","2","3","4","5","6",NA,NA,NA,NA,NA,"탄산칼륨(무수)","염화칼륨(고시형)","탄산나트륨","규소수지","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2546","품목보고번호2003025701125","업소명(주)아너텍","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명암리타","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-카르니틴","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2545","품목보고번호2003025701124","업소명(주)아너텍","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명암리타(파워활성수)","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-카르니틴","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
