"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","성분 및 원료6","성분 및 원료7","비고6","비고7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호2494","품목보고번호2005046304781","업소명서산약바위전통식품","품목유형혼합음료","유통/소비기한제조일로 부터 12개월","제품명약바위 단호박 식혜","분류식품","업체명","서산약바위전통식품","소재지","충청남도 서산시 팔봉면 문현로 160","1","2","3","4","5","정제수","백설탕","서양호박열매","찹쌀","엿기름",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2493","품목보고번호2005046304782","업소명서산약바위전통식품","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명약바위 식혜","분류식품","업체명","서산약바위전통식품","소재지","충청남도 서산시 팔봉면 문현로 160","1","2","3","4","5","정제수","백설탕","찹쌀","엿기름","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2492","품목보고번호2011052004121","업소명농업회사법인 약선향기 주식회사","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명약선 수정과","분류식품","업체명","농업회사법인 약선향기 주식회사","소재지","전라남도 화순군 동면 상서길 58","1","2","3","4","5","설탕","정제수","곶감추출액","계피추출액","생강추출액","흑설탕(국내산)","","국내산","베트남산","국내산","6","7","구기자추출액","맥문동추출물","구기자나무열매추출액(국내산)","맥문동뿌리추출액(국내산)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2491","품목보고번호2011052004114","업소명농업회사법인 약선향기 주식회사","품목유형혼합음료","유통/소비기한제조일부터 1년","제품명약선식혜","분류식품","업체명","농업회사법인 약선향기 주식회사","소재지","전라남도 화순군 동면 상서길 58","1","2","3","4","5","찹쌀","엿기름추출액","쇠무릅추출액","두충추출액","설탕","국내산","국내산","국내산","국내산","국내산","6","7","생강추출액","정제수","국내산","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2490","품목보고번호20080383904131","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한24개월","제품명약수동 해장음료","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","5","정제수","액상과당","사과농축액","추출가공식품","헛개나무열매추출농축액","","","","이아이프로틴-100[귀뚜라미 단백추출농축액, 고형분 25%이상, 쌍별귀뚜라미(국내산)),무수구연산]","중국산, 고형분 65%","6","7","기타가공품","혼합과일향","백년초분말","","8","9","10","11","12","13","14","15","16","17","파인애플향","구연산(무수)","대추농축액","효모추출분말","타우린","니코틴산아미드","오미자농축액","안식향산나트륨","β-카로틴","쌀겨추출물","","","국산, 고형분66%이상","글루타치온8%함유","","","","","","RBF-100"
"6","번호2489","품목보고번호201904103993","업소명설악만복식혜","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관6개월","제품명양구댁 오미자","분류식품","업체명","설악만복식혜","소재지","강원도 속초시 청호로 113(청호동)","1","2","3","4",NA,"정제수","건조오미자","백설탕","사과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2488","품목보고번호2019041307944","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명양반 수정과","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","혼합추출농축액","설탕","기타설탕","합성향료","수크랄로스","계피돌배곶감혼합추출액","","흑설탕","배향","","6","7","스테비올배당체","생강농축액","","","8","9",NA,NA,NA,NA,NA,NA,NA,NA,"탄산수소나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2487","품목보고번호2019041307935","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명양반 식혜","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","엿기름당화액","설탕","곡류가공품","올리고당","쌀페이스트","엿기름혼합추출액","","식혜농축베이스","","국산:이천산","6","7","폴리덱스트로스","합성향료","","생강향","8","9","10","11","12","13","14",NA,NA,NA,"생강농축액","구연산삼나트륨","합성향료","합성향료","천연향료","수크랄로스","정제수",NA,NA,NA,"","","배향1","배향2","천연생강향","","",NA,NA,NA
"9","번호2486","품목보고번호2019041307917","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명양반 오미자","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","녹차추출액","오미자농축액","사과농축액","수크랄로스","아세설팜칼륨","","","","","","6","7","아스파탐","구연산","","함수구연산","8","9","10","11","12",NA,NA,NA,NA,NA,"구연산삼나트륨","합성향료","합성향료","혼합제제","과.채가공품",NA,NA,NA,NA,NA,"구연산나트륨","오미자향 A","오미자향 S","RS100","몽크후르츠농축과즙",NA,NA,NA,NA,NA
"10","번호2485","품목보고번호2019041307999","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명양반매실","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","녹차추출액","매실농축액","사과농축액","비타민C","구연산","","","","","","6","7","DL-사과산","구연산삼나트륨","","","8","9","10","11","12","13","14","15","16",NA,"수크랄로스","아세설팜칼륨","아스파탐","과.채가공품","향료","혼합제제","혼합제제","향료","맥아추출물분말",NA,"","","","몽크후르츠농축과즙","매실향D","매실향S","매실향A","혼합과일향","",NA
