"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","성분 및 원료3","비고3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호2374","품목보고번호200605561325","업소명(주)하늘마당","품목유형혼합음료","유통/소비기한제조일로부터 12월까지","제품명에이워터","분류식품","업체명","(주)하늘마당","소재지","경상북도 상주시 화북면 문장로 2243-22","1","2","정제수","황산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2373","품목보고번호2011044107017","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명에이워터","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2","지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2372","품목보고번호2009037514933","업소명한국알카리수 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명에이웰88 알카리수","분류식품","업체명","한국알카리수 주식회사","소재지","경기도 여주시 강천면 다리골길 37-8","1","2","정제수","수산화마그네슘",NA,NA,"3","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2371","품목보고번호1986044301574","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터2년(전량수출용)","제품명에이지래스엑스트라켄센트레이트","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","크렌베린농축쥬스","체리농축쥬스",NA,NA,"3","포도농축쥬스",NA,"4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","블루베리농축쥬스","D-소르비톨","아슈와간다","녹차추출물분말(고시형)","티베탄진생","유니베스틴","오르니틴","알파","글루타레이트","통충하초추출분말","알로에베라겔200:1분말","나한과추출물분말","은행잎추출물분말","멕셀","수크랄로스","구연산","비타민b3","니코틴산아미드","비타민 B6(고시형)","안식향산나트륨","소르빈산칼슘","알파리포익에시드","홍사탕무농축쥬스","갈산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2370","품목보고번호1986044301539","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명에이지레스 엑스트라 미니","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","크렌베리농축쥬스","체리농축쥬스",NA,NA,"3","포도농축쥬스",NA,"4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23",NA,NA,NA,NA,NA,"D-소르비톨","옥수수잎분말","녹차추출물분말(고시형)","티베탄진생","유니베스틴","오르니틴알파게토클루타레이트","동충하초추출분말","액티브알로에","나한과추출물분말","은행잎추출물분말","멕셀","수크랄로스","구연산","비타민b3","안식향산나트륨","소르빈산칼슘","알파리포익에시드","홍사탕무농축쥬스","갈산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2369","품목보고번호1986044301553","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명에이지레스에센셜시럽(Ageless Essential Syrup)","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","난소화성말토덱스트린(고시형)","에이치투오메가",NA,NA,"3","자일리톨",NA,"4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"우유칼슘","알로에베라겔200:1분말","딸기농축액","말오줌나무열매","유청단백","유청분리단백","딸기향","혼합비타민","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2368","품목보고번호201602575762","업소명(주)에치엔지","품목유형혼합음료","유통/소비기한제조일로부터 18 개월","제품명에치엔지 딸기 스프레이","분류식품","업체명","(주)에치엔지","소재지","세종특별자치시 전의면 의당전의로 908","1","2","딸기농축액","구연산","100%","","3","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2367","품목보고번호20020623009672","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명엑소 맥시멈비","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","자몽농축액","백설탕","65brix, 10brix 기준 0.5%","","3","구연산","산도조절제","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산삼나트륨","에리스리톨","아미노산혼합제제","아미노산혼합제제","젖산칼슘","염화마그네슘","L-아르기닌","제이인산칼륨","L-글루타민산나트륨","수크랄로스","시트러스향","자몽향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"산도조절제","","아미노믹스","아미노액티브BCAA","영양강화제","","","","향미증진제","합성감미료","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2366","품목보고번호20020623009671","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명엑소 맥시멈에이","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","레몬농축액","백설탕","65brix, 7brix기준 0.464%","","3","구연산","산도조절제","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산삼나트륨","에리스리톨","비타민C","아미노산혼합제제","아미노산혼합제제","타우린","젖산칼슘","염화마그네슘","정제소금","홍화황색소","수크랄로스","시트러스향","레몬라임향","민트향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"산도조절제","","영양강화제","아미노믹스","아미노액티브BCAA","","영양강화제","","","","합성감미료","합성착향료","합성착향료","합성착향료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2365","품목보고번호19970464172267","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명엑스솔루션","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","식물혼합발효추출액","마름분말","","마름추출물분말","3","헛개나무열매추출분말","","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"강황추출액","말티톨시럽","현미배아추출물분말","구연산","사양벌꿀","드링크향","효소처리스테비아","니코틴산아미드","백설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수용성커큐민-12","","미배아대두발효추출액","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
