"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","번호9","번호10","번호11","번호12","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29"
"1","번호2244","품목보고번호20020623009981","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오가다 석류오미자 블렌딩티","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","오미자추출농축액","과.채가공품","석류농축액","설탕","식용색소적색제40호","혼합제제","정제수","구연산","","크랜베리농축액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2243","품목보고번호2005027515514","업소명새롬","품목유형혼합음료","유통/소비기한제조일로부터 180일(냉동 -18도이하)","제품명오가피식혜","분류식품","업체명","새롬","소재지","경기도 성남시 분당구 느티로77번길 6-2(정자동, 지하1층)","1","2","3","4","5","6","7",NA,"찹쌀","오가피","엿기름","올리고당","설탕","기타","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2242","품목보고번호2001046701326","업소명금산고려홍삼 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오가피추출액","분류식품","업체명","금산고려홍삼 주식회사","소재지","충청남도 금산군 복수면 오곡동길 48-4","1","2",NA,NA,NA,NA,NA,NA,"오가피","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2241","품목보고번호19710570001617","업소명주식회사 네이처셀 칠곡공장","품목유형혼합음료","유통/소비기한24개월","제품명오감차","분류식품","업체명","주식회사 네이처셀 칠곡공장","소재지","경상북도 칠곡군 기산면 기산공단1길 21","1","2","3","4","5","6",NA,NA,"기타발효음료","차가버섯추출물분말","오리나무농축액","현미농축액","감초농축액","정제수",NA,NA,"네이처101","차가버섯농축액80%,덱스트린20%","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2240","품목보고번호201403950667","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한60일(냉장), 1년(냉동)","제품명오곡으로 만든 구수한 초록이냉식혜","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5",NA,NA,NA,"오곡잡곡","엿기름","설탕","볶음옥수수","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2239","품목보고번호20130415052223","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오늘 비움","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","정제수","자일리톨","유함유가공품","D-소비톨","만니톨","난소화성말토덱스트린(고시형)","천연향료","석류농축액","","","락추로스 리퀴드","","","화이바솔-2","천연 요구르트향 #3","","9","10","11","12","서양자두농축액","유산균배양건조물","탈지분유","황금혼합추출물","푸룬농축액","유산균배양분말(엔에프원사균체)","","복합황금추출물-2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2238","품목보고번호20090435035307","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오늘도 버디","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","3","4","5","6","7","8","정제수","프락토올리고당","세븐베리농축액","D-소비톨","유단백가수분해물","댕댕이나무열매추출액","효소처리스테비아","크랜베리향","","","","","실크펩타이드","댕댕이나무열매농축액","","천연크랜베리향","9","10","11","12","구연산(무수)","글루콘산마그네슘(고시형)","비타민 C(고시형)","황금혼합추출물","무수구연산","","","복합황금추출물","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","과라나추출물분말","젖산칼슘(고시형)","올리브잎추출분말","비타민 B1염산염(고시형)","글루콘산아연(고시형)","비타민 B6(고시형)","판토텐산칼슘(고시형)","니코틴산아미드(고시형)","비타민 B2(고시형)","효소식품","비타민 B12(고시형)","황산망간(고시형)","효소식품","효소식품","엽산(고시형)","황산동(고시형)","비오틴(고시형)","","","올리브잎추출물분말","","","비타민B6염산염","","","","파파인효소분해분말","","","다이제자임","브로멜라인","","",""
"8","번호2237","품목보고번호20060512128278","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명오늘도 비파하자","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7",NA,"정제수","올리고당","설탕","복숭아농축액","비파잎","복숭아향","비타민C",NA,"","","","","비파잎추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2236","품목보고번호19860443015292","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오늘도 상쾌한","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","올리고당","기타과당","서양자두농축액","난소화성말토덱스트린(고시형)","구연산(무수)","수산화마그네슘","염화마그네슘","황산마그네슘","프락토올리고당","액상과당","푸룬주스농축액","","","","","","9","10","11","12","구연산삼나트륨","잔탄검","황금혼합추출물","천연향료","","산탄검","복합황금추출물","천연믹스베리향","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"수크랄로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2235","품목보고번호20080383904230","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명오늘도힘내 비타천","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","5","6","7","8","정제수","액상과당","비타민C","드링크향","사과농축액","구연산","구연산삼나트륨","L-카르니틴","","","","","72Brix이상, 국산","","","","9","10","11","12","오렌지엑기스","효소처리스테비아","황금추출물","타우린","미국산","","황금복합추출물","","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"니코틴산아미드","판토텐산칼슘","비타민B2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
