"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2224","품목보고번호20110084489488","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오늘은 아르기닌","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","정제수","L-아르지닌","구연산","백포도주스농축액","레몬농축액","타우린","효소처리스테비아","오르니틴염산염","드링크향","천연향료(Lemon)","기타가공품","혼합제제","녹용분말","쌀배아추출물","글루콘산아연","엘라스틴가수분해물","우유단백질","구연산칼륨","흑마늘분말","","","함수구연산","","","","","","합성향료","천연레몬향","복합황금추출물","비타민혼합제제","녹용엑기스분말","쌀배아추출액","","프로라스틴","우유단백질농축(밀크세라마이드)","","흑마늘농축분말"
"2","번호2223","품목보고번호20110084489492","업소명(주)웰파인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오늘은 아르기닌 브이","분류식품","업체명","(주)웰파인","소재지","강원도 횡성군 우천면 우천제2농공단지로 77","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"정제수","L-아르지닌","구연산","사과농축액","프락토올리고당","타우린","청사과향","효소처리스테비아","오르니틴염산염","기타가공품","팥농축분말","토마토추출물분말","녹용분말","쌀배아추출물","글루콘산아연","프로테아제(식물성)","호박농축분말","혼합제제",NA,"","","함수구연산","사과농축과즙액","","","혼합제제","","","복합황금추출물","","화이트토마토추출분말","녹용엑기스분말","쌀배아추출액","","브로멜라인","","비타민혼합제제",NA
"3","번호2222","품목보고번호20020623009459","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오늘은 알로에","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,"알로에베라겔즙액함유절편","구연산","액상과당","알로에향","구연산삼나트륨","젖산칼슘","비타민C","젤란검","스테비올배당체","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"태국산,베트남산","중국산","국내산","국산","중국산","벨기에산","중국산","중국산","중국산","국산",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2221","품목보고번호20020623009499","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명오늘은칼라만시","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,"과.채가공품","백설탕","구연산","펙틴","비타민C","홍화황색소","수크랄로스","시트러스향","레몬라임향","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"깔라만시엑기스","","","","","","","합성향료","합성향료","천연향료","",NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2220","품목보고번호19780368002612","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명오늘의meal","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,"정제수","설탕","분리유단백분말","땅콩 또는 견과류가공품","분리완두단백","곡류가공품","프락토올리고당(고시형)","글리세린지방산에스테르","정제소금","합성향료","자당지방산에스테르","탄산수소나트륨","젤란검","니코틴산아미드","비타민B6염산염",NA,NA,NA,NA,"","","","헤이즐넛페이스트","","미숫가루페이스트","","","","혼합곡물향","","","","","",NA,NA,NA,NA
"6","번호2219","품목보고번호2019041706640","업소명뽕이네","품목유형혼합음료","유통/소비기한냉장 14일, 냉동 6개월","제품명오대쌀뽕잎식혜","분류식품","업체명","뽕이네","소재지","강원도 철원군 근남면 하오재로 1004-31(다동)","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"뽕나무잎추출액","엿기름당화액","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2218","품목보고번호1973028800625","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한제조일로부터2년","제품명오라떼 애플","분류식품","업체명","동아오츠카(주)","소재지","경기도 안양시 만안구 연현로1번길 96(석수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"액상과당","혼합탈지분유","농축사과과즙","젖산칼슘","말토덱스트린","구연산","시클로덱스트린","대두다당류","사과향 FAC-5810","사과향 OT-16319","후르츠양 EL","구연산삼나트륨","칼슘카제인펩타이드","아와브레이크","아세설팜칼륨","수크랄로스","정제수","사과향",NA,"","","","","","","","","","","","","","","","","","애플향 E-1813010",NA
"8","번호2217","품목보고번호1996061705321","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명오라떼 애플","분류식품","업체명","동아오츠카(주)","소재지","경상남도 함안군 칠서면 공단서길 18","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"액상과당","혼합탈지분유","농축사과과즙","젖산칼슘","말토덱스트린","구연산","시클로덱스트린","대두다당류","구연산삼나트륨","카제인칼슘펩타이드","아와브레이크 H-01","아세설팜칼륨","수크랄로스","후르츠향 EL-90076","사과향 FAC-5810","사과향","사과향 OT-16319","정제수",NA,"","네덜란드산","칠레산","","","","","","","","","","","","","E-1813010","","",NA
"9","번호2216","품목보고번호1973028800630","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한15개월","제품명오라떼 피치","분류식품","업체명","동아오츠카(주)","소재지","경기도 안양시 만안구 연현로1번길 96(석수동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"액상과당","혼합탈지분유","복숭아농축과실즙","젖산칼슘","말토덱스트린","시클로덱스트린","구연산","대두다당류","구연산삼나트륨","카제인칼슘펩타이드","아와브레이크H-01","아세설팜칼륨","수크랄로스","후르츠향 EL-90076","복숭아향 D70923","복숭아향 G-3515-RX","복숭아향 DL44741","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2215","품목보고번호1996061705330","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한제조일부터 24 개월","제품명오라떼 피치","분류식품","업체명","동아오츠카(주)","소재지","경상남도 함안군 칠서면 공단서길 18","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18",NA,"액상과당","혼합탈지분유","복숭아농축과즙","젖산칼슘","말토덱스트린","시클로덱스트린","구연산","대두다당","구연산삼나트륨","카제인칼슘펩타이드","아와브레이크 H-01","아세설팜칼륨","수크랄로스","후르츠향","복숭아향 D70923","복숭아향 G-3515-RX","복숭아향 DL44741","정제수",NA,"","","","","","","","","","","","","","EL-90076","","","","",NA
