"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호2134","품목보고번호19890445014602","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명옥천헛개나무","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","헛개나무혼합추출액","정제수","액상과당","카르복시메틸셀룰로오스나트륨","카라멜색소","구연산","효소처리스테비아","타우린","L-아스파라긴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2133","품목보고번호1989044501493","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명옥천화이바마씨","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5",NA,NA,NA,NA,"폴리덱스트로스","배즙","구연산","산레드색소","드링크향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2132","품목보고번호2001043909834","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명옥타곤-E21(OCTAGON- E21)","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2","3",NA,NA,NA,NA,NA,NA,"정제수","산소","기타가공품",NA,NA,NA,NA,NA,NA,"먹는물","","비이엠럭셔리 ( 진주가루,디소듐포스페이트,시트릭애씨드)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2131","품목보고번호19950433026596","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명옥토넛 요거트 딸기","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","설탕","구연산","혼합분유","사과농축액","두류가공품","샤베트믹스","수크랄로스","시트러스향","요구르트향","정백당","구연산[함수]","혼합탈지분유","72Brix","수용성대두다당류","요구르트베이스 70Bx","","","HF-AF15353","10","11","12","딸기향","밀크향","정제수","HF-AF14023","HF-317568","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2130","품목보고번호19950433026597","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명옥토넛 요거트 복숭아","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","설탕","구연산","혼합분유","복숭아농축액","두류가공품","샤베트믹스","수크랄로스","시트러스향","요구르트향","정백당","구연산[함수]","혼합탈지분유","68Brix","수용성대두다당류","요구르트베이스70Brix","","","HF-AF15353","10","11","12","복숭아향","밀크향","정제수","HF-317565","HF-317568","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2129","품목보고번호19950433026595","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명옥토넛 요거트 블루베리","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","설탕","구연산","사과농축액","두류가공품","혼합분유","샤베트믹스","수크랄로스","시트러스향","요구르트향","정백당","구연산[함수]","72Brix","수용성대두다당류","혼합탈지분유","요구르트베이스","","SF-19188","HF-AF15353","10","11","12","블루베리향","밀크향","정제수","HF-AF11930","HF-317568","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2128","품목보고번호19950433026598","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명옥토넛 요거트 오리지널","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","설탕","구연산","혼합분유","두류가공품","샤베트믹스","수크랄로스","시트러스향","요구르트향","밀크향","백설탕","구연산[함수]","혼합탈지분유","수용성대두다당류","요구르트베이스70Brix","","","HF-AF15353","HF-317568","10","11",NA,"청포도향","정제수",NA,"HF-AG13301","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2127","품목보고번호20160449021121","업소명건승티앤비","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명온가족 아이사랑","분류식품","업체명","건승티앤비","소재지","충청남도 천안시 동남구 성남면 성남로 230-21","1","2","3",NA,NA,NA,NA,NA,NA,"과.채가공품","당류가공품","정제수",NA,NA,NA,NA,NA,NA,"모로블러드오렌지농축액","슈가시럽","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2126","품목보고번호2019057102515","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명온고지식새싹보리식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4","5",NA,NA,NA,NA,"엿기름","설탕","멥쌀","보리순","정제수",NA,NA,NA,NA,"건조맥아","","","새싹보리","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2125","품목보고번호20060445110624","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명온심","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","정제수","대추농축액","벌꿀","식물혼합농축액","호박농축액","시클로덱스트린","팥농축분말","프락토올리고당","에리스리톨","","","마누카꿀","","","","","","","10","11","12","건조효모","옥수수수염추출분말","구연산","셀렌 0.2%","옥수수수염추출물분말","","13","14","15","로커스트콩검","황금혼합추출물","염화칼륨","","",""
