"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고11","비고12","비고13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고14","비고15","비고16","비고17","비고18","비고19"
"1","번호2114","품목보고번호20080395120611","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 70일","제품명올데이프룻 자두","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","설탕","폴리덱스트로스","자두농축액","구연산","비타민C","향료","향료","기타가공품","","","","","","","","자두향1","자두향2","스테비아추출물100(함수결정포도당, 스테비아추출물분말)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2113","품목보고번호20080395120673","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 70일","제품명올데이프룻 키위","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","설탕","폴리덱스트로스","청포도농축액","구연산","키위퓌레","비타민C","향료","향료","","","","","","","그린키위퓨레","","키위향1","키위향2","11","12","13","향료","기타가공품","구연산삼나트륨","청포도향","스테비아추출물100(함수결정포도당, 스테비아추출물분말)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2112","품목보고번호20070443110650","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명올라 스포츠 프로틴 녹차","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","두류가공품","난소화성말토덱스트린(고시형)","올리고당","당류가공품","두류가공품","고형차","탄산칼슘","해바라기유","레시틴","향료","분리대두단백","","프락토올리고당","액상알룰로스","피제인 C9","유기가루녹차","","하이올레익해바라기유","해바라기레시틴분말","말차향 22-","11","12","13","탄산수소나트륨","젤란검","정제소금","","","","14","15","16","17","18","19","L-아스코브산나트륨","아세설팜칼륨","수크랄로스","혼합제제","기타가공품","정제수","","","","비타민 D2 혼합제제","김치포스트바이오틱스",""
"4","번호2111","품목보고번호20070443110629","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명올라 스포츠 프로틴 오트 그레인","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","두류가공품","난소화성말토덱스트린(고시형)","당류가공품","올리고당","두류가공품","곡류가공품","곡류가공품","탄산칼슘","혼합제제","합성향료","수프로 XT55","","액상 알룰로스","프락토올리고당 F250","피제인 C9","오곡분말","오트추출분말","","곡물향","오트향","11","12","13","레시틴","정제소금","젤란검","해바라기 레시틴 분말","","","14","15","16","17",NA,NA,"수크랄로스","혼합제제","기타가공품","정제수",NA,NA,"","비타민 D2 혼합제제","김치포스트바이오틱스","",NA,NA
"5","번호2110","품목보고번호20070443110630","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한9개월","제품명올라 스포츠 프로틴 헤이즐넛 코코아","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","두류가공품","난소화성말토덱스트린(고시형)","당류가공품","올리고당","두류가공품","코코아분말","탄산칼슘","혼합제제","혼합제제","혼합제제","수프로 XT55","","액상 알룰로스","프락토올리고당 F250","피제인 C9","코코아파우더 D-11-MR","","초코향 F","초코향 SK","초코향 BJ","11","12","13","혼합제제","레시틴","정제소금","헤이즐넛향 21064146","해바라기 레시틴 분말","","14","15","16","17","18","19","젤란검","천연향료","수크랄로스","혼합제제","기타가공품","정제수","","천연헤이즐넛향 20094089","","비타민 D2 혼합제제","김치포스트바이오틱스",""
"6","번호2109","품목보고번호20070443110653","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명올라 이온 워터","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","에리스리톨","기타가공품","구연산(무수)","향료","DL-사과산","구연산삼나트륨","구연산칼륨","염화칼륨","혼합제제","정제소금","","제주용암해수 리퀴드","","혼합과일향 22-","","","","","시트러스향 S-","","11","12","13","비타민C","아세설팜칼륨","수크랄로스","","","","14","15","16","17","18",NA,"니코틴산아미드","판토텐산칼슘","식용색소청색제1호","비타민B6염산염","정제수",NA,"","","","","",NA
"7","번호2108","품목보고번호200604563254","업소명올리고마을영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터1년(냉장)","제품명올리고단호박식혜","분류식품","업체명","올리고마을영농조합법인","소재지","충청남도 당진시 신평면 동산절길 26-20","1","2","3","4","5",NA,NA,NA,NA,NA,"엿기름","단호박","백설탕","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2107","품목보고번호200604563256","업소명올리고마을영농조합법인","품목유형혼합음료","유통/소비기한1년","제품명올리고전통백미식혜","분류식품","업체명","올리고마을영농조합법인","소재지","충청남도 당진시 신평면 동산절길 26-20","1","2","3","4","5",NA,NA,NA,NA,NA,"쌀","백설탕","역기름","정제수","간생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2106","품목보고번호19890445014261","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명올리고화이바","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","폴리덱스트로스","이소말토올리고당","액상과당","감귤농축과즙액","구연산","오렌지향","안식향산나트륨","DL-사과산","레드칼라","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11","12",NA,"스테비올배당체","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2105","품목보고번호20040275056730","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명올리브잎 올데이 리퀴드","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","정제수","올리브잎추출물","프락토올리고당","배농축액","도라지농축액","매실농축액","맥문동추출분말","기타가공품","글루콘산아연","자몽종자추출물","","콤비타 올리브잎추출액","","","","","맥문동농축분말","식물혼합추출분말 HMS","","","11",NA,NA,"혼합제제",NA,NA,"아니스HS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
