"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","번호29","성분 및 원료29","비고29"
"1","번호2104","품목보고번호20180491044152","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명올바른 마시는 프로틴","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","우유","덱스트린","분리대두단백","카제인칼슘","초유분말","채종유(유채유 또는 카놀라유)","백설탕","프락토올리고당","정제소금","제삼인산칼슘","탄산칼슘","산화아연","제이인산칼륨","인산철","수산화마그네슘","비타민D3혼합제제","혼합제제","L-로이신","수용성비타민혼합제제","혼합제제","자당지방산에스테르","자당지방산에스테르","두류가공품","콜라겐","혼합제제","땅콩향","바닐라향","정제수","","말토덱스트린 DE1015","","","","","","","","","","","","","","","비타프로CEC","","수용성비타민프리믹스ID2","아미노믹스","S-570","P-1670","검은콩농축액J","피쉬콜라겐펩타이드","폼크린200(용도:소포제)","#8(FC-128809)","#7(FC-80707)","",NA,NA,NA
"2","번호2103","품목보고번호20190498210149","업소명(주)한풍네이처팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명올바른 액티브 아르기닌 5000 오르니틴 타우린","분류식품","업체명","(주)한풍네이처팜","소재지","전라북도 완주군 봉동읍 테크노밸리2로 91(1,2동 1,2,3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20",NA,NA,NA,NA,NA,NA,NA,NA,"정제수","L-아르지닌","구연산","레몬농축액","DL-사과산","프락토올리고당","액상과당","타우린","과.채가공품","구연산삼나트륨","레몬향","스테비올배당체","기타가공품","감초엑기스분말","수크랄로스","오르니틴염산염","혼합제제","비타민C","마늘추출물분말","마카추출분말",NA,NA,NA,NA,NA,NA,NA,NA,"","","함수구연산","","","","","","레몬라임농축분말","","주정,정제수,천연향료(레몬오일)","","복합황금추출물","","","","BCAA믹스","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2102","품목보고번호19960443047105","업소명(주)비락 진천공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명올바른유기농식혜","분류식품","업체명","(주)비락 진천공장","소재지","충청북도 진천군 진천읍 덕금로 183","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"음료베이스","설탕","쌀페이스트","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유기농엿기름추출액","유기농설탕","유기농쌀페이스트","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2101","품목보고번호2001043909838","업소명주식회사 사랑과 사람들(제2공장)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명올업액티브 (all up active)","분류식품","업체명","주식회사 사랑과 사람들(제2공장)","소재지","충청북도 보은군 내북면 산척상궁로 748","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소","아산화질소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"먹는물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2100","품목보고번호20170614111416","업소명(주)엔트리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명올인원 저분자 피쉬 콜라겐 펩타이드","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","블루베리농축액","생선콜라겐분말","비타민C","엘라스틴","히알루론산","비오틴",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","65Brix","피쉬콜라겐분말","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2099","품목보고번호2016056300886","업소명웰빙바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명올케어 스마일업","분류식품","업체명","웰빙바이오","소재지","경상북도 의성군 비안면 강변길 111","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"흑마늘추출액","석류농축액","파인애플농축액","사과농축액","L-아르지닌","생선콜라겐분말","로커스트콩검","카라기난","타마린드검","잔탄검","분말한천(고시형)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","피쉬콜라겐","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2098","품목보고번호20160563008100","업소명웰빙바이오","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명올케어 스마일업 뷰너베리","분류식품","업체명","웰빙바이오","소재지","경상북도 의성군 비안면 강변길 111","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"블루베리혼합액","생선콜라겐분말","혼합제제","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","피쉬콜라겐(베트남산)","잔탄검,분말한천,카라기난,로커스트콩검,타마린드검,덱스트린,타라검","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2097","품목보고번호20040275056806","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명올케어 아미노산 포텐 앰플","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","정제수","L-아르지닌","과.채가공품","구연산","프락토올리고당","포도농축액","효소처리스테비아","레몬농축액","비타민C","펙틴","합성향료","레몬향","γ-시클로덱스트린","기타가공품","생선콜라겐","타우린","아미노산혼합제제","오르니틴염산염","L-카르니틴","비타민미네랄혼합제제","기타가공품","히알루론산혼합제제","병풀추출","서양호박농축분말","팥농축분말","판토텐산칼슘","흰강낭콩추출물","레몬밤추출물","","아르기닌","샤인머스캣혼합농축액","함수구연산","","적포도농축액","","","","","샤인머스켓향","혼합제제","","복합황금추출물","저분자피쉬콜라겐펩타이드","","CY혼합아미노산11PRO","","","비타민미네랄믹스","프로라스틴(엘라스틴가수분해물)","","병풀추출분말","단호박농축분말","","","흰강낭콩추출분말","레몬밤추출분말","29","녹차추출물","녹차추출분말"
"9","번호2096","품목보고번호20170614111400","업소명(주)엔트리","품목유형혼합음료","유통/소비기한24개월","제품명올케어스마일업뷰너베리","분류식품","업체명","(주)엔트리","소재지","경상남도 양산시 외산1길 30(덕계동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"블루베리혼합액","생선콜라겐분말","혼합제제","히알루론산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","잔탄검,분말한천,카라기난,로커스트콩검,타마린드검,덱스트린,타라검","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2095","품목보고번호19990555093415","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일자로부터 24개월","제품명올포레콕","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","기타과당","대두발효추출물","헛개나무열매농축액","배농축액","오리나무농축액","구연산","혼합허브추출물","칡농축액","기타식초","비타민B1염산염","비타민C","혼합제제","타우린",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","미배아대두발효추출물","","","수피, 잎","","복합허브추출물","","오디식초[발효식초, 오디추출액(오디 100%)]","","","배향(주정, 프로필렌글리콜, 정제수, 합성향료)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
