"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17"
"1","번호2074","품목보고번호20190326100132","업소명우리바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명왕의비책 下","분류식품","업체명","우리바이오 주식회사","소재지","경기도 안산시 단원구 성곡로 79(마동 1층일부, 지층,  3층일부, 4층일부 성곡동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","L-아르지닌","구연산","과.채가공품류","효소처리스테비아","타우린","비타민C","파인애플향","혼합제제","오자농축액","니코틴산아미드","산화아연","기타가공품","비타민B6염산염","비타민B1염산염","비타민B2","판토텐산칼슘","정제수","","","파인애플엑스","","","","","","","","","마카분말","","","","",""
"2","번호2073","품목보고번호2006047005812","업소명(주)외가집 농업회사법인","품목유형혼합음료","유통/소비기한제조일로부터 1개월","제품명외가집 전통식혜","분류식품","업체명","(주)외가집 농업회사법인","소재지","충청남도 부여군 옥산면 안골로41번길 21-14(주외가집농업회사법인)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"찹쌀","엿기름","설탕","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2072","품목보고번호2013062801975","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명요거워터 오렌지향","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","액상과당","정제소금","구연산","구연산삼나트륨","비타민C혼합제제","Lactobacillus plantarum분말","요구르트향혼합제제","오렌지향혼합제제",NA,NA,NA,NA,NA,NA,NA,"","","","","함수구연산","","","","","",NA,NA,NA,NA,NA,NA,NA
"4","번호2071","품목보고번호19890445014752","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명요구르트 바나나 에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,"정제수","액상과당","백설탕","당류가공품","바나나농축액","탈지분유","구연산","증점다당류","젤란검","구연산삼나트륨","비타민 C(고시형)","카로틴","수크랄로스","바나나향","요구르트향",NA,NA,"","","정백당","알파가당요거트베이스","70Brix, 이스라엘산","","함수구연산","수용성대두다당류","","","","","","합성향료","합성향료",NA,NA
"5","번호2070","품목보고번호20030614307870","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월 까지","제품명요구르트 에이드","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,NA,NA,"정제수","액상과당","백설탕","샤베트믹스","혼합분유","구연산","식품첨가물혼합제제","합성착향료","구연산삼나트륨","합성착향료","비타민C","카로틴","수크랄로스","식품첨가물혼합제제",NA,NA,NA,"","","","유산균배양액베이스","스킴밀크 프리퍼레이션 에스엠피 8515","","엠아이에스(MIS)-66600","요거트후레바","","요구르트향 엠에프-140263","","","","락색소-엘에이",NA,NA,NA
"6","번호2069","품목보고번호20100543066835","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명요구르트 에이드 코코","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,"정제수","설탕","과.채가공품","탈지분유","샤베트믹스","구연산","합성향료","두류가공품","구연산삼나트륨","수크랄로스","유화제","혼합제제","식용색소황색제4호","식용색소황색제5호","기타가공품",NA,NA,"","","나타드코코[나타드코코젤리(베트남산)80%(코코넛쥬스,설탕,초산),설탕,정제수,구연산]","미국산","요구르트베이스(국산)","","요구르트향","대두","","감미료","","CMC-Na,규소수지,유화제","착색료","착색료","일동 락토바실루스 람노서스 IDCC 3201",NA,NA
"7","번호2068","품목보고번호2011049800311","업소명(주)메트로비앤에프","품목유형혼합음료","유통/소비기한12개월","제품명요구르트맛 쏘쿨","분류식품","업체명","(주)메트로비앤에프","소재지","전라북도 임실군 관촌면 관진로 112-4","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","음료베이스","백설탕","혼합제제","비타민 C 분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","요하이(자사제품)","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2067","품목보고번호2021055909213","업소명셀베이 바이오","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명요구르트액","분류식품","업체명","셀베이 바이오","소재지","경상북도 영천시 화산면 유성길 83","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"요거트분말","구연산","젖산칼슘","에리스리톨","수크랄로스","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2066","품목보고번호20120567001297","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명요쿠와의 워터젤리 딸기","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"정제수","발효식초","에리스리톨","딸기농축액","팽이버섯추출물","폴리덱스트로스","혼합제제","홍삼농축액","딸기향","구연산","젖산칼슘","비타민C","수크랄로스",NA,NA,NA,NA,"","청포도발효식초","","","팽이버섯유산발효액","","검분말(카라기난, 구연산삼나트륨, 곤약분말, 잔탄검, 덱스트린)","","","","","","",NA,NA,NA,NA
"10","번호2065","품목보고번호20120567001298","업소명농업회사법인 주식회사 생생초","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명요쿠와의 워터젤리 오렌지","분류식품","업체명","농업회사법인 주식회사 생생초","소재지","경상북도 청도군 화양읍 남성현로 291-15","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,"정제수","발효식초","에리스리톨","오렌지농축액","팽이버섯추출물","폴리덱스트로스","혼합제제","홍삼농축액","오렌지향","구연산","젖산칼슘","비타민C","수크랄로스",NA,NA,NA,NA,"","청포도발효식초","","","팽이버섯유산발효액","","검분말(카라기난, 구연산삼나트륨, 곤약분말, 잔탄검, 덱스트린)","","","","","","",NA,NA,NA,NA
