"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고16","비고17","비고18","비고19"
"1","번호2034","품목보고번호2017037259086","업소명상아생명과학주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명우리아이튼튼젤리","분류식품","업체명","상아생명과학주식회사","소재지","경기도 포천시 가산면 마정로 192(가동, 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","프락토올리고당","홍삼추출액","포도농축액","혼합제제","아로니아향","과.채가공품","히알루론산","생선콜라겐","수크랄로스","구연산삼나트륨","구연산","산화아연","기타가공품","포도당","","","고형분 0.3%","","푸드겔","","엘더베리농축액","","피쉬콜라겐","","","","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2033","품목보고번호2013055814417","업소명농업회사법인 문경미소 주식회사","품목유형혼합음료","유통/소비기한24개월","제품명우리오미자오미소","분류식품","업체명","농업회사법인 문경미소 주식회사","소재지","경상북도 문경시 산양면 산동로 597","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"오미자청","구연산","비타민C","글리신","L-글루탐산나트륨","효소처리스테비아","니코틴산아미드","타우린","혼합허브추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호2032","품목보고번호2006051212833","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 10월까지","제품명우리유자","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","올리고당","무농약유자과즙","비타민C","홍화황색소","효소처리스테비아","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2031","품목보고번호2006046711410","업소명주식회사 현가","품목유형혼합음료","유통/소비기한냉장 15일, 냉동 1년","제품명우리전통수정과","분류식품","업체명","주식회사 현가","소재지","충청남도 금산군 추부면 추풍로 202(자부리공장 C동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"계피","백설탕","생강","흑설탕","잣","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2030","품목보고번호19890445014314","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명우리홍삼겔365","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14",NA,"홍삼추출액","참당귀","영지버섯","가시오갈피","사철쑥","생강","벌꿀","구연산","스테비올배당체","구아검","카라멜","향료","안식향산나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2029","품목보고번호2002056303848","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명우리흑초사과","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,"사과퓌레","흑초","사과농축액","백설탕","액상과당","DL-사과산","비타민C","잔탄검a","합성착","향료(사과향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호2028","품목보고번호2002056303845","업소명(주)고려인삼식품","품목유형혼합음료","유통/소비기한제조일로부터 180일","제품명우리흑초포도","분류식품","업체명","(주)고려인삼식품","소재지","경상북도 의성군 용연1길 45","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"포도농축액","흑초","백설탕","액상과당","구연산","구연산산삼나트륨","비타민C","착향료(포도향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호2027","품목보고번호2011036207623","업소명명인힐링푸드","품목유형혼합음료","유통/소비기한제조일부터 12개월","제품명우먼헬스케어","분류식품","업체명","명인힐링푸드","소재지","경기도 김포시 하성면 월하로671번길 23-19(나동 2층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","당근","양배추","토마토열매","양파","우엉뿌리","사과","브로콜리","파프리카열매","갈대뿌리줄기","헛개나무열매","결명자열매","감귤껍질","검정콩","팥","다시마","","국산","국산","국산","국산","국산","국산","국산","","","국산","국산","국산","국산","국산","16","17","18","19","표고버섯","흰점박이꽃무지유충","생강","프락토올리고당","국산","국산","국산","국산"
"9","번호2026","품목보고번호2018062221569","업소명(재)제주테크노파크용암해수센터","품목유형혼합음료","유통/소비기한24개월","제품명우무젤리 애플망고","분류식품","업체명","(재)제주테크노파크용암해수센터","소재지","제주특별자치도 제주시 구좌읍 일주동로 2708-19","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"음료베이스","정제수","설탕","혼합제제","난소화성말토덱스트린(고시형)","구연산(무수)","구연산삼나트륨","망고향","분말한천(고시형)",NA,NA,NA,NA,NA,NA,"애플망고 퓌레(40brix 이상)","염지하수: 용암해수","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2025","품목보고번호2015062509310","업소명농업회사법인(주)합천봉황농원","품목유형혼합음료","유통/소비기한1년","제품명우슬식혜","분류식품","업체명","농업회사법인(주)합천봉황농원","소재지","경상남도 산청군 생비량면 정주동길 29","1","2","3","4","5","6","7",NA,NA,NA,NA,NA,NA,NA,NA,"쌀","생강","엿기름","건조쇠무릅","계피","감초","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
