"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12"
"1","번호2024","품목보고번호2011044107018","업소명대오푸드홀딩스","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명운모수","분류식품","업체명","대오푸드홀딩스","소재지","충청북도 영동군 학산면 용화양강로 1480","1","2","지하수","수산화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호2023","품목보고번호19970464172223","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명울금","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","식물혼합추출물","갈색설탕","","흑설탕","3","4","5","6","7","8","9","10","11","12","사과농축액","헛개나무열매농축액","복숭아농축액","오미자농축액","울금추출액","심황색소","구연산","구연산삼나트륨","타우린","밀크씨슬추출물","","헛개열매농축액","","","","수용성커큐민(심황색소)","","","",""
"3","번호2022","품목보고번호200305011103","업소명구름호수팜","품목유형혼합음료","유통/소비기한6월","제품명울금 액기스","분류식품","업체명","구름호수팜","소재지","전라북도 부안군 진서면 운호길 61-24","1","2","울금","도라지",NA,NA,"3","4","5",NA,NA,NA,NA,NA,NA,NA,"광귤나무열매","칡뿌리","감초",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호2021","품목보고번호19970464172210","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명울금500","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","식물혼합추출물","흑설탕",NA,NA,"3","4","5","6","7","8","9","10",NA,NA,"사과농축액","헛개나무열매농축액","복숭아농축액","오미자농축액","울금추출농축액","수용성커큐민","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호2020","품목보고번호2004046721357","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명울금헛개진액","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","울금추출액","헛개나무추출액",NA,NA,"3","4","5","6","7","8","9","10","11",NA,"큰꽃삽주","작약","귤나무열매껍질","대추","감초","저당","스테비올배당체","D-소르비톨액","고과당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호2019","품목보고번호20090242118195","업소명(주)아람","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명울라 호박식혜","분류식품","업체명","(주)아람","소재지","대전광역시 대덕구 대전로1364번길 21(읍내동)","1","2","정제수","설탕","","","3","4","5","6","7","8",NA,NA,NA,NA,"물엿","엿기름","쌀","과.채가공품","과.채가공품","생강",NA,NA,NA,NA,"호박 조청","","","단호박 페이스트","단호박 분말","",NA,NA,NA,NA
"7","번호2018","품목보고번호2019057102518","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명울릉도 마가목전통식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","엿기름","설탕","","","3","4","5",NA,NA,NA,NA,NA,NA,NA,"멥쌀","마가목열매","정제수",NA,NA,NA,NA,NA,NA,NA,"","마가목분말","",NA,NA,NA,NA,NA,NA,NA
"8","번호2017","품목보고번호2019057102522","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터12개월","제품명울릉도호박식혜","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","엿기름","설탕",NA,NA,"3","4","5",NA,NA,NA,NA,NA,NA,NA,"멥쌀","건조호박분말","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호2016","품목보고번호201005740067","업소명(주)큐비엠","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명울릉인리치온","분류식품","업체명","(주)큐비엠","소재지","경상북도 울릉군 북면 울릉순환로 2614","1","2","해양심층수미네랄탈염수","염화마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호2015","품목보고번호20090435035125","업소명(주)아리바이오 에이치앤비","품목유형혼합음료","유통/소비기한1년","제품명울진 금강송","분류식품","업체명","(주)아리바이오 에이치앤비","소재지","충청북도 제천시 한방엑스포로5길 77(왕암동)","1","2","소나무잎추출물","프락토올리고당","금강송잎추출물","","3","4","5","6","7",NA,NA,NA,NA,NA,"구연산삼나트륨","자일리톨","비타민C","타우린","정제수",NA,NA,NA,NA,NA,"","","","","",NA,NA,NA,NA,NA
