"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9"
"1","번호1963","품목보고번호19970464172326","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명위하여","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","기타과당","고형차","농축사과과즙","구연산","구연산삼나트륨","멘톨향","블루베리향","블루베리농축액","정제수","","제이비비20플러스","","","","","","",""
"2","번호1962","품목보고번호19970464172256","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한24개월","제품명위하여PLUS","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7",NA,NA,"고형차","액상과당","사과농축액","구연산","구연산삼나트륨","멘톨향","정제수",NA,NA,"제이비비20플러스","","(72Brix)","","","[합성(조은푸드텍M24070)]","",NA,NA
"3","번호1961","품목보고번호2008033218022","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 150일","제품명유기농 김포금쌀식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,"유기농엿기름농축액(고형물5%,정제수95%))","유기농","유기농",NA,NA,NA,NA,NA,NA
"4","번호1960","품목보고번호2011052704615","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한컵용기(pp) : 제조일로부터 60일까지 , 스파우트 파우치 : 제조일로부터 6개월 까지","제품명유기농 냉식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4",NA,NA,NA,NA,NA,"엿기름","설탕","쌀","정제수",NA,NA,NA,NA,NA,"유기농엿기름","유기농설탕","유기농쌀","",NA,NA,NA,NA,NA
"5","번호1959","품목보고번호19970368029383","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명유기농 명인식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6",NA,NA,NA,"곡류가공품","백설탕","쌀","생강농축액","비타민C","정제수",NA,NA,NA,"유기농엿기름추출액 / 고형분 14.6%","유기농백설탕","유기농쌀","생강 100%","","",NA,NA,NA
"6","번호1958","품목보고번호19890445014818","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한제조일로 부터 24개월","제품명유기농 속편한 양배추","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,"양배추추출액","홍삼추출액","사과농축액",NA,NA,NA,NA,NA,NA,"유기농 양배추","","유기농사과농축액",NA,NA,NA,NA,NA,NA
"7","번호1957","품목보고번호20090368428278","업소명(주)스위트코리아","품목유형혼합음료","유통/소비기한제조일로부터 2개월","제품명유기농 식혜","분류식품","업체명","(주)스위트코리아","소재지","경기도 광주시 곤지암읍 내선길 210-35(1,2층)","1","2",NA,NA,NA,NA,NA,NA,NA,"혼합음료","정제수",NA,NA,NA,NA,NA,NA,NA,"유기농식혜진액","",NA,NA,NA,NA,NA,NA,NA
"8","번호1956","품목보고번호19970368029279","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명유기농 쌀로 빚은 전통식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6",NA,NA,NA,"음료베이스","설탕","쌀","생강농축액","비타민C","정제수",NA,NA,NA,"유기농엿기름추출액(정제수84.17%,엿기름15.83%)","유기농","유기농","생강 100%","","",NA,NA,NA
"9","번호1955","품목보고번호201304430615","업소명(주)에그앤씨드 진천공장","품목유형혼합음료","유통/소비기한15일  냉장","제품명유기농 우리울타리 후레쉬 유청","분류식품","업체명","(주)에그앤씨드 진천공장","소재지","충청북도 진천군 덕산읍 석장로 101","1","2","3",NA,NA,NA,NA,NA,NA,"유청","아가베시럽","레몬주스",NA,NA,NA,NA,NA,NA,"유기농 유청","유기농","유기농",NA,NA,NA,NA,NA,NA
"10","번호1954","품목보고번호2008033218025","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한150일","제품명유기농 학예당숙성식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀",NA,NA,NA,NA,NA,NA,"유기농엿기름농축액(고형물5%,정제수95%)","유기농설탕","유기농쌀",NA,NA,NA,NA,NA,NA
