"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","번호16","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고13","비고14","비고15","비고16","번호17","번호18","번호19","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고17","비고18","비고19","번호20","번호21","성분 및 원료20","성분 및 원료21","비고20","비고21"
"1","번호1823","품목보고번호1987036005489","업소명(주)아모레퍼시픽","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너풀콜라겐","분류식품","업체명","(주)아모레퍼시픽","소재지","경기도 안성시 공단1로 36(신건지동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타가공품","자일리톨","레몬농축액","구연산","혼합제제","비타민C","스테비올배당체","기타가공품","기타가공품","히알루론산혼합제제","비오틴","","피쉬콜라겐펩타이드","","","","허니파인애플향","","","엘라스틴펩타이드","밀크세라마이드","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1822","품목보고번호20200401439118","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명이너프 뮐크 초콜릿맛","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","11","12","정제수","분리완두단백","당류가공품","치커리뿌리추출물","프락토올리고당","고올레산해바라기유","코코아분말","해조칼슘","혼합제제","혼합제제","레시틴","잔탄검","","","비정제사탕수수당","","","","","","혼합제제1(프로필렌글리콜, 합성향료, 탄닌산, 커피추출물, 정제수, 합성향료)","혼합제제2(말토덱스트린, 아라비아검, 트리아세틴, 프로필렌글리콜, 에틸바닐린, 카카오추출물)","해바라기레시틴","","13","14","15","16","카라기난","혼합제제","수크랄로스","혼합제제","","혼합제제3(dl-α-토코페릴아세테이트, 변성전분, 포도당시럽분말, 이산화규소)","","혼합제제4(포도당시럽분말, 옥수수전분, 아라비아검, 유성비타민A지방산에스테르, 비타민E)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1821","품목보고번호20050555180758","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너피스 피치 콜라겐","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","12","유단백가수분해물(고시형)","정제수","백설탕","기타가공품","비타민C","복숭아향","복숭아농축액","구연산","구연산삼나트륨","테아닌","복숭아향","수크랄로스","락티움","","","초저분자 피쉬콜라겐 펩타이드","","복숭아향#3, 혼합제제","이스라엘산","함수구연산","","","복숭아향#2, 합성향료","","13","14",NA,NA,"β-카로틴","자주색고구마색소",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1820","품목보고번호20180491044215","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너피스 피치 콜라겐","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","백설탕","복숭아농축액","구연산","구연산삼나트륨","생선콜라겐","비타민C","L-테아닌(고시형)","유단백가수분해물","β-카로틴","자주색고구마색소","수크랄로스","복숭아향","","이스라엘산","구연산(결정)","","저분자 피쉬콜라겐 펩타이드","","","","베타카로틴-엘 #170417 /품목번호 20070199192336","자주색고구마색소DS","","","13","14",NA,NA,"복숭아향","정제수",NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1819","품목보고번호20180491044192","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이너피스 피치 콜라겐","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","12","복숭아농축액","백설탕","구연산(결정)","구연산삼나트륨","생선콜라겐","비타민C","테아닌","혼합제제","자주색고구마색소","수크랄로스","복숭아향","복숭아향","이스라엘산","","함수구연산","","","","L-테아닌,중국산","베타카로틴-엘 #170417","자주색고구마색소DS","용도:감미료","복숭아향#3","복숭아향#2","13",NA,NA,NA,"정제수",NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1818","품목보고번호20060445110645","업소명콜마비앤에이치(주) 음성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명이노무 히알루로닉애씨드","분류식품","업체명","콜마비앤에이치(주) 음성공장","소재지","충청북도 음성군 대소면 대풍산단1길 8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","프락토올리고당","DL-사과산","히알루론산혼합제제","아로니아농축분말","그린색소","용설란분말","호박추출물","구기자추출물분말","잔탄검","스피루리나","생선콜라겐펩타이드","","","","","","","아가베이눌린","호박추출분말","구기자추출분말","","블루스피루리나","피쉬콜라겐펩타이드","13",NA,NA,NA,"감귤류껍질추출물분말",NA,NA,NA,"감귤류추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1817","품목보고번호20140395066290","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월 (실온)","제품명이눌린 곤약젤리 복숭아","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","알룰로오스","복숭아농축액","구연산(무수)","복숭아향","카라기난","로커스트콩검","이눌린분말","곤약분말","구연산삼나트륨","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","16","잔탄검","젤란검","염화칼륨","아세설팜칼륨",NA,NA,NA,NA,"17","18","19","수크랄로스","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1816","품목보고번호20140395066291","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명이눌린 곤약젤리 석류","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","알룰로오스","석류농축액","구연산","석류향","카라기난","로커스트콩검","이눌린분말","곤약분말","구연산삼나트륨","젖산칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13","14","15","16","잔탄검","젤란검","염화칼륨","아세설팜칼륨",NA,NA,NA,NA,"17","18","19","수크랄로스","사과농축액","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1815","품목보고번호20140395066292","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명이눌린 곤약젤리 청포도","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","정제수","에리스리톨","알룰로오스","청포도농축액","구연산","청포도향","카라기난","로커스트빈검","이눌린분말","곤약분말","구연산삼나트륨","젖산칼슘","","","","","","","","","(치커리추출물분말)","","","","13","14","15","16","잔탄검","젤란검","염화칼륨","아세설팜칼륨","","","","","17","18","19","수크랄로스","사과농축액","비타민C","","","",NA,NA,NA,NA,NA,NA
"10","번호1814","품목보고번호20140395066293","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명이눌린 에너지젤리 깔라만시","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9","10","11","12","정제수","과채주스","에리스리톨","프락토올리고당","알룰로오스","이눌린분말","천연오렌지향","L-아르지닌","카라기난","타우린","로커스트빈검","곤약분말","","(깔라만시 원액)","","","","(치커리추출분말)","","","","","","","13","14","15","16","구연산삼나트륨","구연산","젖산칼슘","잔탄검","","","","","17","18","19","젤란검","염화칼륨","수크랄로스","","","","20","21","아세설팜칼륨","비타민C","",""
