"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16"
"1","번호1673","품목보고번호2017037806912","업소명농업회사법인(주)이화온","품목유형혼합음료","유통/소비기한12개월","제품명자넷비네거 석류타임","분류식품","업체명","농업회사법인(주)이화온","소재지","경기도 하남시 미사강변서로 25(미사 테스타타워 지식산업센터 F435호 풍산동)","1","2","3","4","석류","타임잎","발효식초","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1672","품목보고번호20110493072272","업소명코엔에프(유)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자두녹차","분류식품","업체명","코엔에프(유)","소재지","전라북도 김제시 금구면 봉두로 148-22","1","2","3","4","정제수","백설탕","자두농축액","녹차농축액","","","65Brix, 칠레산","국내산","5","6","7","8","9","10","11","12","자두향","구연산","구연산삼나트륨","비타민 C(고시형)","수크랄로스","코치닐추출색소","포도과피색소","효소처리루틴","#3,혼합제제","산도조절제","산도조절제","영양강화제","감미료","","FC","영양강화제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1671","품목보고번호198506140553246","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명자두녹차","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","정제수","설탕","기타과당","구연산","","","","","5","6","7","8","9","10","11","12","과.채가공품","식품첨가물혼합제제","액상차","구연산삼나트륨","비타민C","락색소","수크랄로스","효소처리루틴","자두농축액","자두향 #3","녹차농축액 SP-10714","","","락색소-엘에이","","효소처리루틴-엠","13","식품첨가물혼합제제","레드파우더-엘씨",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1670","품목보고번호20190413079126","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자두녹차","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","백설탕","자두농축액","녹차농축액","자두향","","65Brix, 칠레산","국내산","#3, 혼합제제","5","6","7","8","9","10","11","12","구연산","구연산삼나트륨","비타민C","수크랄로스","코치닐추출색소","포도과피색소","효소처리루틴","정제수","산도조절제","산도조절제","영양강화제","감미료","","","영양강화제","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1669","품목보고번호19890445014779","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명자두에이드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","자두농축액","기타과당","백설탕","구연산(결정)","미국산 Brix: 70%","고과당","","","5","6","7","8","9","10","11","12","구연산삼나트륨","수크랄로스","비타민C혼합분말","카르복시메틸셀룰로오스","식용색소적색제40호","식용색소황색제4호","합성착향료(자두향)","합성착향료(자두향)","","감미료","","섬유소글리콜산Na","","","자두향1","자두향2","13","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1668","품목보고번호2018049104450","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자두에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","정제수","백설탕","구연산","합성향료","","","산도조절제","자두향","5","6","7","8","9","10",NA,NA,"자두농축액","구연산삼나트륨","비타민C","자주색고구마색소","수크랄로스","홍화황색소",NA,NA,"70Brix,미국산","","","","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1667","품목보고번호20000614238400","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명자두에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","자두농축액","복숭아농축액","설탕","구연산",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","구연산삼나트륨","비타민C","수크랄로스","아세설팜칼륨","자두향","자두향","자두향","식용색소적색제40호",NA,NA,NA,NA,"1709258","1709260","1709259",NA,"13","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1666","품목보고번호19730380010398","업소명(주)일화춘천공장","품목유형혼합음료","유통/소비기한제조일부터     12 개월","제품명자두에이드","분류식품","업체명","(주)일화춘천공장","소재지","강원도 춘천시 동내면 거두단지2길 55","1","2","3","4","정제수","설탕","과.채가공품","구연산","","","자두농축액, 70 Brix","함수","5","6","7","8","9","10",NA,NA,"비타민C","수크랄로스","식용색소황색제4호","식용색소적색제40호","합성향료","합성향료",NA,NA,"","감미료","착색료","착색료","자두향1","자두향2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1665","품목보고번호2004046721333","업소명금산인삼약초영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명자리끼 추출액","분류식품","업체명","금산인삼약초영농조합법인","소재지","충청남도 금산군 복수로 123","1","2","3","4","자리끼식물추출액","자리끼식물추출액","미역","다시마",NA,NA,NA,NA,"5","6","7","8","9","10","11","12","사철쑥","계피","감초","벌꿀","산수유","작약","복령","큰꽃삽주",NA,NA,NA,NA,NA,NA,NA,NA,"13","무뿌리",NA,"14","15","16","톳","참당귀","박하",NA,NA,NA
"10","번호1664","품목보고번호201805040259","업소명주식회사내츄럴코어","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자몽 곤약 젤리","분류식품","업체명","주식회사내츄럴코어","소재지","전라북도 고창군 부안면 복분자로 434-50","1","2","3","4","에리스리톨","검 베이스 혼합제제","자몽농축액","곤약분말","","검믹스혼합제제","자몽농축액 58brix, 이스라엘산","","5","6","7","8","9","10","11","12","글루코만난","잔탄검","생선콜라겐","녹차추출물분말가루","구연산","젖산칼슘","비타민혼합분말","수크랄로스","","","피쉬콜라겐(프랑스산)","","","","","","13","자몽향","","14",NA,NA,"정제수",NA,NA,"",NA,NA
