"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고12","비고13","비고14"
"1","번호5692","품목보고번호2020017614722","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 150일(냉장)","제품명감향진호박식혜(냉장)","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","정제수","엿기름","찹쌀","설탕","서양호박","","","","","단호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5691","품목보고번호19860443015620","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명갓비움","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","정제수","D-소비톨","유함유가공품","옥수수식이섬유","DL-사과산","","소비톨파우더","락추로스액상, 락추로스리퀴드","","","6","7","8","9","10","11","사과농축액","키위농축액","향료제제","히알루론산","향료제제","비타민혼합제제","풋사과농축액","골드키위농축액","그린향","","트로피칼향","비타프로CEC",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5690","품목보고번호20150375129233","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명강녕아르기닌6200","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","정제수","L-아르지닌","DL-사과산","포도당","효소처리스테비아","","아르기닌","","무수결정포도당","","6","7","8","9","10","11","블루베리향","타우린","오르니틴염산염","L-카르니틴","산화아연","과.채가공품","블루베리향(합성)","","","","","수박과피추출물분말",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5689","품목보고번호2008033218045","업소명주식회사 씨에이치푸드","품목유형혼합음료","유통/소비기한냉장 6개월","제품명강창구 진식혜","분류식품","업체명","주식회사 씨에이치푸드","소재지","경기도 남양주시 오남읍 팔현로175번길 247-30","1","2","3",NA,NA,"엿기름","쌀","설탕",NA,NA,"대맥70%,소맥30%(정제수 혼합)","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5688","품목보고번호2019041307984","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강철부대2 아이온 블루워터","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","설탕","구연산","구연산삼나트륨","정제소금","염화칼륨","","","","","","6","7","8","9","10","11","젖산칼슘","메타인산나트륨","수크랄로스","아세설팜칼륨","식용색소청색제1호","합성향료","","","","","","후르츠믹스향A","12","13","14","합성향료","합성향료","정제수","후르츠믹스향S","시트러스향S",""
"6","번호5687","품목보고번호2019041307985","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강철부대2 아이온워터","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5","설탕","구연산","정제소금","구연산삼나트륨","염화칼륨","","","","","","6","7","8","9","10",NA,"젖산칼슘","합성향료","합성향료","합성향료","정제수",NA,"","자몽향H","자몽향S","시트러스향S","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5686","품목보고번호2020017614716","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강할모니계피생강식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","정제수","엿기름","찹쌀","계피","백설탕","","","","","","6","7","8",NA,NA,NA,"생강","기타설탕","기타설탕",NA,NA,NA,"","비정제사탕수수당","흑설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5685","품목보고번호2020017614724","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강할모니단호박식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","정제수","엿기름","찹쌀","설탕","서양호박","","","","","단호박",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5684","품목보고번호2020017614715","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강할모니보이차식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4","5","정제수","엿기름","찹쌀","설탕","차나무잎","","","","","보이차잎",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5683","품목보고번호2020017614713","업소명함께가는여인들","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명강할모니찹쌀식혜","분류식품","업체명","함께가는여인들","소재지","대구광역시 수성구 국채보상로186길 79(1층 범어동)","1","2","3","4",NA,"정제수","엿기름","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
