"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","성분 및 원료15","비고15"
"1","번호1613","품목보고번호19960458039547","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연은 싱그런 청포도","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","알로에베라겔즙","청포도농축액","혼합제제","혼합제제","구연산","젖산칼슘","비타민C","구연산삼나트륨","젤란검","혼합제제","스테비올배당체","","","","68Brix","청포도향 K-110010","청포도향 1112030","","","","","","치자그린-비에스엘","",NA,NA,NA,NA,NA,NA
"2","번호1612","품목보고번호19960571018625","업소명우일음료","품목유형혼합음료","유통/소비기한1) 합성수지재(PET)포장 제품 : 제조일로부터 1년        2) 병 포장 제품 : 제조일로부터 1년","제품명자연은 싱그런 청포도","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","알로에베라겔즙","백포도농축액","합성향료","합성향료","구연산","젖산칼슘","젤란검","구연산삼나트륨","혼합제제","스테비올배당체","비타민C","","","","백포도청징농축액","청포도향","청포도향","","","","","치자그린-비에스엘","","",NA,NA,NA,NA,NA,NA
"3","번호1611","품목보고번호19960458039368","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연은 아침에 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","알로에베라겔즙","알로에베라겔농축분말","구연산","혼합제제류","혼합제제류","혼합제제류","젖산칼슘","탄산칼슘","젤란검","비타민C","구연산삼나트륨","","","베트남산","100:1 멕시코산","","드링크에센스 K-70188","화이트그레이프에센스","청포도향 FAC-04041","","","","","","14","혼합제제류","",NA,NA,NA
"4","번호1610","품목보고번호19960458039476","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월(내수용) / 제조일로부터 24개월(수출용)","제품명자연은 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","알로에베라겔즙","알로에베라겔농축분말","구연산","혼합제제","혼합제제","혼합제제","젖산칼슘","탄산칼슘","젤란검","비타민C","구연산삼나트륨","","","","200:1","","드링크에센스 K-70188","화이트그레이프에센스","청포도향 FAC-04041","","","","","","14","혼합제제","치자그린-비에스엘","15","스테비올배당체",""
"5","번호1609","품목보고번호19960458039524","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연은 요거 상큼복숭아","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","탈지분유","복숭아농축액","덱스트린","구연산","혼합제제류","혼합제제류","두류가공품","혼합제제류","기타가공품","자주색고구마색소","락색소","","","","70Brix","","","복숭아향 K-120708","복숭아향 1704009","대두다당류(SOYAFIBE S-CA700)","폼크린","LP-5273 100억 유산균배양분말","","","14","효소처리루틴","",NA,NA,NA
"6","번호1608","품목보고번호19960458039550","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연은 요거 새콤파인애플","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","파인애플농축액","탈지분유","구연산","덱스트린","혼합제제","혼합제제","두류가공품","혼합제제","기타가공품","치자황색소","효소처리루틴","","","60Brix","","","","파인애플향 DFI 801018","파인애플향 SC-180134","대두다당류(SOYAFIBE S-CA700)","폼크린","LP-5273 100억 유산균배양분말","치자황색소 100","","14","스테비올배당체","",NA,NA,NA
"7","번호1607","품목보고번호19960458039523","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명자연은 요거 풋풋사과","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","백설탕","탈지분유","사과농축액","덱스트린","구연산","혼합제제류","혼합제제류","두류가공품","치자황색소","혼합제제류","혼합제제류","기타가공품","","","","70Brix","","","청사과향 K-171127","청사과향 TF-35445","대두다당류(SOYAFIBE S-CA700)","","치자그린-비에스엘","폼크린200","LP-5273 100억 유산균배양분말","14","효소처리루틴","","15","스테비올배당체",""
"8","번호1606","품목보고번호19920624042840","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 18개월(PET:12개월,CAN:18개월)","제품명자연은 요거상큼 코코&복숭아","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","과.채가공품","탈지분유","복숭아농축액","덱스트린","구연산","두류가공품","합성향료","합성향료","혼합제제","기타가공품","스테비올배당체","","","나타드코코(베트남산)","","미국산(70Brix)","","결정","대두다당류","복숭아향 K-120708","복숭아향 1704009","폼크린 200","LP 5273 100억 유산균배양분말","",NA,NA,NA,NA,NA,NA
"9","번호1605","품목보고번호19920624042839","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 18개월(PET:12개월,CAN:18개월)","제품명자연은 요거풋풋 코코&사과","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","설탕","과.채가공품","탈지분유","사과농축액","덱스트린","구연산","두류가공품","합성향료","합성향료","혼합제제","기타가공품","스테비올배당체","","","나타드코코(베트남산)","","칠레산(70Brix)","","결정","대두다당류","청사과향 K-171127","청사과향 TF-35445","폼크린 200","LP-5273 100억 유산균배양분말","",NA,NA,NA,NA,NA,NA
"10","번호1604","품목보고번호19960458039378","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한14개월","제품명자연은내사랑알로에10%/Soft drink(ALOE DRlNK10%)","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","5","6","7","8","9","10","11","12","13","알로에베라겔분말","백설탕","구연산","비타민C","탄산칼슘","치자그린","화이트그레이프에센스","알로에베라겔즙액함유절편","데스트린","젖산칼슘","구연산삼나트륨","젤란검","드링크에센스",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","청포도향",NA,"15","정제수",NA
