"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","성분 및 원료1","성분 및 원료2","비고1","비고2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","성분 및 원료10","성분 및 원료11","비고10","비고11","번호12","성분 및 원료12","비고12"
"1","번호1603","품목보고번호2003025701131","업소명(주)아너텍","품목유형혼합음료","유통/소비기한1년","제품명자연의선물","분류식품","업체명","(주)아너텍","소재지","세종특별자치시 금남면 초정길 95","1","2","정제수","타우린","음용수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1602","품목보고번호19890445014374","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명자연이만든가시오가피","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","식품혼합추출액","액상과당",NA,NA,"3","4","5","6","7","8","9","카르복시메틸셀룰로오스나트륨","벌꿀","구연산","녹용추출액","효소처리스테비아","자몽종자추출물","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1601","품목보고번호19890445014373","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명자연이만든마","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","마추출액","식물혼합추출액",NA,NA,"3","4","5","6","7","8","9","이소말토올리고당","액상과당","폴리덱스트로스","펙틴","자몽종자추출물","비타민C","효소처리스테비아",NA,NA,NA,NA,NA,NA,NA,"10","11","마향","정제수",NA,NA,NA,NA,NA
"4","번호1600","품목보고번호19890445014376","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명자연이만든흑마늘","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","흑마늘농축액","식물혼합추출액",NA,NA,"3","4","5","6","7","8","9","액상과당","배농축액","카르복시메틸셀룰로오스나트륨","니코틴산아미드","자몽종자추출물","비카민B","비타민 B6(고시형)",NA,NA,NA,NA,NA,NA,NA,"10",NA,"정제수",NA,NA,NA,NA,NA,NA
"5","번호1599","품목보고번호2021033746714","업소명콩그린식품 2공장","품목유형혼합음료","유통/소비기한냉장보관3개월","제품명자연이음 새싹삼 담은 식혜","분류식품","업체명","콩그린식품 2공장","소재지","경기도 고양시 일산서구 장자길 145(덕이동)","1","2","정제수","백설탕","","","3","4","5",NA,NA,NA,NA,"엿기름","쌀","인삼분말",NA,NA,NA,NA,"","","새싹삼",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1598","품목보고번호20080383904138","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명자연인 윤택 석류진액","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","석류농축액","사과농축액","고형분 60%이상, 터키산","","3","4","5","6","7","8","9","프락토올리고당","구연산","적양배추색소","콜라겐","석류향","비타민C","효소처리스테비아","","","","피쉬콜라겐","","","","10",NA,"정제수",NA,"",NA,NA,NA,NA
"7","번호1597","품목보고번호19860443015204","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월","제품명자연정성 와인 폴리페놀","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","정제수","프락토올리고당","","","3","4","5","6","7","8","9","적포도발효농축액","아로니아농축액","시클로덱스트린시럽","구연산","효소처리스테비아","젤란검","구연산삼나트륨","레드와인농축액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1596","품목보고번호19860443015163","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한24개월  실온","제품명자연정성 흑마늘 발효숙성","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","액상과당","정제수","","","3","4","5","6","7",NA,NA,"시클로덱스트린시럽","구연산","구연산삼나트륨","젤란검","흑마늘추출액",NA,NA,"","","","","발효숙성흑마늘추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1595","품목보고번호2016036832444","업소명토음바이오 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명자연체온 아로니아","분류식품","업체명","토음바이오 주식회사","소재지","경기도 광주시 도척면 도척윗로 660","1","2","아로니아농축액","포도농축액","","적포도농축액","3","4","5","6","7","8","9","아사이팜열매농축액","구연산삼나트륨","효소처리스테비아","비타민C혼합분말","구연산","액상과당","정제수","아사이베리농축액","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1594","품목보고번호200306143071218","업소명(주)젠푸드","품목유형혼합음료","유통/소비기한제조일로부터 18개월까지","제품명자유다방 10,000mg 콜라겐 석류(만미리 콜라겐 석류)","분류식품","업체명","(주)젠푸드","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","정제수","기타 수산물가공품","","액상피쉬콜라겐펩타이드75","3","4","5","6","7","8","9","설탕","석류농축액","구연산","식품첨가물혼합제제","식품첨가물혼합제제","비타민C","히비스커스추출분말","","","","석류향 엠에프-130190","석류향 #4(엠에프-091065)","","","10","11","수크랄로스","히알루론산","","","12","기타가공품","프로라스틴"
