"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","비고1","비고2","비고3","비고4","비고5","번호6","성분 및 원료6","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고7","비고8","비고9","비고10","비고11","비고12","비고13"
"1","번호1513","품목보고번호200502751582","업소명한알식품","품목유형혼합음료","유통/소비기한제조일로부터 3일(냉장 0-10도)","제품명전통식혜","분류식품","업체명","한알식품","소재지","경기도 성남시 중원구 사기막골로 124(상대원동, SK엔테크노파크 비즈쎈터동B201호)","1","2","3","4","5","정제수","엿기름","멥쌀","백설탕","황백당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1512","품목보고번호2013049416636","업소명완주로컬푸드영농조합법인꿈드림","품목유형혼합음료","유통/소비기한6개월","제품명전통식혜","분류식품","업체명","완주로컬푸드영농조합법인꿈드림","소재지","전라북도 완주군 하이1길 52-5","1","2","3","4",NA,"엿기름","생강","백설탕","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1511","품목보고번호20120524080134","업소명농업회사법인유한회사 정 그린","품목유형혼합음료","유통/소비기한36개월","제품명전통식혜","분류식품","업체명","농업회사법인유한회사 정 그린","소재지","전라남도 영암군 덕진면 예향로 1916-57","1","2","3","4","5","엿기름","생강","쌀","백설탕","정제수","국내산","국내산","국내산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1510","품목보고번호2010052806655","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일부터 냉동보관 1년","제품명전통식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","엿기름당화액","생강","정제수","백설탕","쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1509","품목보고번호200502751583","업소명한알식품","품목유형혼합음료","유통/소비기한6개월","제품명전통식혜","분류식품","업체명","한알식품","소재지","경기도 성남시 중원구 사기막골로 124(상대원동, SK엔테크노파크 비즈쎈터동B201호)","1","2","3","4","5","정제수","엿기름","멥쌀","백설탕","황백당",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1508","품목보고번호201605974545","업소명조은팥식품","품목유형혼합음료","유통/소비기한60일","제품명전통식혜","분류식품","업체명","조은팥식품","소재지","경상남도 창원시 마산회원구 양덕천길 64-1(양덕동)","1","2","3","4",NA,"정제수","엿기름","찹쌀","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1507","품목보고번호202206551571","업소명옥경식품 제2공장","품목유형혼합음료","유통/소비기한제조일로부터 50일","제품명전통식혜","분류식품","업체명","옥경식품 제2공장","소재지","충청남도 부여군 장암면 의자로1235번길 167-5","1","2","3","4","5","정제수","엿기름","찹쌀","설탕","멥쌀",NA,NA,NA,NA,NA,"6","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1506","품목보고번호2019057102511","업소명친정농업회사법인(주)","품목유형혼합음료","유통/소비기한제조일로부터 120일","제품명전통식혜 친정","분류식품","업체명","친정농업회사법인(주)","소재지","경상북도 청도군 이서면 각계길 25","1","2","3","4",NA,"엿기름","설탕","정제수","멥쌀",NA,"맥아","","","유기농쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1505","품목보고번호200603682142","업소명삼남매식품","품목유형혼합음료","유통/소비기한제조일로부터12개월(냉동보관)","제품명전통식혜(감주)","분류식품","업체명","삼남매식품","소재지","경기도 광주시 곤지암읍 열미길 141(1층)","1","2","3","4",NA,"엿기름","백설탕","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1504","품목보고번호19970464172339","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명전통쌍화","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","쌍화농축액","기타과당","카라멜색소","구연산","구연산삼나트륨",NA,NA,NA,NA,NA,"6","대추농축액",NA,"7","8","9","10","11","12","13","생강농축액","주정","효소처리스테비아","정제소금","생강향","쌍화향","정제수",NA,NA,NA,NA,NA,NA,NA
