"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호1483","품목보고번호2019041307981","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명정성껏 밥알을걸러 깔끔한 잔치집식혜","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","기타가공품","설탕","생강엑기스","정제수","식혜당화액, Brix 21 이상","","60Brix","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1482","품목보고번호19960458039441","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명정성담은 알로에","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","정제수","백설탕","알로에베라겔즙","알로에베라겔농축분말","","","","100:1(알로에베라겔로서 32%)","5","6","7","8","9","10","11","12","13","14","구연산","젖산칼슘","혼합제제류","혼합제제류","비타민C","혼합제제류","젤란검","구연산삼나트륨","혼합제제류","스테비올배당체","","","드링크 후레바 K-0806081","화이그레이프후레바","","청포도향 FAC-04041","","","그린칼라 K-3526/C",""
"3","번호1481","품목보고번호2022048107943","업소명미네스팩토리","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명정성식혜","분류식품","업체명","미네스팩토리","소재지","경기도 용인시 기흥구 지삼로 153(1층 지곡동)","1","2","3",NA,"정제수","백설탕","추출가공식품",NA,"","","엿기름 추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1480","품목보고번호201803789334","업소명(주)승혜식품","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명정성을 담은 전통 우리집식혜","분류식품","업체명","(주)승혜식품","소재지","경기도 김포시 양촌읍 불당로 54(가동)","1","2","3","4","쌀","엿기름","정제수","백설탕","국내산쌀","국산100%","음용수","100%설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1479","품목보고번호20010515081372","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명정식품 리얼 아몬드","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","기타가공품","자당지방산에스테르","백설탕","젤란검","아몬드액(아몬드고형분 2.1%)","","","","5","6","7","8","9","10","11","12","13",NA,"구연산칼륨","탄산수소나트륨","정제소금","탄산칼슘혼합제제","기타가공품","비타민D3혼합제제","비타민E혼합제제","아몬드향","덱스트린",NA,"","","","","시트러스화이버","","","","",NA
"6","번호1478","품목보고번호20010515081373","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명정식품 리얼 월넛","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","기타가공품","덱스트린","백설탕","탄산칼슘혼합제제","월넛액 (호두고형분 1.9%)","","","액상탄산칼슘 혼합제제","5","6","7","8","9","10","11","12","13",NA,"자당지방산에스테르","구연산칼륨","정제소금","탄산수소나트륨","젤란검","비타민E혼합제제","비타민D3혼합제제","호두향","정제수",NA,"","","","","LT-100","","","","",NA
"7","번호1477","품목보고번호20010515081374","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명정식품 리얼 코코넛","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","과.채가공품","백설탕","자당지방산에스테르","젤란검","코코넛밀크(고형분 15.7%)","","","","5","6","7","8","9","10",NA,NA,NA,NA,"정제소금","탄산칼슘혼합제제","비타민D3혼합제제","비타민E혼합제제","합성향료","정제수",NA,NA,NA,NA,"","","","","코코넛향","",NA,NA,NA,NA
"8","번호1476","품목보고번호20010515081380","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명정식품 정성담은 수정과","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","계피추출액","백설탕","기타설탕","생강농축액","","","흑설탕","","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"곶감농축액","탄산수소나트륨",NA,NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1475","품목보고번호20010515081381","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 7개월","제품명정식품 정성담은 식혜","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","멥쌀","기타추출액","백설탕","생강농축액","","엿기름추출액","","","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1474","품목보고번호20200614083115","업소명(주)정옥","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명정옥 엄마의 숭늉","분류식품","업체명","(주)정옥","소재지","경상남도 하동군 진교면 관곡송림길 8","1","2",NA,NA,"정제수","멥쌀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
