"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14"
"1","번호1413","품목보고번호20070443110357","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한제조일로부터 9개월","제품명제주말차라떼","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","13","14","고형차","설탕","우유","탈지분유","유크림","글리세린지방산에스테르","자당지방산에스테르","젤란검","잔탄검","L-아스코브산나트륨","탄산수소나트륨","혼합제제","밀크향","정제수","","","","","","Almax-2700","","","","","","말차향","밀크향",""
"2","번호1412","품목보고번호201906218111","업소명메리앤제주","품목유형혼합음료","유통/소비기한제조일로부터1년","제품명제주메리식혜","분류식품","업체명","메리앤제주","소재지","제주특별자치도 제주시 성신로2길 21(연동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","설탕","멥쌀","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1411","품목보고번호2013062801950","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주미인 바라수200","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1410","품목보고번호20130628019104","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주바네수","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1409","품목보고번호2007062810159","업소명(재)제주테크노파크 바이오융합센터1","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주사랑감귤후레쉬","분류식품","업체명","(재)제주테크노파크 바이오융합센터1","소재지","제주특별자치도 제주시 제주대학로 102(공장A동동 B102호 아라일동, 바이오융합센터2호관 기업지원동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,"감귤농축액","백설탕","비타민C","구연산","감귤향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,"60brix, (과즙으로 8.6%)","","","","","",NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1408","품목보고번호200906313481","업소명주식회사 제주산소수","품목유형혼합음료","유통/소비기한제조일로부터 12개월까지","제품명제주산소수","분류식품","업체명","주식회사 제주산소수","소재지","제주특별자치도 서귀포시 표선면 가마행남로 13","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","산소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1407","품목보고번호2011062755964","업소명(재)제주테크노파크 바이오융합센터","품목유형혼합음료","유통/소비기한12개월","제품명제주섬감귤사랑","분류식품","업체명","(재)제주테크노파크 바이오융합센터","소재지","제주특별자치도 제주시 제주대학로 102(공장A동 B102호 아라일동, 바이오융합센터2호관 기업지원동)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"감귤농축액","효소처리스테비아","올리고당","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1406","품목보고번호2013062801988","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주용암수","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1405","품목보고번호2013062801966","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주용암수 M100","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1404","품목보고번호2013062801949","업소명주식회사 제이크리에이션","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명제주용암수 M200","분류식품","업체명","주식회사 제이크리에이션","소재지","제주특별자치도 제주시 구좌읍 일주동로 2706-33(1~2층)","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","수산화칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
