"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","성분 및 원료10","비고10","번호11","성분 및 원료11","비고11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28"
"1","번호1313","품목보고번호20130445054185","업소명(주)에스디생명공학 건강식품사업부문","품목유형혼합음료","유통/소비기한제조일부터 12개월 까지","제품명진잎새버섯","분류식품","업체명","(주)에스디생명공학 건강식품사업부문","소재지","충청북도 음성군 원남면 원남산단로 111","1","2","3","4","5","6","7","8","9","정제수","프락토올리고당","이소말토올리고당","당류가공품","대보농축액","잎새버섯자실체농축액","오디농축액","구연산","홍삼농축액(고시형)","","","","코코넛슈가","","잎새버섯농축액","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1312","품목보고번호19860443015524","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진저샷","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7",NA,NA,"생강주스","사과농축액","벌꿀","레몬농축액","타우린","황금혼합추출물","정제수",NA,NA,"NFC생강착즙액","","","","","복합황금추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1311","품목보고번호2017055519563","업소명농업회사법인(주)동서웰빙(도동공장)","품목유형혼합음료","유통/소비기한제조일로부터24개월","제품명진저향레몬에이드","분류식품","업체명","농업회사법인(주)동서웰빙(도동공장)","소재지","경상북도 영천시 도동구역길 71-10(도동)","1","2","3","4","5","6","7","8","9","정제수","백설탕","레몬농축액","구연산","천연향료(Lemon)","비타민C","천연향료(Ginger)","구연산삼나트륨","수크랄로스",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10","식용색소황색제4호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1310","품목보고번호2011061812180","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명진짜 맛있는 곤약젤리 깔라만시","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","정제수","에리스리톨","칼라만시원액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","구연산삼나트륨","구연산","","","깔라만시원액(함량100%)","","","","","","","10","합성향료","오렌지향","11","수크랄로스","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1309","품목보고번호2011061812181","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명진짜 맛있는 곤약젤리 복숭아","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","정제수","에리스리톨","복숭아농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","","","함량100%","","","","","","","10","합성향료","복숭아향","11","수크랄로스","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1308","품목보고번호2011061812178","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명진짜 맛있는 곤약젤리 사과","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","정제수","에리스리톨","사과농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","","","청사과농축액(함량100%)","","","","","","","10","합성향료","사과향","11","수크랄로스","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1307","품목보고번호2011061812179","업소명농업회사법인 우포의아침 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명진짜 맛있는 곤약젤리 포도","분류식품","업체명","농업회사법인 우포의아침 주식회사","소재지","경상남도 창녕군 대지면 대지농공단지길 40","1","2","3","4","5","6","7","8","9","정제수","에리스리톨","포도농축액","혼합제제","치커리뿌리추출물","폴리덱스트로스","효소처리스테비아","젖산칼슘","구연산","","","적포도농축액(함량100%)","","","","","","","10","합성향료","청포도향","11","수크랄로스","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1306","품목보고번호20040275056504","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명진짜 맛있는 노니","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","8",NA,"과채주스","정제수","망고농축퓌레","효소처리스테비아","과일채소혼합분말","생선콜라겐","기타가공품","스피루리나분말",NA,"노니착즙액","","","","","피쉬콜라겐","새싹보리분말","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1305","품목보고번호19980355336412","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진커큐민365","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3",NA,NA,NA,NA,NA,NA,"정제수","비타민C","강황추출액",NA,NA,NA,NA,NA,NA,"","","커큐민 12%",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1304","품목보고번호19970464172309","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명진피파워","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","감귤류껍질추출물분말","기타과당","배농축액","사철쑥농축액","대추농축액","밀크씨슬추출물","헛개나무열매농축액","보검선인장열매농축","사양벌꿀","진피추출분말","","","인진쑥농축액","","","","백년초농축액","","10","L-아스파라진","","11","타우린","","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","구연산","구연산삼나트륨","비타민 B1염산염(고시형)","비타민B2","니코틴산아미드(고시형)","판토텐산칼슘","비타민B6염산염","엽산(고시형)","비타민 B12(고시형)","산화아연","황산마그네슘","효소처리스테비아","L-이소로이신","L-로이신","L-발린","복숭아향","정제수","","","","","","","","","","","","","BCAA","BCAA","BCAA","",""
