"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25"
"1","번호6087","품목보고번호1996061705325","업소명동아오츠카(주)","품목유형혼합음료","유통/소비기한캔 제품 : 제조일로부터 24개월, 합성수지재포장 제품 : 제조일로부터 12개월","제품명Bacchus Sugar Free(필리핀)","분류식품","업체명","동아오츠카(주)","소재지","경상남도 함안군 칠서면 공단서길 18","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","말티톨","타우린","생로얄젤리추출액","인삼농축액","L-라이신염산염","이노시톨","니코틴산아미드","비타민B1질산염","비타민B2","인산에스테르나트륨","비타민B6염산염","카페인(무수)","정제소금","안식향산나트륨","구연산(무수)","오렌지에센스","오렌지향","파인애플엣센스","파인애플향","딸기에센스","딸기향","수크랄로스","아세설팜칼륨","주정","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호6086","품목보고번호20180491044185","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명CAFE GET 바닐라향라떼 시럽","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","백설탕","혼합분유","폴리인산나트륨","정제소금","자당지방산에스테르","수크랄로스","바닐라향","밀크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가공전지분 아이(I)","","스킴 밀크 프리퍼레이션-에스엠피 8515","용도:산도조절제","","","주용도:감미료","바닐라향 HF-3111114","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호6085","품목보고번호20180491044184","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명CAFE GET 카페라떼 시럽","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"기타가공품","백설탕","혼합분유","폴리인산나트륨","정제소금","자당지방산에스테르","수크랄로스","밀크향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"가공전지분 아이(I)","","스킴 밀크 프리퍼레이션-에스엠피 8515","용도:산도조절제","","","주용도:감미료","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호6084","품목보고번호198506140552196","업소명(주)엠에스씨(MSC)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명CAFE MORE 레몬녹차","분류식품","업체명","(주)엠에스씨(MSC)","소재지","경상남도 양산시 소주회야로 45-73(소주동)","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"녹차농축액","백설탕","구연산","폴리덱스트로스","구연산삼나트륨","비타민C","홍화황색소-200","수크랄로스","정제수","레몬주스농축액","식품첨가물혼합제제","식품첨가물혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","","","","","레몬향 엠에프-080182","녹차향 엠에프-080183",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호6083","품목보고번호2019008436424","업소명(주)휴버트","품목유형혼합음료","유통/소비기한제조일로 부터 36개월","제품명CARCIO365","분류식품","업체명","(주)휴버트","소재지","경기도 화성시 동탄순환대로 823(에이팩시티 3층 319호 영천동)","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","필리핀레몬열매농축액","산호분말","패각분말","스테비아추출물","분말비타민D3혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호6082","품목보고번호19920624042472","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명CHIVERA NATADECOCO","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"유카","퀼라야","나타드코코","알로에분말","차추출물","액상과당","구연산","안식향산나트륨","젖산칼슘","청포도향","드링크향","폴리덱스트로스","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호6081","품목보고번호19920624042261","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 36개월","제품명CHIVERAPLUS","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍삼농축액","유카농축액","알로에분말","차추출물","액상과당","폴리덱스트로스","구연산","비타민C","젖산칼슘","카라멜색소BA","허브향","허브향","드링크향","영지농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호6080","품목보고번호19920624042879","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명CLOOP 애플 워터","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","천연향료","혼합제제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","천연사과향","사과향(프로필렌글리콜,합성향료,주정등)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호6079","품목보고번호19920624042869","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명CLOOP 워터","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","탄산칼륨(무수)","글루콘산마그네슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호6078","품목보고번호19920624042880","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명CLOOP 피치 워터","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","천연향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","천연복숭아향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
