"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","번호28","번호29","번호30","번호31","번호32","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","성분 및 원료28","성분 및 원료29","성분 및 원료30","성분 및 원료31","성분 및 원료32","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27","비고28","비고29","비고30","비고31","비고32"
"1","번호5642","품목보고번호19780368002378","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔-12개월,펫-12개월","제품명게토레이블루볼트","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","게토레이원액A","게토레이원액B","게토레이원액C","게토레이원액D","백설탕","함수결정포도당","구연산(무수)","식용색소청색제1호","정제수","Beverage Base","구연산삼나트륨","정제소금","제일인산칼륨","Cool Blue Raspberry 93504","프로필렌글리콜","정제수","라즈베리추출물","젖산","말톨","합성착향료(Acetaldehyde)","Cloud Component","정제수","프로필렌글리콜20","변성전분","글리세린지방산에스테르","자당지방산에스테르","구연산","Coffe Flavor","정제수","커피추출","프로필렌글리콜","구연산",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5641","품목보고번호20000360372152","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월","제품명게토레이블루볼트","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"구연산(무수)","식용색소청색제1호","정제수","혼합제제류","혼합제제류","혼합제제류","혼합제제류","분말결정포도당","백설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","Beverage base 07037*18*01G","Cool Blue Raspberry 93504*10","Cloud Component 94646*01*02D","Coffe Flavor 20542*11*02K","함수결정포도당","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5640","품목보고번호19930242053272","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월(캔), 12개월(PET)","제품명게토레이블루볼트","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제","혼합제제","혼합제제","혼합제제","설탕","분말결정포도당","구연산(무수)","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"게토레이원액A","게토레이원액B","게토레이원액C","게토레이원액D","","함수결정포도당","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5639","품목보고번호19780368002396","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월(실온)","제품명게토레이오렌지향","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 광주시 양벌로 257","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","함수결정포도당","구연산(무수)","혼합제제","혼합제제","혼합제제","식용색소황색제5호",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","게토레이원액[C] Orange Flavor","게토레이원액[A] Beverage Base","게토레이원액[B] Cloud Component","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5638","품목보고번호19780614001330","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명게토레이오렌지향","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제","혼합제제","혼합제제","설탕","분말결정포도당","구연산(무수)","식용색소황색제5호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"게토레이원액A","게토레이원액B","게토레이원액C","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5637","품목보고번호19930242053421","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한캔,펫 : 제조일로부터 12개월","제품명게토레이오렌지향","분류식품","업체명","롯데칠성음료(주)","소재지","대전광역시 대덕구 문평서로 57(문평동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제","혼합제제","혼합제제","백설탕","분말결정포도당","구연산(무수)","식용색소황색제5호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"게토레이원액A","게토레이원액B","게토레이원액C","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5636","품목보고번호20000360372315","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명게토레이오렌지향","분류식품","업체명","롯데칠성음료(주)","소재지","경기도 안성시 미양면 제2공단1길 17","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"혼합제제","혼합제제","혼합제제","백설탕","분말결정포도당","구연산","식용색소황색제5호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"게토레이원액A","게토레이원액B","게토레이원액C","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5635","품목보고번호19780614001348","업소명롯데칠성음료(주)","품목유형혼합음료","유통/소비기한12개월(실온보관)","제품명게토레이화이트스플래시","분류식품","업체명","롯데칠성음료(주)","소재지","경상남도 양산시 북정공단1길 28(북정동)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"게토레이원액A","게토레이원액B","게토레이원액C","백설탕","함수결정포도당","구연산","인산","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5634","품목보고번호1997046417242","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명경남 산삼배양근","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"홍삼농축액","대추농축액","숙지황농축액","당귀농축액","안식향산나트륨","제재소금","허브향","정제수","산삼배양근추출액","계피농축액","영지엑기스","액상과당","구연산","구연산삼나트륨","카라멜색소",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5633","품목보고번호1997046417241","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명경남 헛개모닝해피타임","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"액상과당","L-아스파라긴","헛개나무농축액","칡꽃엑기스","대추엑기스","감초엑기스","타우린","구연산","구연산삼나트륨","비타민B1염산염","비타민B2","니코틴산아미드","카라멜색소","안식향산나트륨","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
