"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","번호14","번호15","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고12","비고13","비고14","비고15"
"1","번호1097","품목보고번호20180491044112","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페드롭탑 복숭아 아이스티","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","정제수","백설탕","복숭아향","복숭아향","복숭아농축액","구연산","비타민C","구연산삼나트륨","수크랄로스","자주색고구마색소","β-카로틴","","","#3(FC-14321)","#2(FC-14214)","이스라엘산/복숭아100%","함수구연산/주용도:산도조절제","","주용도:산도조절제","주용도:감미료","자주색고구마색소DS","베타카로틴-엘#170417",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1096","품목보고번호20180491044111","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페드롭탑 애플망고 에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9",NA,NA,"정제수","백설탕","과.채가공품","구연산","합성향료","구연산삼나트륨","비타민C","혼합제제","수크랄로스",NA,NA,"","","애플망고퓨레,15Brix,인도산","함수구연산","망고향#6 FC-17620","","","베타카로틴-엘","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1095","품목보고번호20000614238509","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페드롭탑 애플망고 에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","과.채가공품","설탕","구연산","수크랄로스","아세설팜칼륨","구연산삼나트륨","비타민C","혼합제제","식용색소황색제4호","식용색소황색제5호","정제수","애플망고퓨레","","","","","","","프로필렌글리콜,주정,합성향료,트리아세틴,천연향료","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1094","품목보고번호20180491044110","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페드롭탑 청포도 에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","백설탕","과.채가공품류","구연산","혼합제제","구연산삼나트륨","비타민C","혼합제제","식품첨가물혼합제제","수크랄로스",NA,"","","백포도농축액(68Br,칠레산)","함수구연산(중국산)","청포도향#7(FC-26703)","구연산Na","","청포도향#4(FC-26408)","그린칼라 AF7","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1093","품목보고번호20000614238510","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페드롭탑 청포도 에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","8","9","10","11","청포도농축액","설탕","구연산삼나트륨","구연산","비타민C","합성향료","수크랄로스","아세설팜칼륨","식용색소황색제4호","식용색소청색제1호","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1092","품목보고번호19890445014803","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12개월","제품명카페라떼 시럽","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","액상과당","설탕","정제소금","합성향료","합성향료","합성향료","식물성 경화유 혼합","혼합분유","수크랄로스","자당지방산에스테르","덱스트린","","","","연유향","커피향","바닐라향","삼익우유성분함유크리머1","혼합탈지분유","","S-570","말토덱스트린","12","13","14","15","탄산수소나트륨","정제수","자당지방산에스테르","안식향산나트륨","","","P-1670",""
"7","번호1091","품목보고번호2018049104454","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페로와 레몬에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","레몬농축액","구연산","덱스트린","합성향료","구연산삼나트륨","합성향료","합성향료","수크랄로스","식용색소청색제1호","","","65Brix,이스라엘산","산도조절제","말토덱스트린","레몬향","산도조절제","라임향","시트러스향","감미료","착색제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호1090","품목보고번호2018049104453","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페로와 복숭아아이스티","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10",NA,"정제수","설탕","복숭아농축액","구연산","합성향료","홍차분말","맥아추출물분말","합성향료","비타민C","수크랄로스",NA,"","","68Brix,이스라엘산","산도조절제","복숭아향","칠레산","말트익스트렉트","홍차향","","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1089","품목보고번호2018049104456","업소명주식회사 연두","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페로와 블루베리에이드","분류식품","업체명","주식회사 연두","소재지","전라북도 익산시 함열읍 익산대로78길 145-28(주연두)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","블루베리농축액","포도농축액","구연산","합성향료","구연산삼나트륨","합성향료","수크랄로스","식용색소적색제40호","식용색소청색제1호","","","67Brix,미국산","적포도농축액,68Brix,칠레산","산도조절제","블루베리향","산도조절제","포도향","감미료","착색제","착색제",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1088","품목보고번호20050555180642","업소명농업회사법인(주)동서웰빙","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명카페모아 복숭아 아이스티","분류식품","업체명","농업회사법인(주)동서웰빙","소재지","경상북도 영천시 산업단지로 164(본촌동)","1","2","3","4","5","6","7","8","9","10","11","정제수","설탕","복숭아농축액","구연산","복숭아향","홍차향","홍차분말","물엿","구연산삼나트륨","수크랄로스","비타민C","","","","함수구연산","합성향료","혼합제제","","말트익스트렉트","구연산나트륨","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
