"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","비고1","비고2","비고3","비고4","비고5","비고6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","성분 및 원료20","비고20","번호21","번호22","번호23","번호24","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","비고21","비고22","비고23","비고24"
"1","번호1057","품목보고번호2010052806662","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관 1년","제품명커큐민식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6","강황추출액","엿기름당화액","설탕","생강","쌀","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1056","품목보고번호2010052806670","업소명농업회사법인 산들래 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 냉동보관1년","제품명커큐민식혜","분류식품","업체명","농업회사법인 산들래 주식회사","소재지","전라남도 장성군 동화면 동화로 496-9","1","2","3","4","5","6","강황추출액","쌀","엿기름당화액","정제수","생강","설탕","","유기농","유기농","","유기농","유기농",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1055","품목보고번호19970570162358","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명컨디션 레이디","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","기타과당","백설탕","쌀배아혼합추출물발효","타우린","헛개나무열매추출농축액","베타인","","","미배아발효추출물에스","","","","7","8","9","10","11","12","13","14","15","16","17","18","19","혼합제제","구연산(무수)","기타가공품","합성향료","DL-사과산","DL-알라닌","기타가공품","니코틴산아미드","비타민C","구연산삼나트륨","혼합허브추출물","히알루론산","정제수","효모추출물혼합분말","","자리추출물분말","믹스후르츠향 1307390","","","황기로터스추출물분말","","","","복합허브추출물C","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1054","품목보고번호19800538053120","업소명(주)창성","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명컨디션 레이디","분류식품","업체명","(주)창성","소재지","경상북도 경주시 공단로 73(황성동)","1","2","3","4","5","6","기타과당","백설탕","타우린","헛개나무열매추출농축액","혼합제제","기타가공품","","","","","","자리추출물분말","7","8","9","10","11","12","13","14","15","16","17","18","19","구연산","정제수","DL-사과산","DL-알라닌","베타인","비타민C","니코틴산아미드","히알루론산","구연산삼나트륨","믹스후르츠향1307390","기타가공품","곡류가공품","기타가공품","","","","","","","","","","","황기로터스추출물분말","미배아발효추출물에스","복합허브추출물C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1053","품목보고번호19800538053117","업소명(주)창성","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명컨디션 헛개","분류식품","업체명","(주)창성","소재지","경상북도 경주시 공단로 73(황성동)","1","2","3","4","5","6","기타과당","백설탕","타우린","헛개나무열매추출농축액","기타가공품","DL- 사과산","","","","","자리추출물분말","","7","8","9","10","11","12","13","14","15","16","17","18","19","DL-알라닌","니코틴산아미드","구연산삼나트륨","정제수","혼합과일향","벌꿀향","곡류가공품","기타가공품","구연산(무수)","혼합과일향","기타가공품","소스","혼합제제","","","","","SK-G","","미배아발효추출물에스","황기로터스추출물분말","","SK-H","복합허브추출물C","컨디션혼합농축액(귤나무열매껍질,모창출뿌리줄기,감초뿌리,생강,정제수)","혼합제제1","20","혼합제제","혼합제제2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1052","품목보고번호19800538053127","업소명(주)창성","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명컨디션 헛개플러스","분류식품","업체명","(주)창성","소재지","경상북도 경주시 공단로 73(황성동)","1","2","3","4","5","6","액상과당","백설탕","타우린","곡류가공품","헛개나무열매추출농축액","소스","","","","미배아발효추출물에스","","컨디션농축액","7","8","9","10","11","12","13","14","15","16","17","18","19","구연산(무수)","기타가공품","기타가공품","기타가공품","DL-사과산","DL-알라닌","니코틴산아미드","구연산삼나트륨","기타가공품","혼합과일향","혼합과일향","벌꿀향","정제수","","효모추출물혼합분물","자리추출분말","황기로터스추출물분말","","","","","복합허브추출물C","SK-H","SK-G","SK-G","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1051","품목보고번호19970570162331","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한2년","제품명컨디션씨이오","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","프락토올리고당","기타과당","타우린","헛개나무열매추출농축액","쌀배아혼합추출물발효","보리순분말","","스위트로-P100","","","미배아발효추출물","새싹보리추출분말","7","8","9","10","11","12","13","14","15","16","17","18","19","보검선인장추출물분말","월계수잎분말","구연산(무수)","스위트체스트넛로즈열매","DL-사과산","향료제제","기타가공품","DL-알라닌","향료","향료제제","잔탄검","니코틴산아미드","구연산삼나트륨","선인장열매추출물분말","월계수잎추출분말","","자리추출물분말","","믹스후르츠향 SK-G9077","황기로터스추출물분말","","벌꿀향 SK-G8983","믹스후르츠향 SK-G9078","","","","20","혼합제제","드링크향8 HF-316800","21","22","23","24","혼합제제","혼합제제","기타가공품","정제수","혼합제제1(말토덱스트린, 효모추출물, 이산화규소)","혼합제제2(효모추출물, 말토덱스트린, 합성향료, 이산화규소)","복합허브추출물C",""
"8","번호1050","품목보고번호19970570162333","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명컨디션헛개","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","기타과당","설탕","타우린","쌀배아혼합추출물발효","헛개나무열매추출농축액","기타가공품","액상과당","백설탕","","미배아발효추출물(5X)","","컨디션혼합농축액","7","8","9","10","11","12","13","14","15","16","17","18","19","구연산(무수)","스위트체스트넛로즈열매","기타가공품","혼합과일향","DL-알라닌","DL-사과산","혼합과일향","벌꿀향","니코틴산아미드","구연산삼나트륨","기타가공품","정제수","혼합제제","","자리추출분말","황기로터스추출분말","합성향료 SK-H3835","","","합성향료 SK-G5295","합성향료 SK-H3532","","","복합허브추출물C","","혼합제제1(말토덱스트린, 효모추출물, 이산화규소)","20","혼합제제","혼합제제2(효모추출물, 말토덱스트린, 합성향료, 이산화규소)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1049","품목보고번호20040275056751","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명컨트롤 브이","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","정제수","L-아르지닌","구연산","프락토올리고당","라즈베리농축액","글루콘산칼륨","","","함수구연산","","라즈베리착즙농축액","","7","8","9","10","11","12","13","14","15","16","17","18",NA,"효소처리스테비아","블랙베리농축액","블루베리농축액","히비스커스농축액","기타가공품","오르니틴염산염","시클로덱스트린","아로니아농축액","생선콜라겐","황금혼합추출물","산화아연","마카추출분말",NA,"스테비텐후레쉬","","","히비스커스주스농축액","수박과피추출물분말","","감마시클로덱스트린","","저분자피쉬콜라겐","복합황금추출물","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1048","품목보고번호20090517030117","업소명쿱푸드시스템 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 6개월","제품명컵수정과","분류식품","업체명","쿱푸드시스템 주식회사","소재지","전라남도 구례군 용방면 용산로 107-74","1","2","3","4","5","6","정제수","설탕","생강","계피","곶감","기타가공품","해양심층수","유기농 흑설탕","","","","감초농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
