"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","비고1","비고2","비고3","비고4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","비고5","비고6","비고7","비고8","비고9","비고10","비고11","번호12","번호13","성분 및 원료12","성분 및 원료13","비고12","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","번호17","성분 및 원료15","성분 및 원료16","성분 및 원료17","비고15","비고16","비고17"
"1","번호1017","품목보고번호19740344001159","업소명한국 코카콜라 유한회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코카콜라제로 원제 제2C부","분류식품","업체명","한국 코카콜라 유한회사","소재지","경기도 의왕시 고천공업로 5(고천동)","1","2","3","4","천연착향료","정제수","천연착향료","천연착향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호1016","품목보고번호19920624042791","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명코코리치 포도","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","정제수","과.채가공품","설탕","과.채가공품","","코코넛젤리시럽(베트남산)","","백포도청징농축액(스페인산)","5","6","7","8","9","10","11","구연산","합성향료","구연산삼나트륨","합성향료","비타민C","수크랄로스","아세설팜칼륨","결정","포도향2","","포도향1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호1015","품목보고번호19960571018596","업소명우일음료","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명코코리치포도","분류식품","업체명","우일음료","소재지","경상북도 예천군 예천읍 농공단지길 9","1","2","3","4","백포도농축액","코코넛시럽","설탕","구연산","백포도청징농축액","","","","5","6","7","8","9","10","11","구연산삼나트륨","수크랄로스","아세설팜칼륨","비타민C","합성향료","합성향료","정제수","","","","","포도향 1","포도향 2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호1014","품목보고번호19960458039353","업소명웅진식품(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코코몽 딸기","분류식품","업체명","웅진식품(주)","소재지","충청남도 공주시 유구읍 유구마곡사로 136-24(,662)","1","2","3","4","딸기농축액","사과농축액","백설탕","젖산칼슘","65Brix","70Brix","","","5","6","7","8","9","10","11","구연산","구연산삼나트륨","비타민C","수크랄로스","산화아연","정제수","이소말토올리고당","","","","","","","","12","13","프락토올리고당","합성향료","","딸기향 SC-121142",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호1013","품목보고번호19920624042775","업소명(주)상일","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코코불리 깔라만시맛","분류식품","업체명","(주)상일","소재지","경상남도 거창군 웅양면 웅양로 1215-30","1","2","3","4","정제수","과.채가공품","과.채가공품","에리스리톨","","나타드코코(베트남산) 코코넛젤리:80%,슈가시럽:20%","깔라만시엑기스(필리핀산)","","5","6","7","8","9","10","11","구연산(무수)","DL-사과산","천연감귤향","천연감귤향","비타민C","수크랄로스","홍화황색소","","","SJN-1283","SJN-1279","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호1012","품목보고번호20070443110691","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명코코뿌요 복숭아맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","과.채가공품","기타과당","설탕","과.채가공품","나타드코코","","","복숭아농축액","5","6","7","8","9","10","11","구연산","구연산삼나트륨","젖산칼슘","젤란검","식용색소적색제40호","식용색소황색제5호","혼합제제","","","","","","","시트러스향 S-","12","13","향료","향료","복숭아향 SK-","복숭아향 21-","14","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호1011","품목보고번호20070443110692","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명코코뿌요 애플망고맛","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","과.채가공품","기타과당","설탕","과.채가공품","나타드코코","","","애플망고혼합농축액H","5","6","7","8","9","10","11","구연산","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","아세설팜칼륨","식용색소황색제5호","","","","","","","","12","13","식용색소황색제4호","혼합제제","","시트러스향 S-","14","향료","애플망고향 A-","15","16","17","향료","향료","정제수","애플망고향 22-","애플망고향 21-",""
"8","번호1010","품목보고번호20100543066597","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한12개월","제품명코코팜 라이트 포도","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","당시럽","과.채가공품","백포도농축액","","","나타드코코(나타드코코 젤리(베트남산)80%, 설탕, 정제수, 구연산","미국산, 배합함량: 포도 100%, 포도과즙으로 환원기준 3%","5","6","7","8","9","10",NA,"구연산","합성향료","구연산삼나트륨","비타민C","아세설팜칼륨","수크랄로스",NA,"","포도향","","","감미료","감미료",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호1009","품목보고번호20100543066596","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한PET: 12개월,  CAN: 24개월","제품명코코팜 포도","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","정제수","당시럽","과.채가공품","청포도농축과즙","","","나타드코코(나타드코코 젤리(베트남산)80%, 설탕, 정제수, 구연산)","미국산, 배합함량: 청포도99.9%, 청포도과즙으로 환원기준 3%","5","6","7","8",NA,NA,NA,"합성향료","구연산","구연산삼나트륨","비타민C",NA,NA,NA,"포도향","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호1008","품목보고번호20030473071270","업소명건강한사람들 주식회사 2사업장","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명코코팜 포도","분류식품","업체명","건강한사람들 주식회사 2사업장","소재지","충청남도 홍성군 결성면 만해로230번길 11","1","2","3","4","정제수","당시럽","청포도농축과즙","과.채가공품","","67% 고형분","68 Brix","나타드코코(나타드 코코 젤리80%, 백설탕, 정제수, 구연산)","5","6",NA,NA,NA,NA,NA,"식품첨가물혼합제제","음료베이스",NA,NA,NA,NA,NA,"코코팜 포도 원제 제1A부(구연산, 구연산삼나트륨, 비타민C)","코코팜 포도 원제 제2부(합성향료(포도향))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
