"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15","번호16","번호17","번호18","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고16","비고17","비고18"
"1","번호5622","품목보고번호2017062863052","업소명(주)진산비버리지","품목유형혼합음료","유통/소비기한제조일로부터 1년","제품명고고단 프로틴 드링크 초코맛","분류식품","업체명","(주)진산비버리지","소재지","제주특별자치도 제주시 조천읍 남조로3길 13","1","2","3","4","5","6","7","8","9","10","11","12","분리유단백분말","탈지분유분말","당류가공품","코코아분말","혼합제제","초코향","밀크향","귀리식이섬유","해조칼슘","젤란검","수크랄로스","정제수","","","비정제 사탕수수당","","BCAA","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5621","품목보고번호20140395066234","업소명주식회사 초록에프앤비(F&B)","품목유형혼합음료","유통/소비기한12개월","제품명고구마 곤약젤리","분류식품","업체명","주식회사 초록에프앤비(F&B)","소재지","강원도 횡성군 공근면 아이티밸리길 101","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","고구마농축액","곤약분말","혼합제제","구연산삼나트륨","구연산","고구마향","수크랄로스","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5620","품목보고번호2012009416213","업소명이지푸드","품목유형혼합음료","유통/소비기한45일","제품명고구마 한잔","분류식품","업체명","이지푸드","소재지","서울특별시 관악구 봉천로6길 55(신림동, 지하)","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,"고구마","원유","정제수","벌꿀",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5619","품목보고번호201805270593","업소명맛뜨락 영농조합법인","품목유형혼합음료","유통/소비기한100일","제품명고구마식혜","분류식품","업체명","맛뜨락 영농조합법인","소재지","전라남도 해남군 옥천면 해강로 306","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,"쌀","자색고구마","정제수","엿기름","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호5618","품목보고번호20080383904123","업소명고려인삼주식회사","품목유형혼합음료","유통/소비기한12개월","제품명고려비타골드","분류식품","업체명","고려인삼주식회사","소재지","강원도 원주시 문막읍 문막공단길 226","1","2","3","4","5","6","7","8","9","10","11","12","사과농축액","액상과당","비타민 C(고시형)","구연산","구연산삼나트륨","L-카르니틴","비타민B2","타우린","오렌지엑기스","니코틴산아미드","판토텐산칼슘","효소처리스테비아","국산, 72Brix","","","","","","","","미국, 65Brix","","","","13","14","15","드링크향","황금복합추출물","정제수","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5617","품목보고번호19980355336284","업소명고려인삼과학(주)","품목유형혼합음료","유통/소비기한제조일부터 24개월까지","제품명고려영지골드","분류식품","업체명","고려인삼과학(주)","소재지","경기도 파주시 법원읍 술이홀로 1145(225-2)","1","2","3","4","5","6","7","8",NA,NA,NA,NA,"영지농축액","사과농축액","액상과당","카라멜색소","스테비올배당체","합성보존료","합성착향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호5616","품목보고번호19970443044271","업소명(주)다정","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명고려영지홍삼음(Korean Linhzhi Red Ginseng Drink)","분류식품","업체명","(주)다정","소재지","충청북도 진천군 이월면 장수로 371","1","2","3","4","5","6","7","8","9",NA,NA,NA,"홍삼농축액","백설탕","당시럽","대추농축액","사양벌꿀","구연산","비타민 C(고시형)","정제소금","식물혼합추출액",NA,NA,NA,"","정백당","슈가시럽","","","함수구연산","","정제염","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5615","품목보고번호2017031167612","업소명고려은단 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명고려은단 발효도라지","분류식품","업체명","고려은단 주식회사","소재지","경기도 안산시 단원구 해봉로273번길 33(신길동)","1","2","3","4","5","6","7","8","9","10",NA,NA,"도라지농축액","정제수","배농축액","모과농축액","덱스트린","식물혼합추출물","사양벌꿀","대추농축액","생강농축액","비타민C",NA,NA,"","","","","","도라지등복합발효농축액","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5614","품목보고번호2017031167615","업소명고려은단 주식회사","품목유형혼합음료","유통/소비기한내수용 : 제조일로부터 12개월 / 수출용 : 제조일로부터 24개월","제품명고려은단 비타민C 1000 플러스","분류식품","업체명","고려은단 주식회사","소재지","경기도 안산시 단원구 해봉로273번길 33(신길동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","비타민C","타우린","오렌지향","사과농축액","구연산(무수)","구연산삼나트륨","효소처리스테비아","정제소금","오렌지농축액","비타민B2","","","","","합성향료","","","","","","","","13","14","15","덱스트린","판토텐산칼슘","비타민B6염산염","","","","16","17","18","비타민B1질산염","니코틴산아미드","비타민D3혼합제제","","",""
"10","번호5613","품목보고번호20010515081507","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명고려정심홍삼골드","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6","7","8","9",NA,NA,NA,"정제수","홍삼농축액","구연산","구연산삼나트륨","카라멜색소","과당","수크랄로스","비타민C","향료",NA,NA,NA,"","","","","","고과당","","","홍삼량",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
