"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20"
"1","번호947","품목보고번호20070358224809","업소명코스맥스엔비티(주)","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명크니트니 포도맛","분류식품","업체명","코스맥스엔비티(주)","소재지","경기도 이천시 마장면 덕평로663번길 127-16","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","정제수","폴리덱스트로스","베타인","이노시톨","L-라이신염산염","포도향","L-아스파트산","구연산","L-아르지닌","젖산칼슘","니코틴산아미드","글루콘산아연","효소처리스테비아","안식향산나트륨","수크랄로스","비타민 B2(고시형)","비타민 B1염산염(고시형)","피리독신염산염(고시형)","비타민B12혼합분말","포도농축액","","","","","","","","","","","","","","","","","","","","적포도농축액"
"2","번호946","품목보고번호1986044301568","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명크러쉬드알로에","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15",NA,NA,NA,NA,NA,"알로에베라겔분말","알로에잎","크러쉬","액상과당","백설탕","구연사","규연산나투륨","말토덱스트린","젖산칼슘","비타민C","젤라검","리치향","황색소","청색소","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호945","품목보고번호201005430661136","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명크레용신짱 초코비 딸기맛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","원유","설탕","혼합분유","딸기농축액","당류가공품","탄산수소나트륨","카복시메틸셀룰로스나트륨","수크랄로스","향료","향료",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","국산","","혼합탈지분유(탈지분유,유청분말,네덜란드산)","고형분 60% 이상, 국산","","","CMC-Na","감미료","딸기향","딸기향",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호944","품목보고번호201005430661135","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명크레용신짱 초코비 초코맛","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,NA,NA,NA,NA,NA,NA,"정제수","원유","설탕","혼합분유","코코아분말","당류가공품","탄산수소나트륨","정제소금","카복시메틸셀룰로스나트륨","수크랄로스","향료","향료","향료",NA,NA,NA,NA,NA,NA,NA,"","국산","","혼합탈지분유(탈지분유,유청분말,네덜란드산)","네덜란드산","","","","CMC-Na","감미료","초콜렛향","코코아향","밀크향",NA,NA,NA,NA,NA,NA,NA
"5","번호943","품목보고번호20110527046122","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 1년까지","제품명큰나무집궁중식혜","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","무농약멥쌀","큰나무집명인궁중비법","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호942","품목보고번호20110527046144","업소명(주)새암푸드먼트","품목유형혼합음료","유통/소비기한제조일로부터 10개월까지","제품명큰나무집궁중식혜(실온)","분류식품","업체명","(주)새암푸드먼트","소재지","전라남도 영광군 묘량면 영대로2길 23-15(외1)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름","설탕","쌀","기타가공품","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"엿기름분말,국산","","무농약멥쌀","큰나무집명인궁중비법","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호941","품목보고번호2001051508126","업소명(주)자연과사람들","품목유형혼합음료","유통/소비기한제조일부터24개월","제품명큰집식혜","분류식품","업체명","(주)자연과사람들","소재지","전라남도 담양군 금성면 금성공단길 10","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"보리엿기름추출액","멥쌀","생강농축액","비타민C","정제수","당시럽",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호940","품목보고번호2012062776323","업소명농업회사법인 주식회사 큰행복","품목유형혼합음료","유통/소비기한제조일로12개월","제품명큰행복제주팥식혜","분류식품","업체명","농업회사법인 주식회사 큰행복","소재지","제주특별자치도 제주시 황사평6길 90-25(B동 화북이동)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","엿기름","쌀","팥","설탕",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호939","품목보고번호200102456383","업소명(주)닥터클로로필","품목유형혼합음료","유통/소비기한상온보관시 1년 4개월(16개월)","제품명클로워터","분류식품","업체명","(주)닥터클로로필","소재지","울산광역시 울주군 범서읍 천상6길 12-9","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"뽕나무잎","소나무잎","두충","칡","대추",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호938","품목보고번호200102456389","업소명(주)닥터클로로필","품목유형혼합음료","유통/소비기한제조일로부터 16개월","제품명클로워터 골드","분류식품","업체명","(주)닥터클로로필","소재지","울산광역시 울주군 범서읍 천상6길 12-9","1","2","3","4","5","6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","매실분말","사과분말","양배추분말","과.채가공품","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","크랜베리농축분말H","동,식물성바이오미네랄",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
