"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","번호23","번호24","번호25","번호26","번호27","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","성분 및 원료23","성분 및 원료24","성분 및 원료25","성분 및 원료26","성분 및 원료27","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18","비고19","비고20","비고21","비고22","비고23","비고24","비고25","비고26","비고27"
"1","번호867","품목보고번호19890445014593","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명태웅숙취음료여자꺼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","고기자","칡","발효액","오렌지농축액","액상과당","이소말토올리고당","결정포도당분말","구연산","비타민C","비타민 B1(고시형)","비타민B2","비타민b3","이노시톨","니코틴산아미드","타우린","L-아스파라긴","콜라겐(돈피)","히알루론산","카르복시메틸셀룰로오스나트륨","착향료(오렌지향)","정제수","발효액","정제수","구기자나무열매","칡","백설탕","유산균",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호866","품목보고번호19890445014588","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24개월","제품명태웅스위트망고","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"망고농축퓌레","기타과당","구연산","비타민C","치자황색소","카복시메틸셀룰로스나트륨","수크랄로스","합성향료","합성향료","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","","","","","","감미료","복숭아향","망고향","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호865","품목보고번호19890445014606","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월(실온)","제품명태웅스위트메론","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"멜론농축액","정제수","액상과당","구연산","효소처리스테비아","비타민C","카르복시메틸셀룰로오스나트륨","치자황색소","그린색소","착향료(메론향)","멜론과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호864","품목보고번호19890445014589","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월(실온)","제품명태웅스위트키위","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"키위퓌레","액상과당","구연산","비타민C","카르복시메틸셀룰로오스나트륨","그린색소","키위향","키위향","정제수","자몽종자추출액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호863","품목보고번호19890445014592","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명태웅쌍화골드","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"인동추출액","액상과당","정제수","카라멜색소","구연산","효소처리스테비아","정제염","카르복시메틸셀룰로오스나트륨","안식향산나트륨","쌍화향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호862","품목보고번호19890445014575","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명태웅아이스티","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"복숭아농축액","홍차분말","백설탕","액상과당","구연산","구연산삼나트륨","비타민C","베타카로틴(고시형)","홍화황색소","복숭아향","홍차향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호861","품목보고번호19890445014583","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명태웅에이드용TWCAFE아이스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"백설탕","구연산","비타민C","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호860","품목보고번호19890445014582","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명태웅커피용TWCAFE아이스","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"백설탕","구연산삼나트륨","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호859","품목보고번호19890445014585","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한24월(실온)","제품명태웅페르시아석류","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"석류농축액","액상과당","저당","구연산","카르복시메틸셀룰로오스나트륨","카라멜색소","안식향산나트륨","스테비올배당체","착향료(석류향)","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호858","품목보고번호19890445014607","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한12월(실온)","제품명태웅피나콜라다","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"파인애플농축액","정제수","액상과당","백설탕","연유","구연산","구연산삼나트륨","효소처리스테비아","카르복시메틸셀룰로오스나트륨","자몽종자추출물","합성착향료","파인애플과즙",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
