"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","성분 및 원료11","성분 및 원료12","비고11","비고12","번호13","번호14","번호15","번호16","번호17","번호18","번호19","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","비고13","비고14","비고15","비고16","비고17","비고18","비고19","번호20","성분 및 원료20","비고20"
"1","번호571","품목보고번호2020040143965","업소명(주)서울에프엔비 기업도시점","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프레주 타트체리","분류식품","업체명","(주)서울에프엔비 기업도시점","소재지","강원도 원주시 지정면 기업도시로 145","1","2","3","4","5","6","7","8","9","10","정제수","설탕","과.채가공품","구연산","합성향료","혼합제제","구연산삼나트륨","합성향료","수크랄로스","아세설팜칼륨","","","타트체리농축액","","타트체리향1","타트체리향2","","타트체리향3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호570","품목보고번호20080395120680","업소명(주)서울에프엔비","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명프레주 타트체리","분류식품","업체명","(주)서울에프엔비","소재지","강원도 횡성군 공근면 아이티밸리길 36","1","2","3","4","5","6","7","8","9","10","정제수","설탕","과.채가공품","구연산","합성향료","혼합제제","구연산삼나트륨","합성향료","수크랄로스","아세설팜칼륨","","","타트체리농축액","","타트체리향1","타트체리향2","","타트체리향3","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호569","품목보고번호19800415004349","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일로부터 Can 2년","제품명프레주 파인애플 스위트","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","백설탕","액상과당","파인애플농축액","혼합제제","구아검","구연산","비타민C","수크랄로스","합성향료","합성향료","","","","화이트클라우디","","함수","","","파인애플향1","파인애플향2","11","12","홍화황색소","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호568","품목보고번호19800415004367","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한제조일부터 Can 2년","제품명프레주 패션후르츠 스위트","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9",NA,"백설탕","액상과당","과.채가공품","구연산","비타민C","수크랄로스","합성향료","합성향료","정제수",NA,"","","패션후르츠농축액","함수","","","패션후르츠향1","패션후르츠향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호567","품목보고번호19800415004370","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한Can 2 년","제품명프레주 풋귤 스위트","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","설탕","과.채가공품","과.채가공품","수크랄로스","구연산","비타민C","홍화황색소","합성향료","합성향료","천연향료","","청귤농축과즙","감귤농축과즙","","","","","풋귤향1","풋귤향2","풋귤향3","11","12","질소","정제수","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호566","품목보고번호19800415004345","업소명(주)일화초정공장","품목유형혼합음료","유통/소비기한Can 2년","제품명프레주 한라봉제주감귤 스위트","분류식품","업체명","(주)일화초정공장","소재지","충청북도 청주시 청원구 내수읍 미원초정로 1358","1","2","3","4","5","6","7","8","9","10","설탕","액상과당","과.채가공품","구연산","비타민C","과.채가공품","수크랄로스","합성향료","합성향료","정제수","","","감귤농축과즙","","","한라봉농축과즙","","감귤향1","감귤향2","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호565","품목보고번호20130415052252","업소명(주)서흥헬스케어","품목유형혼합음료","유통/소비기한제조일부터 18개월","제품명프렌치 콜라겐 로얄","분류식품","업체명","(주)서흥헬스케어","소재지","충청북도 청주시 청원구 오창읍 연구단지로 216","1","2","3","4","5","6","7","8","9","10","정제수","프락토올리고당","생선콜라겐","망고농축액","레드자몽농축액","자몽향","망고향","엘라스틴가수분해물","비타민C","효소처리스테비아","","","피쉬콜라겐","망고농축과즙","적자몽농축액","향료, 스위티자몽향 BA-F-0644","향료, 망고향#29 SK-D6032","프로라스틴","","","11","12","펙틴","구연산","펙틴제이엠제이","","13","14","15","16","17","18","19","토마토추출물분말","천연요구르트향","구연산삼나트륨","우유단백질","비오틴","히알루론산혼합제제","식용달팽이추출물분말","화이트토마토추출분말","향료, 천연요구르트향 FG2014-0015","","밀크세라마이드","","","식용달팽이추출분말",NA,NA,NA
"8","번호564","품목보고번호20030415157437","업소명주식회사 노바렉스","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명프로 아르긴 3500","분류식품","업체명","주식회사 노바렉스","소재지","충청북도 청주시 흥덕구 오송읍 오송생명14로 80(부4동1층,부5동1층,주1동 2~3층)","1","2","3","4","5","6","7","8","9","10","정제수","L-아르지닌","구연산","시클로덱스트린시럽","난소화성말토덱스트린(고시형)","청포도농축액","분말결정포도당","포도향","효소처리스테비아","블루베리농축액","","","","","","","","혼합제제","","","11","12","레몬향","아미노산혼합분말","","","13","14","15","16","17","18","19","잔탄검","L-글루타민","황금혼합추출물","에리스리톨","비타민C","생선콜라겐","산화아연","","","복합황금추출물","","","","","20","L-카르니틴",""
"9","번호563","품목보고번호19990555093328","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터      24 개월(2년)","제품명프로게이너 프로틴워터 더블유피아이 애플향","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","유청단백분말","타우린","효소처리스테비아","애플향","비타민 C(고시형)","규소수지혼합제제","아미노산혼합분말","비타민미네랄혼합분말","혼합허브추출물","정제수","HILMAR 9020","","","","","소포제","아미노산믹스","비타민미네랄믹스","복합허브추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호562","품목보고번호19990555093329","업소명농업회사법인(주)이비채","품목유형혼합음료","유통/소비기한제조일부터 24 개월(2년)","제품명프로게이너 프로틴워터 더블유피아이 키위향","분류식품","업체명","농업회사법인(주)이비채","소재지","경상북도 영천시 임고면 황강공단길 21","1","2","3","4","5","6","7","8","9","10","유청단백분말","타우린","효소처리스테비아","키위향","비타민 C(고시형)","규소수지혼합제제","아미노산혼합제제","비타민미네랄혼합분말","혼합허브추출물","정제수","HILMAR 9020","","","","","소포제","아미노산믹스","비타민미네랄믹스","복합허브추출물","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
