"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","번호15","번호16","번호17","번호18","번호19","번호20","번호21","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","비고15","비고16","비고17","비고18","비고19","비고20","비고21"
"1","번호431","품목보고번호1999046705076","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한2년","제품명하늘샘 아사이베리 선물세트","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","아사이베리혼합농축액","과당","포도농축액","백설탕","구연산","딸기농축액","구연산삼나트륨","카르복시메틸셀룰로오스나트륨","카라멜액","체리레드색소","DL-사과산","안식향산나트륨","아세설팜칼륨","정제수","2.5 brix(브라질산)","액상과당","","정백당","","","","C.M.C(증점제)","액상카라멜","체리칼라","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호430","품목보고번호1999046705073","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한2년","제품명하늘샘 흑석류","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13",NA,"석류농축액","액상과당","백설탕","구연산","구연산삼나트륨","체리레드색소","카르복시메틸셀룰로오스나트륨","안식향산나트륨","자일리톨","석류향","카라멜액","아세설팜칼륨","정제수",NA,"1.161Brix(이란산)","","정백당","","","체리칼라","C.M.C(증점제)","","","합성착향료","액상카라멜","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호429","품목보고번호1999046705067","업소명(주)한국데코로","품목유형혼합음료","유통/소비기한730일","제품명하늘샘헛개헛개","분류식품","업체명","(주)한국데코로","소재지","충청남도 금산군 부리면 갈티길 64(주한국데코로제2공장)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","액상과당","헛개농축액","칡농축액","백설탕","배농축액","헛개향","카르복시메틸셀룰로오스나트륨","함수포도당","구연산","사과농축액","안식향산나트륨","구연산삼나트륨","액상카라멜","정제수","","4.55Brix(국산)","3.25Brix(국산)","정백당","","합성착향료","C.M.C(증점제)","","","","합성보존제","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호428","품목보고번호19890445014329","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명하늘아래산양산삼","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,"하늘아래산양산삼혼합추출액","액상과당","카라멜색소","카르복시메틸셀룰로오스나트륨","합성착향료","안식향산나트륨","구연산","비타민B2","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호427","품목보고번호19970368029326","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청 단호박식혜","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","7","8","9","10","11","12","13","14","음료베이스","서양호박퓌레","설탕","쌀","국","검정콩","귀리","팥","기장쌀","좁쌀","수수","현미","검정깨(흑임자)","보리","엿기름추출액(1) / 엇기름 25.45%, 정제수 74.55%","단호박퓨레","백설탕","무농약쌀","","","","","기장","","","","","","15","16","17","18","19","20","21","흑미","율무쌀","소스","합성향료","식품첨가물혼합제제","비타민C","정제수","검정쌀","율무","생생강농축액 / 생생강추출액 98.18%, 말토덱스트린 1.27%, 정제소금 0.55%","단호박향","단호박향 / 프로필렌글리콜, 합성착향료, 주정, 트리아세틴","",""
"6","번호426","품목보고번호19970368029389","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청 대추야","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","대추농축액","감식초","기타가공품",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","65brix 대추 100%(국산)","감 100% (국산)","복합황금추출물(황금, 대추, 황기, 감초, 덱스트린, 젖산, 글리세린)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호425","품목보고번호19970368029357","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청 사과매실","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,"정제수","설탕","매실농축액","사과농축액","덱스트린","향료","감식초","비타민C","구연산삼나트륨","구연산",NA,NA,NA,NA,"","","국산(매실90%,물엿10%)","국산(72brix)","말토덱스트린","천형매실향","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호424","품목보고번호19970368029362","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명하늘청 유기농수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","설탕","음료베이스","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"","유기농 비정제","계피곶감추출액(2)","유기농 생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호423","품목보고번호2019041307954","업소명동원시스템즈 횡성공장","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명하늘청 유기농수정과","분류식품","업체명","동원시스템즈 횡성공장","소재지","강원도 횡성군 우천면 우천산업단지로 75-13(동원시스템즈)","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"계피추출액","설탕","곶감농축액","생강농축액","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","유기농설탕","곶감엑기스(곶감100%)","생강농축액(생강100%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호422","품목보고번호19970368029386","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월(실온)","제품명하늘청 전통수정과","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5",NA,NA,NA,NA,NA,NA,NA,NA,NA,"정제수","백설탕","음료베이스","기타설탕","생강",NA,NA,NA,NA,NA,NA,NA,NA,NA,"","백설탕","계피곶감추출액(2)","흑설탕","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
