"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","번호13","성분 및 원료13","비고13","번호14","성분 및 원료14","비고14","번호15","번호16","성분 및 원료15","성분 및 원료16","비고15","비고16","번호17","번호18","성분 및 원료17","성분 및 원료18","비고17","비고18"
"1","번호5562","품목보고번호19960308010553","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18월","제품명광동 7세븐슬림호박","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11","12","서양호박농축액","정제수","사양벌꿀","배농축액","염화칼륨","구연산","기타가공품","혼합제제","양파농축액","L-아르지닌","옥수수수염농축액","기타가공품","단호박농축액(고형분28%)","","","","","","식물혼합농축액10","알트라테네 3% FT-PF(베타카로틴 3%)","","","","유니스타",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호5561","품목보고번호20020623009948","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명광동 꿀담은헛개","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","사양벌꿀","기타설탕","말티톨시럽","헛개나무열매농축액","합성향료","합성향료","구연산","구연산삼나트륨","잔탄검","글루콘산아연","","","","흑설탕","","","헛개향","벌꿀향","","","","","13","스테비올배당체","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호5560","품목보고번호20020623009707","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명광동 복분자","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","기타과당","복분자농축액","구연산","펙틴","비타민C","효소처리스테비아","로즈마리추출물","이소말토올리고당","정제수","DL-사과산","구연산삼나트륨","복분자향","","복분자딸기농축액(당도50brix이상)","","","","","","","","","","","13","복분자향","","14","재제소금(재제조소금)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호5559","품목보고번호19940474018552","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명광동 산수유","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","10","11","12","액상과당","이소말토올리고당","산수유농축액","구연산","드링크향","DL-사과산","구연산삼나트륨","재제소금(재제조소금)","락색소","펙틴","로즈마리추출물","코치닐추출색소","","","당도 55Brix° 이상","","","","","","락색소-에이엘","","","","13","효소처리스테비아","","14","판토텐산칼슘","","15","16","니코틴산아미드","정제수","","",NA,NA,NA,NA,NA,NA
"5","번호5558","품목보고번호19860443015387","업소명(주)네이처텍","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명광동 이너-비타콜라겐 Kwangdong Inner-VitaCollagen","분류식품","업체명","(주)네이처텍","소재지","충청북도 진천군 초평면 용정길 29-8","1","2","3","4","5","6","7","8","9","10","11","12","정제수","콜라겐","기타과당","석류농축액","자일리톨","구연산(무수)","혼합제제","황금혼합추출물","혼합제제","복숭아향","엘라스틴가수분해물","히알루론산","","피쉬콜라겐, 생선콜라겐, GT콜라겐","","","","구연산","석류향","복합황금추출물","비타믹스, 비타민혼합제제","합성향료","","","13","비타민B1염산염","","14","안식향산나트륨","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호5557","품목보고번호198604350131069","업소명코스맥스바이오","품목유형혼합음료","유통/소비기한제조일부터 18 개월","제품명광동 진녹경","분류식품","업체명","코스맥스바이오","소재지","충청북도 제천시 바이오밸리3로 30(왕암동)","1","2","3","4","5","6","7","8","9","10","11","12","정제수","녹용발효농축액","참당귀농축액","기타과당","프락토올리고당","대추농축액","사양벌꿀","식물혼합추출농축액","사철쑥추출물분말","향료","구연산","잔탄검","","(고형분 3%)","참당귀혼합농축액(고형분 40%)","","","(고형분 49%)","","(고형분 70%)","인진쑥추출분말","한방향(향료)","","","13","도라지농축액","(고형분 60%)","14","홍삼농축액","(고형분 60%, 홍삼성분 70mg/g)","15",NA,"맥아",NA,"맥아추출물(고형분 40%)",NA,NA,NA,NA,NA,NA,NA
"7","번호5556","품목보고번호19960308010549","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18월","제품명광동 쿨한목","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9","10","11",NA,"올리고당","배농축액","기타과당","기타가공품","정제수","사양벌꿀","이소말토올리고당","프로폴리스추출물(고시형)","합성향료","구연산","기타가공품",NA,"말토올리고당G4","","","배도라지등혼합농축액K(고형분55%이상)","","","네오리고G","프로폴리스추출물, 폴리소르베이트20 합계 100%","","","박하추출혼합분말",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호5555","품목보고번호20070443110661","업소명(주)삼양패키징광혜원공장","품목유형혼합음료","유통/소비기한12개월","제품명광동 한라봉과유자","분류식품","업체명","(주)삼양패키징광혜원공장","소재지","충청북도 진천군 광혜원면 죽현길 114","1","2","3","4","5","6","7","8","9","10","11","12","과.채가공품","과.채가공품","설탕","기타과당","효소처리스테비아","용성비타민P","DL-사과산","비타민B2","구연산(결정)","구연산삼나트륨","기타가공품","홍화황색소","한라봉주스농축액","유자과즙","","","레바텐프라임","","","","","","오렌지추출물","","13","유자향","","14","정제수","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호5554","품목보고번호19960308010544","업소명광동제약주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18월","제품명광동 헛개파워 찐한포","분류식품","업체명","광동제약주식회사","소재지","경기도 평택시 경기대로 1081(장당동)","1","2","3","4","5","6","7","8","9",NA,NA,NA,"기타가공품","기타과당","올리고당","배농축액","사양벌꿀","덱스트린","헛개나무열매추출농축액","펙틴","구연산",NA,NA,NA,"알바린농축액(고형분50%이상)","","말토올리고당G4","","","말토덱스트린","고형분50%이상","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호5553","품목보고번호20020623009923","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 15개월","제품명광동도라지꿀배","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","11","12","정제수","기타과당","백설탕","배농축액","말토올리고당","사양벌꿀","도라지농축액","배향","합성향료","구연산삼나트륨","구연산","재제소금(재제조소금)","","","","","","","","합성향료","도라지향","","","","13","벌꿀향","합성향료","14","잔탄검","","15","16","DL-사과산","효소처리스테비아","","","17","18","기타가공품","L-글루탐산","녹차열수추출분말",""
