"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","번호10","번호11","번호12","번호13","번호14","번호15","번호16","번호17","번호18","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","성분 및 원료17","성분 및 원료18","비고10","비고11","비고12","비고13","비고14","비고15","비고16","비고17","비고18"
"1","번호331","품목보고번호20090368047195","업소명주식회사 파낙스 코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월 까지","제품명한움 수정과","분류식품","업체명","주식회사 파낙스 코리아","소재지","경기도 광주시 옥토골길 53(태전동)","1","2","3","4","5","6","7","8","9","계피추출액","기타과당","갈색설탕","계피향","기타가공품","감추출액","카라멜색소","비타민 C(고시형)","생강추출액","","","","","계피추출물","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호330","품목보고번호20090368047190","업소명주식회사 파낙스 코리아","품목유형혼합음료","유통/소비기한제조일로부터12개월까지","제품명한움 식혜","분류식품","업체명","주식회사 파낙스 코리아","소재지","경기도 광주시 옥토골길 53(태전동)","1","2","3","4","5","6",NA,NA,NA,"정제수","백설탕","엿기름","멥쌀","깐생강","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호329","품목보고번호2020042406527","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명한잔허재 액상 파인애플","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","정제수","기타 농산가공품","프락토올리고당","파인애플농축액","파인애플향","칡뿌리추출물분말","인삼열매추출분말","고형차","비타민C","","에프앤피-ADH003-521C","","","","갈근추출물분말","진생베리추출분말","보이차추출물분말","","10","11","12","13","14","15","16","17","18","타우린","효소처리스테비아","황금추출물","니코틴산아미드","구연산(무수)","잔탄검","비타민B6염산염","산화아연","L-트립토판","","","복합황금추출물","","","","","",""
"4","번호328","품목보고번호2020042406531","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명한잔허재 액상 헛개수","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","정제수","기타 농산가공품","프락토올리고당","헛개나무열매추출농축액","대추농축액","칡뿌리추출물분말","인삼열매추출분말","고형차","비타민C","","에프앤피-ADH003-521C","","","","갈근추출물분말","진생베리추출분말","보이차추출분말","","10","11","12","13","14","15","16","17","18","타우린","황금추출물","니코틴산아미드","구연산(무수)","잔탄검","효소처리스테비아","비타민B6염산염","산화아연","L-트립토판","","복합황금추출물","","","","","","",""
"5","번호327","품목보고번호202204945251","업소명화정수푸드","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명한증막식혜","분류식품","업체명","화정수푸드","소재지","경기도 파주시 오도로130번길 37(일산황토마루한증막 지하1층 오도동)","1","2","3","4",NA,NA,NA,NA,NA,"정제수","멥쌀","엿기름","설탕",NA,NA,NA,NA,NA,"","","겉보리(국산70%, 수입산30%)","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호326","품목보고번호19970368029347","업소명세준푸드 농업회사법인 주식회사","품목유형혼합음료","유통/소비기한18개월","제품명한컵에 사과매실","분류식품","업체명","세준푸드 농업회사법인 주식회사","소재지","경기도 광주시 곤지암읍 가마을길 63","1","2","3","4","5","6","7","8","9","설탕","매실농축액","덱스트린","사과농축액","향료","감식초","비타민C","구연산삼나트륨","구연산","유기농설탕","매실90%,물엿10%","말토","","천연매실향","","","","","10",NA,NA,NA,NA,NA,NA,NA,NA,"정제수",NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA
"7","번호325","품목보고번호20190498210138","업소명(주)한풍네이처팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명한풍 간편해","분류식품","업체명","(주)한풍네이처팜","소재지","전라북도 완주군 봉동읍 테크노밸리2로 91(1,2동 1,2,3층)","1","2","3","4","5","6","7","8","9","정제수","기타과당","백설탕","기타가공품","대추농축액","타우린","헛개나무열매추출농축액","글리신","혼합제제","","고과당","","HO-01(식물혼합추출농축액)","","","","","혼합과일향혼합제제(합성향료,프로필렌글리콜,주정,정제수)","10","11","12","13","14","15","16","17","18","혼합제제","정제소금","DL-사과산","효소처리스테비아","구연산","구연산삼나트륨","비타민B1염산염","비타민B6염산염","비타민B2","드링크향혼합제제(주정,정제수,합성향료,천연향료,프로필렌글리콜)","","","","","","","",""
"8","번호324","품목보고번호19940474018676","업소명(주)중앙타프라","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명한풍숙취엔","분류식품","업체명","(주)중앙타프라","소재지","충청남도 예산군 응봉면 예당로 1053-15","1","2","3","4","5","6","7","8","9","기타가공품","비타민B1염산염","비타민B2","비타민B6염산염","타우린","글리신","올리고당","설탕","효소처리스테비아","HO-01(식물혼합추출농축액)","","","","","","프락토올리고당","","슈가라이트지80","10","11","12","13","14","15","16","17",NA,"DL-사과산","헛개나무열매농축액","대추농축액","구연산","구연산삼나트륨","혼합제제","정제소금","정제수",NA,"","","","","","드링크분말향","","",NA
"9","번호323","품목보고번호201005430661134","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명할리스 복숭아 얼그레이 제로","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","침출차","에리스리톨","복숭아농축액","향료","구연산","물엿","수크랄로스","비타민C","","얼그레이추출액(고형분 0.1%/스리랑카산)","","복숭아 과즙으로 환원기준 3%/이스라엘산","복숭아향","","말트익스트렉트","감미료","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호322","품목보고번호201005430661133","업소명오케이에프음료 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명할리스 제주 청귤 그린티","분류식품","업체명","오케이에프음료 주식회사","소재지","경상북도 안동시 풍산읍 절뒤길 52(외1필지)","1","2","3","4","5","6","7","8","9","정제수","설탕","녹차추출액","과.채가공품","구연산","향료","향료","혼합제제","비타민C","","","고형분 0.05% 이상, 국내산","청귤착즙액(청귤100%/국내산)","","청귤향","민트향","글리세린, 정제수, 아라비아검, D-소비톨액, 자당지방산에스테르, 정제가공유지, 주정, 천연향료","","10","11","12",NA,NA,NA,NA,NA,NA,"수크랄로스","혼합제제","혼합제제",NA,NA,NA,NA,NA,NA,"감미료","덱스트린, 치자청색소","홍화황색소, 덱스트린, 산도조절제, L-아스코브산나트륨, 비타민C",NA,NA,NA,NA,NA,NA
