"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","번호14","번호15","번호16","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고14","비고15","비고16","번호17","성분 및 원료17","비고17","번호18","성분 및 원료18","비고18"
"1","번호241","품목보고번호19930571069535","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명허유산 청포도","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12","13","과.채가공품류","자일리톨","설탕","과당","구연산","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","청포도농축액","청포도향","치자그린색소","정제수","나타드코코","","","","함수","","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호240","품목보고번호19930571069532","업소명주식회사 신생활식품","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명허유산 코코","분류식품","업체명","주식회사 신생활식품","소재지","경상북도 예천군 호명면 양궁로 657","1","2","3","4","5","6","7","8","9","10","11","12",NA,"과.채가공품","자일리톨","설탕","과당","구연산","구연산삼나트륨","젖산칼슘","젤란검","수크랄로스","시트러스향","코코넛향","정제수",NA,"나타드코코","","","","함수","","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호239","품목보고번호20030211151147","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한24개월","제품명허준 동의보감 식물성콜라겐젤리","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","흰목이버섯추출액","사과농축액","프락토올리고당","정제수","레드비트농축액","당근농축액","검 베이스 혼합제제","구연산","구연산삼나트륨","효소처리스테비아","알로에베라겔동결건조분말","갈매보리수나무열매분말","비타민C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","히비스커스농축액","비타민B2","비오틴",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호238","품목보고번호20030211151146","업소명고려홍삼원(주)","품목유형혼합음료","유통/소비기한2년","제품명허준 동의보감 홍삼젤리","분류식품","업체명","고려홍삼원(주)","소재지","인천광역시 강화군 송해면 강화대로833번길 38","1","2","3","4","5","6","7","8","9","10","11","12","13","발효홍삼농축액","정제수","식물혼합농축액","프락토올리고당","배농축액","레몬농축액","사양벌꿀","검 베이스 혼합제제","구연산","구연산삼나트륨","혼합제제비타민B","나한과추출물분말","자몽종자추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호237","품목보고번호19970570162243","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개 컨디션","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","11","12","13","헛개나무열매추출농축액","미배아발효추출물","효모추출물혼합분말","자리추출물분말","정제수","액상과당","백설탕","타우린","구연산","DL-사과산","L-알라닌","구연산삼나트륨","니코틴산아미드","","","","","","","","","","","","","","14","15","16","착향료(혼합과일향","벌꿀향","황금복합추출물","","","","17","기타가공품","황기로터스추출물분말",NA,NA,NA
"6","번호236","품목보고번호19970570162275","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한24월","제품명헛개 컨디션 에이치(H)","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","11","12","13","정제수","액상과당","미배아추출물","7.143BDD","헛개나무열매추출농축액","자리추출분말","DL-알라닌","타우린","니코틴산아미드","DL-사과산","구연산","구연산삼나트륨","혼합과일향(SN438393)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15","16","혼합과일향(SK54381)","벌꿀향(FA11604)","마리네이드A",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호235","품목보고번호19970570162212","업소명경북과학대학식품공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개 컨디션 파워","분류식품","업체명","경북과학대학식품공장","소재지","경상북도 칠곡군 기산면 지산로 520","1","2","3","4","5","6","7","8","9","10","11","12","13","헛개나무열매추출농축액","미배아발효추출물","자리추출물분말","황기ㆍ로터스 추출물분말","정제수","액상과당","백설탕","타우린","구연산","DL-사과산","구연산삼나트륨","니코틴산아미드","착향료(혼합과일향","","","","황기추출물분말75%,연꽃씨추출물분말25%","","","","","","","","","","14","15","16","벌꿀향","혼합제제","혼합제제","","혼합제제1(말토덱스트린, 효모추출물, 이산화규소)","혼합제제2(효모추출물, 말토덱스트린, 합성향료, 이산화규소)","17","혼합허브추출물","복합허브추출물C","18","DL-알라닌",""
"8","번호234","품목보고번호19970464172131","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헛개 후레쉬","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","농축사과과즙","액상과당","구연산","구연산삼나트륨","DL-사과산","타우린","L-아스파라긴","니코틴산아미드","비타민B2","정제염","혼합과일향","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14",NA,NA,"헛개나무열매농축액",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호233","품목보고번호2016037232654","업소명(주)엔바이오","품목유형혼합음료","유통/소비기한12개월","제품명헛개&아르지닌","분류식품","업체명","(주)엔바이오","소재지","경기도 포천시 화현면 화동로 319(가동 1층,2층 나동 1층)","1","2","3","4","5","6","7","8","9","10","11","12",NA,"정제수","프락토올리고당","오렌지농축액","열대과일혼합농축액","대추농축액","칡농축액","기타가공품","레몬농축액","L-아르지닌","헛개나무농축액","글루콘산아연","잔탄검",NA,"","","","","","칡농축엑기스","꽃증류액","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호232","품목보고번호200805630748","업소명주식회사 동아생명공학","품목유형혼합음료","유통/소비기한제조일로부터 2년","제품명헛개골드","분류식품","업체명","주식회사 동아생명공학","소재지","경상북도 의성군 다인면 가원농공길 46-8","1","2","3","4","5","6","7","8","9","10","11","12","13","헛개나무열매농축액","천궁액기스","계피엑기스","대추엑기스","배액기스","액상과당","구연산","구연산삼나트륨","효소처리스테비아","카라멜","비타민B2","사카린","허브향",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14","15",NA,"안식향산나트륨","정재수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
