"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","번호11","번호12","번호13","번호14","번호15","번호16","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","성분 및 원료16","비고11","비고12","비고13","비고14","비고15","비고16"
"1","번호201","품목보고번호19950433026526","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명헬로카봇 골드키위","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","키위퓌레","홍삼농축액","백설탕","구연산","비타민C","카로틴","펙틴","수크랄로스","골드키위향","정제수","골드키위퓨레","","","구연산함수","","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호200","품목보고번호20020623009651","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명헬로카봇 딸기맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","딸기농축액","백설탕","혼합탈지분유","요거트분말","구연산","구연산삼나트륨","펙틴","아미노산혼합제제","젖산칼슘","수크랄로스","65brix","","","","산도조절제","산도조절제","","아미노믹스","영양강화제","합성감미료","11","12","13","14","15","16","자당지방산에스테르","정제소금","합성향료","합성향료","정제수","대두식이섬유","모노에스터-P","","딸기향(S050805)","딸기향(KBR120656)","","대두화이바"
"3","번호199","품목보고번호20020623009647","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명헬로카봇 밀크맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","아세로라농축분말","백설탕","혼합탈지분유","요거트분말","구연산","구연산삼나트륨","펙틴","아미노산혼합제제","젖산칼슘","수크랄로스","","","","","산도조절제","","","아미노믹스","영양강화제","합성감미료","11","12","13","14","15","16","정제소금","자당지방산에스테르","합성향료","합성향료","정제수","대두식이섬유","","모노에스터-P","블루레몬향","연유향","","대두화이바"
"4","번호198","품목보고번호20020623009670","업소명퓨어플러스(주)","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명헬로카봇 사과맛","분류식품","업체명","퓨어플러스(주)","소재지","경상남도 함양군 수동면 수동농공길 11","1","2","3","4","5","6","7","8","9","10","사과농축과즙","백설탕","혼합탈지분유","대두식이섬유","요거트분말","구연산","구연산삼나트륨","펙틴","아미노산혼합제제","젖산칼슘","72brix, 10brix 기준 1.5%","","","대두화이바","","산도조절제","산도조절제","","아미노믹스","영양강화제","11","12","13","14","15","16","수크랄로스","정제소금","자당지방산에스테르","합성향료","합성향료","정제수","합성감미료","","모노에스터-P","사과향","애플소다향",""
"5","번호197","품목보고번호2016052105350","업소명와이에프티 주식회사","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명헬로카봇 사과맛","분류식품","업체명","와이에프티 주식회사","소재지","전라남도 장흥군 장평면 피재로 465","1","2","3","4","5","6","7","8","9","10","정제수","설탕","사과농축액","구연산(무수)","젖산칼슘","수크랄로스","자일리톨","합성향료","비타민C","비타민B6염산염","","","고형분70%,사과과즙으로 3.5%,칠레산","","","감미료","감미료","사과향","","","11","12",NA,NA,NA,NA,"홍삼농축액","비타민D3 분말",NA,NA,NA,NA,"고형분60%,홍삼성분70mg/g,국산","",NA,NA,NA,NA
"6","번호196","품목보고번호19950433026527","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명헬로카봇 요거맛","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8","9","10","블루베리농축액","홍삼농축액","백설탕","구연산","비타민C","가당연유","샤베트믹스","펙틴","수크랄로스","정제소금","","","","구연산함수","","","요구르트베이스","","","","11","12",NA,NA,NA,NA,"요구르트향","정제수",NA,NA,NA,NA,"","",NA,NA,NA,NA
"7","번호195","품목보고번호19950433026563","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명헬로카봇망고맛","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7","8",NA,NA,"백설탕","망고농축액","구연산","망고향","카로틴","젖산칼슘","수크랄로스","정제수",NA,NA,"","","구연산함수","","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호194","품목보고번호19950433026565","업소명(주)금강비앤에프","품목유형혼합음료","유통/소비기한18개월","제품명헬로카봇밀크맛","분류식품","업체명","(주)금강비앤에프","소재지","충청북도 충주시 대소원면 두산길 106","1","2","3","4","5","6","7",NA,NA,NA,"백설탕","탈지분유","구연산","크림소다향","수크랄로스","두류가공품","정제수",NA,NA,NA,"","","구연산함수","","","수용성대두다당류-엘","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호193","품목보고번호20090440068492","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헬로키티 미니젤","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4",NA,NA,NA,NA,NA,NA,"혼합음료","혼합음료","혼합음료","혼합음료",NA,NA,NA,NA,NA,NA,"헬로키티미니젤 사과맛","헬로키티미니젤 포도맛","헬로키티미니젤 딸기맛","헬로키티미니젤 복숭아맛",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","번호192","품목보고번호20090440068490","업소명(주)건영제과","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명헬로키티 미니젤 딸기맛","분류식품","업체명","(주)건영제과","소재지","충청북도 옥천군 옥천읍 지용로 134-14(외 1필지)","1","2","3","4","5","6","7","8","9","10","정제수","기타과당","설탕","포도당","카라기난혼합제제","DL-사과산","딸기향","식용색소적색제40호","구연산","효소처리스테비아","","","","","카라겐45","","","","","","11",NA,NA,NA,NA,NA,"딸기농축액",NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA
