"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","비고1","비고2","비고3","비고4","비고5","비고6","비고7","번호8","번호9","번호10","번호11","번호12","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","비고8","비고9","비고10","비고11","비고12","번호13","번호14","번호15","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고13","비고14","비고15"
"1","번호131","품목보고번호20040275056471","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명홍삼진한석류","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","정제수","석류농축액","당류가공품","프락토올리고당","홍삼농축액","비타민C","생선콜라겐","","","유기농아가베시럽","","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호130","품목보고번호20060512128145","업소명좋은영농조합법인","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명홍삼채수","분류식품","업체명","좋은영농조합법인","소재지","전라남도 나주시 노안면 이슬촌길 87","1","2","3","4","5","6","7","정제수","삼채추출액","백설탕","폴리덱스트로스","프락토올리고당","혼합제제","구연산","","국내산","","","","수퍼겔 J-6","","8","9","10","11","12","홍삼향","홍삼농축액","비타민C","구연산삼나트륨","효소처리스테비아","합성착향료","고형분 60%, 홍삼사포닌 70mg/g이상, 국내산","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","번호129","품목보고번호1999055518578","업소명경북농축산영농조합","품목유형혼합음료","유통/소비기한3년","제품명홍삼천마골드","분류식품","업체명","경북농축산영농조합","소재지","경상북도 영천시 화산면 대암길 136","1","2","3","4","5",NA,NA,"홍삼","과당","올리고당","합성착향료","천마혼합추출물",NA,NA,"고형분5%","","","허브후레바G","천마등혼합추출물",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호128","품목보고번호19940543023191","업소명북안동농협산약가공공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명홍삼케어비타","분류식품","업체명","북안동농협산약가공공장","소재지","경상북도 안동시 북후면 북평로 819","1","2","3","4","5","6","7","홍삼농축액","사과농축액","마농축액","기타과당","타우린","비타민C","정제소금","6년근,고형분60%,국산","고형분33%,국산","고형분57%,국산","","","","","8","9","10","11","12","비타민B2","구연산삼나트륨","니코틴산아미드","판토텐산칼슘","구연산","","","","","","13","14","15","혼합과일향","식품첨가물혼합제제","정제수","합성착향료","스테비텐마일드",""
"5","번호127","품목보고번호2001046448092","업소명성연식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터8개월","제품명홍스팜  마시는 견과","분류식품","업체명","성연식품주식회사","소재지","충청남도 논산시 성동면 산업단지로2길 29","1","2","3","4","5","6","7","아몬드추출물","말토올리고당","설탕","쌀","마카다미아견과","브라질넛견과","해조칼슘",NA,NA,NA,NA,NA,NA,NA,"8",NA,NA,NA,NA,"정제소금",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","번호126","품목보고번호2001046448093","업소명성연식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터 8개월","제품명홍스팜 마시는 견과 무가당","분류식품","업체명","성연식품주식회사","소재지","충청남도 논산시 성동면 산업단지로2길 29","1","2","3","4","5","6",NA,"아몬드추출물","쌀","마카다미아견과","브라질넛견과","해조칼슘","천일염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호125","품목보고번호2001046448097","업소명성연식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명홍스팜 마시는견과 카카오","분류식품","업체명","성연식품주식회사","소재지","충청남도 논산시 성동면 산업단지로2길 29","1","2","3","4","5","6","7","아몬드추출물","쌀","말토올리고당","설탕","마카다미아견과","브라질넛견과","천일염",NA,NA,NA,NA,NA,NA,NA,"8","9",NA,NA,NA,"카카오분말","해조칼슘",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","번호124","품목보고번호2001046448098","업소명성연식품주식회사","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명홍스팜 마시는견과 프로틴","분류식품","업체명","성연식품주식회사","소재지","충청남도 논산시 성동면 산업단지로2길 29","1","2","3","4","5","6","7","아몬드추출물","말토올리고당","피스타치오견과","대두단백","설탕","쌀","마카다미아견과",NA,NA,NA,NA,NA,NA,NA,"8","9","10",NA,NA,"브라질넛견과","해조칼슘","천일염",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","번호123","품목보고번호20000614238381","업소명(주)바이오포트코리아","품목유형혼합음료","유통/소비기한제조일로부터 12개월","제품명홍시에이드","분류식품","업체명","(주)바이오포트코리아","소재지","경상남도 양산시 산막공단남12길 49(1동,2동,3동 호계동)","1","2","3","4","5","6","7","과.채가공품","설탕","기타과당","수크랄로스","아세설팜칼륨","DL-사과산","비타민C","홍시퓨레","","","","","","","8","9","10","11","12","잔탄검","식품첨가물혼합제제","식품첨가물혼합제제","식용색소황색제4호","식용색소황색제5호","","홍시향","홍시향","","","13",NA,NA,"정제수",NA,NA,"",NA,NA
"10","번호122","품목보고번호20040275056495","업소명(주)바이오로제트","품목유형혼합음료","유통/소비기한제조일로부터 24개월까지","제품명홍유리","분류식품","업체명","(주)바이오로제트","소재지","강원도 횡성군 우천면 우천산업단지로 37-6","1","2","3","4","5","6","7","정제수","유자퓌레","기타과당","폴리덱스트로스","배농축액","인삼농축액","유청칼슘","","","액상과당","","","","","8","9","10","11",NA,"도라지농축액","구연산","비타민B1염산염","비타민D3혼합제제분말",NA,"","함수구연산","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
