"","번호","품목보고번호","업소명","품목유형","유통/소비기한","제품명","분류","X1","X2","X3","X4","번호1","번호2","번호3","번호4","번호5","번호6","번호7","번호8","번호9","번호10","번호11","번호12","번호13","번호14","번호15","성분 및 원료1","성분 및 원료2","성분 및 원료3","성분 및 원료4","성분 및 원료5","성분 및 원료6","성분 및 원료7","성분 및 원료8","성분 및 원료9","성분 및 원료10","성분 및 원료11","성분 및 원료12","성분 및 원료13","성분 및 원료14","성분 및 원료15","비고1","비고2","비고3","비고4","비고5","비고6","비고7","비고8","비고9","비고10","비고11","비고12","비고13","비고14","비고15","번호16","번호17","번호18","번호19","번호20","번호21","번호22","성분 및 원료16","성분 및 원료17","성분 및 원료18","성분 및 원료19","성분 및 원료20","성분 및 원료21","성분 및 원료22","비고16","비고17","비고18","비고19","비고20","비고21","비고22"
"1","번호111","품목보고번호1997046417217","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명활기력","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","두충농축액","대추농축액","당귀농축액","녹용추출","농축사과과즙","액상과당","카라멜색소","비타민 B6(고시형)","카르복시메틸셀룰로오스나트륨","니코틴산아미드","안식향산나트륨","구연산","구연산삼나트륨","허브향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","번호110","품목보고번호19890445014253","업소명태웅식품(주)","품목유형혼합음료","유통/소비기한2년","제품명활기력","분류식품","업체명","태웅식품(주)","소재지","충청북도 음성군 대소면 대금로196번길 21","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","녹용추출","액상과당","말토덱스트린","구연산","허브향","감초농축액","칡꽃농축액","당귀농축액","천궁농축액","헛개나무열매농축액","타우린","구기자농축액","안식향산나트륨","카라멜","구연산삼나트륨",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","17","18","19","20","21","22","비타민C","니코틴산아미드","스테비올배당체","비타민 B6(고시형)","비타민B2","비타민 B1(고시형)","정제수",NA,NA,NA,NA,NA,NA,NA
"3","번호109","품목보고번호201904730288","업소명영농조합법인 더듬이(벅스푸드)","품목유형혼합음료","유통/소비기한24개월","제품명활기찬 하루를위해 홍삼벵이 진액","분류식품","업체명","영농조합법인 더듬이(벅스푸드)","소재지","충청남도 금산군 진산면 사갑길 147-2","1","2","3","4","5","6","7","8","9",NA,NA,NA,NA,NA,NA,"흰점박이꽃무지유충추출물","홍삼추출액","사과농축액","배농축액","도라지농축액","가시오갈피농축액","계피농축액","생강농축액","감초농축액",NA,NA,NA,NA,NA,NA,"고형분 1.0%","고형분 2.52%","brix 70","brix 70","brix 60","brix 60","brix 60","brix 65","brix 60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","번호108","품목보고번호2017014715514","업소명(주)엠제이바이오","품목유형혼합음료","유통/소비기한해당없음.","제품명활력 프라센 골드","분류식품","업체명","(주)엠제이바이오","소재지","부산광역시 금정구 공단로 68-16(금사동)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","돈태반 혼합농축액","사과농축액","과당","비타민 B2(고시형)","비타민 B1라우릴황산염(고시형)","비타민B6혼합제제","니코틴산아미드","구연산","비타민C","STEVIOSIDE 스테비오사이드","타우린","덱스트린","열대 레몬향","허브향","비타베이트-M",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16","17",NA,NA,NA,NA,NA,"카라기난","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","번호107","품목보고번호20150375129234","업소명(주)헬스앤라이프","품목유형혼합음료","유통/소비기한24개월","제품명활력부스터","분류식품","업체명","(주)헬스앤라이프","소재지","경기도 여주시 가남읍 여주남로 714-58","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산(무수)","타우린","블루베리농축액","DL-사과산","효소처리스테비아","블루베리향","과.채가공품","황금혼합추출물","마카추출분말","오르니틴염산염","오미자추출물분말","산화아연","비타민C","","","","","","","","","수박과피추출물분말","복합황금추출물","","","오미자추출분말","","","16",NA,NA,NA,NA,NA,NA,"비타민미네랄혼합분말",NA,NA,NA,NA,NA,NA,"비타민미네랄믹스(FS-1)",NA,NA,NA,NA,NA,NA
"6","번호106","품목보고번호19970464172101","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명활력비타","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","비타민C","비타민B1염산염","비타민B2","니코틴산아미드","비타민B6염산염","판토텐산칼슘","타우린","농축사과과즙","벌꿀","백설탕","구연산","구연산삼나트륨","믹스후르츠향","오렌지향","정제수",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","번호105","품목보고번호2020042406548","업소명(주)비엘헬스케어","품목유형혼합음료","유통/소비기한제조일로부터 18개월","제품명활력이 선다","분류식품","업체명","(주)비엘헬스케어","소재지","충청북도 청주시 청원구 오창읍 양청송대길 39(주2동:1~2층, 주3동:1~2층, 부2동:1층, 부5동:1층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","백포도농축액","사양벌꿀","파인애플향혼합제제","효소처리스테비아","수박추출물","마카추출분말","비수리추출농축분말","말태반추출물","오르니틴염산염","맥아추출액","비타민C","황금추출물","","","무수구연산","","","","","수박추출물분말","마카추출물분말","","","L-오르니틴염산염","맥아추출물","","복합황금추출물","16","17","18","19","20","21","22","니코틴산아미드","수크랄로스","비타민B1염산염","비타민B12, 혼합제제","비타민B6염산염","아미노산혼합제제","엽산","","","","","","",""
"8","번호104","품목보고번호20190498210165","업소명(주)한풍네이처팜","품목유형혼합음료","유통/소비기한제조일로부터 24개월","제품명활력충전 아르기닌 6000","분류식품","업체명","(주)한풍네이처팜","소재지","전라북도 완주군 봉동읍 테크노밸리2로 91(1,2동 1,2,3층)","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","정제수","L-아르지닌","구연산","레몬농축액","프락토올리고당","향료","건조효모(셀렌함유)","스테비올배당체","L-카르니틴","오르니틴염산염","기타가공품","기타가공품","산화아연","수크랄로스","DL-사과산","","","함수구연산","","","레몬향","","","","","수박과피추출물분말","복합황금추출물","","","","16","17","18","19",NA,NA,NA,"비타민B6염산염","비타민B1염산염","비타민B2","비타민B12, 혼합제제",NA,NA,NA,"","","","비타민B12혼합제제",NA,NA,NA
"9","번호103","품목보고번호19970464172229","업소명(주)보고신약 논산공장","품목유형혼합음료","유통/소비기한2년","제품명활칠천하","분류식품","업체명","(주)보고신약 논산공장","소재지","충청남도 논산시 성동면 원북1길 106","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","황칠나무농축액","기타가공품","홍삼농축액","녹용추출액","귤피농축액","칡농축액","감초농축액","사철쑥농축액","대추농축액","액상과당","갈색설탕","비타민 C(고시형)","구연산","구연산삼나트륨","잔탄검","","마가목추출액(고형분0.2%)","","","","","","","","","","","","","","16","17",NA,NA,NA,NA,NA,"허브향","정제수",NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA
"10","번호102","품목보고번호19890401002271","업소명주식회사백천바이오텍(Biotech)","품목유형혼합음료","유통/소비기한제조일로부터 36개월까지","제품명황금룡 홍삼꿀진액","분류식품","업체명","주식회사백천바이오텍(Biotech)","소재지","강원도 양구군 양구읍 학안로 78-12","1","2","3","4","5","6","7","8","9","10",NA,NA,NA,NA,NA,"정제수","백설탕","사양벌꿀","사과농축액","덱스트린","카라멜색소","홍삼향","홍삼농축액","시클로덱스트린","구연산(무수)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
